File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF925NCP	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1							/files/ENCFF858JFG/	7569353	ENCODE Processing Pipeline	0aed22295c3c2ae4cb46c166777f3555		https://www.encodeproject.org/files/ENCFF925NCP/@@download/ENCFF925NCP.bigBed				released	s3://encode-public/2021/02/24/bfb66dad-b1ac-4eda-a5e4-98d83a57dd32/ENCFF925NCP.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/bfb66dad-b1ac-4eda-a5e4-98d83a57dd32/ENCFF925NCP.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF134BHI	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1							/files/ENCFF512VEZ/	7857735	ENCODE Processing Pipeline	b709d4c01fa50a0bb3c17bfe67a60871		https://www.encodeproject.org/files/ENCFF134BHI/@@download/ENCFF134BHI.bed.gz				released	s3://encode-public/2021/02/24/63dd03ea-91c0-4248-ba96-9f0f76df7704/ENCFF134BHI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/63dd03ea-91c0-4248-ba96-9f0f76df7704/ENCFF134BHI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF687BWQ	bigBed narrowPeak	bigBed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF695IGF/	5444869	ENCODE Processing Pipeline	af11d624b925898fef690010c52f21e0		https://www.encodeproject.org/files/ENCFF687BWQ/@@download/ENCFF687BWQ.bigBed				released	s3://encode-public/2021/02/24/4eae97cf-b834-4d70-8a4a-cc965532dbc6/ENCFF687BWQ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/4eae97cf-b834-4d70-8a4a-cc965532dbc6/ENCFF687BWQ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF509MPS	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF512VEZ/, /files/ENCFF987XOV/	10407207	ENCODE Processing Pipeline	6e5d328237d9bbb48fd7213d173ef0d2		https://www.encodeproject.org/files/ENCFF509MPS/@@download/ENCFF509MPS.bed.gz				released	s3://encode-public/2021/02/24/d8bd6dae-1a50-40fd-8716-2f1daf0b9f7f/ENCFF509MPS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/d8bd6dae-1a50-40fd-8716-2f1daf0b9f7f/ENCFF509MPS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF491WXS	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1							/files/ENCFF656YON/	8277333	ENCODE Processing Pipeline	255c4f42c056a8748b2439ae799a3934		https://www.encodeproject.org/files/ENCFF491WXS/@@download/ENCFF491WXS.bigBed				released	s3://encode-public/2021/02/24/8201992b-cb47-425b-bda2-b402ff28993e/ENCFF491WXS.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/8201992b-cb47-425b-bda2-b402ff28993e/ENCFF491WXS.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF006OFA	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF558BLC/	10464641	ENCODE Processing Pipeline	33b9ed34179b952dcc895d96c977395c		https://www.encodeproject.org/files/ENCFF006OFA/@@download/ENCFF006OFA.bigBed				released	s3://encode-public/2021/02/24/7715173c-4401-4037-8d49-eec0b68eddbc/ENCFF006OFA.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/7715173c-4401-4037-8d49-eec0b68eddbc/ENCFF006OFA.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF317TUU	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1							/files/ENCFF987XOV/	7369663	ENCODE Processing Pipeline	a55b19f5ad2dfac237d92e0196d0f524		https://www.encodeproject.org/files/ENCFF317TUU/@@download/ENCFF317TUU.bed.gz				released	s3://encode-public/2021/02/24/d5b543e7-0db4-4734-b8b8-a4098b69b0c0/ENCFF317TUU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/d5b543e7-0db4-4734-b8b8-a4098b69b0c0/ENCFF317TUU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF695IGF	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF512VEZ/, /files/ENCFF356LFX/, /files/ENCFF987XOV/	2719201	ENCODE Processing Pipeline	a65d80685a70bf0263007315e3c21cf4		https://www.encodeproject.org/files/ENCFF695IGF/@@download/ENCFF695IGF.bed.gz				released	s3://encode-public/2021/02/24/ef00a9a7-62c7-445e-8a6a-7bbfa6eeed51/ENCFF695IGF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/ef00a9a7-62c7-445e-8a6a-7bbfa6eeed51/ENCFF695IGF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF155UDS	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1							/files/ENCFF976CEI/	3899839	ENCODE Processing Pipeline	4582704f4a79fa1a57d50fcf27dd06ca		https://www.encodeproject.org/files/ENCFF155UDS/@@download/ENCFF155UDS.bigBed				released	s3://encode-public/2021/02/24/56626323-db4c-40d8-a556-521eabe352bc/ENCFF155UDS.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/56626323-db4c-40d8-a556-521eabe352bc/ENCFF155UDS.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF976CEI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1							/files/ENCFF356LFX/, /files/ENCFF987XOV/	1892653	ENCODE Processing Pipeline	5265c22d86d210e12fd62ad5e438b8ac		https://www.encodeproject.org/files/ENCFF976CEI/@@download/ENCFF976CEI.bed.gz				released	s3://encode-public/2021/02/24/983300bd-9bb3-4433-a528-7f17dbff6e23/ENCFF976CEI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/983300bd-9bb3-4433-a528-7f17dbff6e23/ENCFF976CEI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF769CHO	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF512VEZ/, /files/ENCFF987XOV/	10480479	ENCODE Processing Pipeline	972003637d5b6e4cbf99aaafc438afdb		https://www.encodeproject.org/files/ENCFF769CHO/@@download/ENCFF769CHO.bed.gz				released	s3://encode-public/2021/02/24/80fa165b-a829-41c4-9aec-3c1088563604/ENCFF769CHO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/80fa165b-a829-41c4-9aec-3c1088563604/ENCFF769CHO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF558BLC	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF512VEZ/, /files/ENCFF356LFX/, /files/ENCFF987XOV/	4989495	ENCODE Processing Pipeline	3cd5e262b185a5459cfeaa5a2f1a2f18		https://www.encodeproject.org/files/ENCFF558BLC/@@download/ENCFF558BLC.bed.gz				released	s3://encode-public/2021/02/24/951841cc-1614-4971-9fb8-a61c03d4b167/ENCFF558BLC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/951841cc-1614-4971-9fb8-a61c03d4b167/ENCFF558BLC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF925CYR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF512VEZ/, /files/ENCFF356LFX/, /files/ENCFF987XOV/	2777441	ENCODE Processing Pipeline	a2b384cec478736092661d14eef3cef9		https://www.encodeproject.org/files/ENCFF925CYR/@@download/ENCFF925CYR.bed.gz				released	s3://encode-public/2021/02/24/6f3f65f7-8e9b-4230-8f28-ac4df690467f/ENCFF925CYR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/6f3f65f7-8e9b-4230-8f28-ac4df690467f/ENCFF925CYR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF293GOJ	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1							/files/ENCFF117MSK/	4339188	ENCODE Processing Pipeline	5ac7614b015ad2f666e449e4c4efcd18		https://www.encodeproject.org/files/ENCFF293GOJ/@@download/ENCFF293GOJ.bigBed				released	s3://encode-public/2021/02/24/b3f4b66f-a080-4085-a64b-6f862a2cf618/ENCFF293GOJ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/b3f4b66f-a080-4085-a64b-6f862a2cf618/ENCFF293GOJ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
