Chrom	Start	End	TSS	Gene	CMD
chr12	110726151	112325737	112013347	ERP29	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.ERP29.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr12 --x1 110726151 --y1 112325737 --x2 112010347 --y2 112016347 --verbose
chr4	55237590	56068531	55636298	NMU	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.NMU.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr4 --x1 55237590 --y1 56068531 --x2 55633298 --y2 55639298 --verbose
chr5	87611207	89911163	88883184	MEF2C	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.MEF2C.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr5 --x1 87611207 --y1 89911163 --x2 88880184 --y2 88886184 --verbose
chr6	108840570	109828800	109382467	CD164	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.CD164.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr6 --x1 108840570 --y1 109828800 --x2 109379467 --y2 109385467 --verbose
chr6	134253831	136927585	135054822	HBS1L	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.HBS1L.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr6 --x1 134253831 --y1 136927585 --x2 135051822 --y2 135057822 --verbose
chr6	134253831	136927585	135181307	MYB	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.MYB.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr6 --x1 134253831 --y1 136927585 --x2 135178307 --y2 135184307 --verbose
chr8	126736094	128735225	127736230	MYC	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.MYC.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr8 --x1 126736094 --y1 128735225 --x2 127733230 --y2 127739230 --verbose
chr8	126736094	128735225	127794532	PVT1	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.PVT1.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr8 --x1 126736094 --y1 128735225 --x2 127791532 --y2 127797532 --verbose
chrX	48397930	49656988	48786589	GATA1	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.GATA1.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chrX --x1 48397930 --y1 49656988 --x2 48783589 --y2 48789589 --verbose
chrX	48397930	49656988	48802066	HDAC6	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.HDAC6.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chrX --x1 48397930 --y1 49656988 --x2 48799066 --y2 48805066 --verbose
