Chrom	ChromStart	ChromEnd	Region	Group	Label	Zcore	Assay_Label
chr11	61800349	61801103	chr11:61800349-61801103	Distal:Active	Screen:NotSignif	-0.02058215454545454	CRISPRi-HCRFF
chr11	61814760	61817324	chr11:61814760-61817324	Proximal:Active	Screen:Signif	0.887443227124183	CRISPRi-HCRFF
chr11	61834152	61835279	chr11:61834152-61835279	Distal:Active	Screen:Signif	2.1314399521276597	CRISPRi-HCRFF
chr11	61841564	61842800	chr11:61841564-61842800	Distal:Active	Screen:Signif	0.8487450023148148	CRISPRi-HCRFF
chr11	61853786	61854127	chr11:61853786-61854127	Distal:Active	Screen:NotSignif	-0.0958427857142857	CRISPRi-HCRFF
chr11	61869603	61871777	chr11:61869603-61871777	Distal:Active	Screen:Signif	-0.28468870937499996	CRISPRi-HCRFF
chr11	61877858	61878551	chr11:61877858-61878551	Proximal:Active	Screen:NotSignif	-0.0386058287671233	CRISPRi-HCRFF
chr12	110797005	110797391	chr12:110797005-110797391	Distal:Active	Screen:NotSignif	0.023692	CRISPRi-HCRFF
chr12	110852997	110853815	chr12:110852997-110853815	Distal:Active	Screen:NotSignif	-0.09701469230769232	CRISPRi-HCRFF
chr12	111023999	111024663	chr12:111023999-111024663	Distal:Repressive	Screen:NotSignif	-0.08259714285714286	CRISPRi-HCRFF
chr12	111212331	111212582	chr12:111212331-111212582	Distal:Repressive	Screen:NotSignif	-0.14053163636363636	CRISPRi-HCRFF
chr12	111313575	111314509	chr12:111313575-111314509	Distal:Repressive	Screen:NotSignif	-0.16037913333333334	CRISPRi-HCRFF
chr12	111409712	111410408	chr12:111409712-111410408	Distal:Active	Screen:NotSignif	-0.0517065633802817	CRISPRi-HCRFF
chr12	111444599	111446495	chr12:111444599-111446495	Distal:Active	Screen:NotSignif	-0.02489667701863353	CRISPRi-HCRFF
chr12	111685259	111687497	chr12:111685259-111687497	Proximal:Active	Screen:NotSignif	0.04647475757575757	CRISPRi-HCRFF
chr12	111766450	111767420	chr12:111766450-111767420	Proximal:Active	Screen:NotSignif	-0.04491230597014926	CRISPRi-HCRFF
chr12	111791131	111792777	chr12:111791131-111792777	Distal:Active	Screen:NotSignif	0.11037710909090909	CRISPRi-HCRFF
chr12	111841546	111843009	chr12:111841546-111843009	Proximal:Active	Screen:NotSignif	-0.0926972328042328	CRISPRi-HCRFF
chr12	112012541	112014427	chr12:112012541-112014427	Proximal:Active	Screen:Signif	2.716701463276836	CRISPRi-HCRFF
chr12	112108060	112109961	chr12:112108060-112109961	Proximal:Active	Screen:NotSignif	-0.2597778666666667	CRISPRi-HCRFF
chr12	112125081	112126122	chr12:112125081-112126122	Proximal:Active	Screen:NotSignif	-0.05113952	CRISPRi-HCRFF
chr12	112170097	112170623	chr12:112170097-112170623	Distal:Active	Screen:NotSignif	-0.00315062222222222	CRISPRi-HCRFF
chr19	12886977	12887949	chr19:12886977-12887949	Proximal:Active	Screen:NotSignif	-0.6732508749999999	CRISPRi-HCRFF
chr4	55297039	55297954	chr4:55297039-55297954	Distal:Active	Screen:NotSignif	-0.34007295238095236	CRISPRi-HCRFF
chr4	55335908	55337237	chr4:55335908-55337237	Distal:Repressive	Screen:NotSignif	-0.02796885714285714	CRISPRi-HCRFF
chr4	55385993	55387513	chr4:55385993-55387513	Proximal:Active	Screen:NotSignif	-0.06416625641025642	CRISPRi-HCRFF
chr4	55395342	55396688	chr4:55395342-55396688	Proximal:Active	Screen:NotSignif	-0.1545193074074074	CRISPRi-HCRFF
chr4	55545688	55547439	chr4:55545688-55547439	Proximal:Active	Screen:NotSignif	0.02674288533333333	CRISPRi-HCRFF
chr4	55619011	55620016	chr4:55619011-55620016	Distal:Active	Screen:NotSignif	0.5292297499999999	CRISPRi-HCRFF
chr4	55664439	55664763	chr4:55664439-55664763	Distal:Repressive	Screen:NotSignif	0.05785629032258065	CRISPRi-HCRFF
chr4	55853298	55854351	chr4:55853298-55854351	Proximal:Active	Screen:NotSignif	0.02361741916167664	CRISPRi-HCRFF
chr4	55948488	55949719	chr4:55948488-55949719	Proximal:Active	Screen:NotSignif	0.01119587387387387	CRISPRi-HCRFF
chr5	88268239	88269667	chr5:88268239-88269667	Proximal:Active	Screen:NotSignif	-0.04973838064516129	CRISPRi-HCRFF
chr5	88380242	88380714	chr5:88380242-88380714	Distal:Active	Screen:NotSignif	0.08494107142857144	CRISPRi-HCRFF
chr5	89313580	89314536	chr5:89313580-89314536	Distal:Active	Screen:NotSignif	0.0273912131147541	CRISPRi-HCRFF
chr6	109094265	109095749	chr6:109094265-109095749	Proximal:Active	Screen:NotSignif	-0.07119676383763839	CRISPRi-HCRFF
chr6	109236260	109237506	chr6:109236260-109237506	Distal:Active	Screen:Signif	0.5577171666666667	CRISPRi-HCRFF
chr6	109303663	109305046	chr6:109303663-109305046	Distal:Active	Screen:Signif	4.836053827067669	CRISPRi-HCRFF
chr6	109381785	109383410	chr6:109381785-109383410	Proximal:Active	Screen:Signif	1.216777290102389	CRISPRi-HCRFF
chr6	109424257	109425469	chr6:109424257-109425469	Distal:Active	Screen:NotSignif	-0.06871984615384616	CRISPRi-HCRFF
chr6	109445721	109446350	chr6:109445721-109446350	Distal:Active	Screen:NotSignif	-0.0749753738317757	CRISPRi-HCRFF
chr6	134295767	134296571	chr6:134295767-134296571	Distal:Active	Screen:NotSignif	-0.02409638148148148	CRISPRi-HCRFF
chr6	134436070	134436767	chr6:134436070-134436767	Proximal:Active	Screen:NotSignif	-0.11140575254237288	CRISPRi-HCRFF
chr6	134585315	134586206	chr6:134585315-134586206	Distal:Active	Screen:NotSignif	-0.184305575	CRISPRi-HCRFF
chr6	135054298	135055475	chr6:135054298-135055475	Proximal:Active	Screen:Signif	0.7231026165605096	CRISPRi-HCRFF
chr6	135088951	135089538	chr6:135088951-135089538	Distal:Active	Screen:NotSignif	-0.022887695	CRISPRi-HCRFF
chr6	135144798	135145204	chr6:135144798-135145204	Distal:Active	Screen:NotSignif	-0.1387627894736842	CRISPRi-HCRFF
chr6	135147516	135148331	chr6:135147516-135148331	Distal:Active	Screen:NotSignif	-0.04504019090909091	CRISPRi-HCRFF
chr6	135195556	135195783	chr6:135195556-135195783	Distal:Active	Screen:NotSignif	-0.00659470999999999	CRISPRi-HCRFF
chr6	135321127	135321896	chr6:135321127-135321896	Distal:Active	Screen:Signif	0.1868253813953488	CRISPRi-HCRFF
chr6	135322911	135323679	chr6:135322911-135323679	Distal:Active	Screen:Signif	0.2651481650793651	CRISPRi-HCRFF
chr6	135497327	135498687	chr6:135497327-135498687	Proximal:Active	Screen:NotSignif	-0.05418665915492957	CRISPRi-HCRFF
chr6	135523197	135523846	chr6:135523197-135523846	Distal:Active	Screen:NotSignif	0.01534174736842105	CRISPRi-HCRFF
chr6	136236555	136237272	chr6:136236555-136237272	Distal:Active	Screen:NotSignif	-0.0415149025	CRISPRi-HCRFF
chr6	136249582	136250970	chr6:136249582-136250970	Proximal:Active	Screen:NotSignif	-0.07004867231638419	CRISPRi-HCRFF
chr6	136288887	136290583	chr6:136288887-136290583	Proximal:Active	Screen:NotSignif	-0.10977687421875	CRISPRi-HCRFF
chr6	136334106	136335284	chr6:136334106-136335284	Distal:Active	Screen:NotSignif	-0.04387202888888888	CRISPRi-HCRFF
chr6	136402216	136403902	chr6:136402216-136403902	Distal:Active	Screen:NotSignif	-0.01699851578947368	CRISPRi-HCRFF
chr6	136426335	136427541	chr6:136426335-136427541	Distal:Active	Screen:NotSignif	-0.04333492043010753	CRISPRi-HCRFF
chr6	136608085	136608808	chr6:136608085-136608808	Distal:Repressive	Screen:NotSignif	-0.09079024864864864	CRISPRi-HCRFF
chr6	136609554	136610570	chr6:136609554-136610570	Distal:Active	Screen:NotSignif	-0.04881074626865672	CRISPRi-HCRFF
chr6	136737277	136738773	chr6:136737277-136738773	Distal:Active	Screen:NotSignif	-0.10093745125	CRISPRi-HCRFF
chr6	136743054	136743745	chr6:136743054-136743745	Distal:Repressive	Screen:NotSignif	-0.07731196666666668	CRISPRi-HCRFF
chr6	136754639	136755616	chr6:136754639-136755616	Distal:Active	Screen:NotSignif	-0.07128976041666667	CRISPRi-HCRFF
chr6	136822085	136823445	chr6:136822085-136823445	Proximal:Active	Screen:NotSignif	-0.06026576018957346	CRISPRi-HCRFF
chr6	136900498	136901767	chr6:136900498-136901767	Distal:Active	Screen:NotSignif	-0.05800543375	CRISPRi-HCRFF
chr8	126804911	126805784	chr8:126804911-126805784	Distal:Active	Screen:NotSignif	0.25793125	CRISPRi-HCRFF
chr8	127565750	127566108	chr8:127565750-127566108	Distal:Active	Screen:NotSignif	-0.05814942307692308	CRISPRi-HCRFF
chr8	127566376	127567612	chr8:127566376-127567612	Distal:Active	Screen:NotSignif	-0.00834610185185185	CRISPRi-HCRFF
chr8	127573507	127573815	chr8:127573507-127573815	Distal:Active	Screen:NotSignif	-0.4288558333333333	CRISPRi-HCRFF
chr8	127618158	127619728	chr8:127618158-127619728	Distal:Active	Screen:NotSignif	0.0428876224489796	CRISPRi-HCRFF
chr8	127629828	127630269	chr8:127629828-127630269	Distal:Active	Screen:NotSignif	0.26524704545454547	CRISPRi-HCRFF
chr8	127735049	127736592	chr8:127735049-127736592	Proximal:Active	Screen:Signif	0.17960559562841533	CRISPRi-HCRFF
chr8	127742866	127743462	chr8:127742866-127743462	Distal:Active	Screen:NotSignif	-0.15427260714285715	CRISPRi-HCRFF
chr8	127760255	127761321	chr8:127760255-127761321	Distal:Active	Screen:NotSignif	0.01255883333333333	CRISPRi-HCRFF
chr8	127821873	127822866	chr8:127821873-127822866	Distal:Repressive	Screen:NotSignif	-0.21890295	CRISPRi-HCRFF
chr8	127831669	127832452	chr8:127831669-127832452	Distal:Active	Screen:NotSignif	0.04643535483870967	CRISPRi-HCRFF
chr8	127836525	127837172	chr8:127836525-127837172	Distal:Active	Screen:NotSignif	0.10769326086956522	CRISPRi-HCRFF
chr8	127851271	127852500	chr8:127851271-127852500	Distal:Active	Screen:NotSignif	0.0108248375	CRISPRi-HCRFF
chr8	127854079	127854881	chr8:127854079-127854881	Distal:Active	Screen:NotSignif	-0.1086219831460674	CRISPRi-HCRFF
chr8	127859470	127860565	chr8:127859470-127860565	Distal:Active	Screen:NotSignif	0.03840581609195403	CRISPRi-HCRFF
chr8	127898375	127899697	chr8:127898375-127899697	Distal:Active	Screen:Signif	0.527351568627451	CRISPRi-HCRFF
chr8	127911028	127912280	chr8:127911028-127912280	Distal:Active	Screen:NotSignif	0.12694647692307692	CRISPRi-HCRFF
chr8	127925888	127926630	chr8:127925888-127926630	Distal:Active	Screen:NotSignif	0.1882512962962963	CRISPRi-HCRFF
chr8	127948580	127950472	chr8:127948580-127950472	Proximal:Active	Screen:NotSignif	0.10490665449438202	CRISPRi-HCRFF
chr8	127959691	127960934	chr8:127959691-127960934	Proximal:Active	Screen:Signif	1.146738685840708	CRISPRi-HCRFF
chr8	127987108	127988285	chr8:127987108-127988285	Distal:Active	Screen:NotSignif	0.1773826951219512	CRISPRi-HCRFF
chr8	128035051	128035678	chr8:128035051-128035678	Distal:Active	Screen:NotSignif	-0.11666442741935484	CRISPRi-HCRFF
chr8	128048132	128049661	chr8:128048132-128049661	Proximal:Active	Screen:Signif	0.6487839703703704	CRISPRi-HCRFF
chr8	128065227	128066238	chr8:128065227-128066238	Distal:Active	Screen:NotSignif	0.07178242372881355	CRISPRi-HCRFF
chr8	128176553	128177823	chr8:128176553-128177823	Distal:Active	Screen:NotSignif	0.11428469396551724	CRISPRi-HCRFF
chr8	128326714	128327375	chr8:128326714-128327375	Distal:Active	Screen:NotSignif	0.10715551612903224	CRISPRi-HCRFF
chr8	128343460	128344448	chr8:128343460-128344448	Distal:Active	Screen:NotSignif	-0.10132732352941176	CRISPRi-HCRFF
chr8	128376887	128377542	chr8:128376887-128377542	Distal:Active	Screen:NotSignif	0.2707743888888889	CRISPRi-HCRFF
chr8	128427842	128428886	chr8:128427842-128428886	Distal:Active	Screen:NotSignif	0.00450880555555555	CRISPRi-HCRFF
chr8	128553227	128553516	chr8:128553227-128553516	Distal:Active	Screen:NotSignif	-0.14785515384615383	CRISPRi-HCRFF
chr8	128556599	128557346	chr8:128556599-128557346	Distal:Active	Screen:NotSignif	-0.00649195283018867	CRISPRi-HCRFF
chrX	48475486	48476581	chrX:48475486-48476581	Proximal:Active	Screen:NotSignif	-0.11041391860465116	CRISPRi-HCRFF
chrX	48496662	48497006	chrX:48496662-48497006	Distal:Active	Screen:NotSignif	-0.1922362948717949	CRISPRi-HCRFF
chrX	48508130	48509332	chrX:48508130-48509332	Proximal:Active	Screen:NotSignif	-7.73215189873418e-4	CRISPRi-HCRFF
chrX	48521203	48522599	chrX:48521203-48522599	Proximal:Active	Screen:NotSignif	-0.05914197142857143	CRISPRi-HCRFF
chrX	48539033	48540224	chrX:48539033-48540224	Proximal:Active	Screen:NotSignif	-0.07646866551724138	CRISPRi-HCRFF
chrX	48573742	48575170	chrX:48573742-48575170	Proximal:Active	Screen:NotSignif	-0.11927491256830602	CRISPRi-HCRFF
chrX	48597111	48598445	chrX:48597111-48598445	Proximal:Active	Screen:NotSignif	-0.05322162021857923	CRISPRi-HCRFF
chrX	48611696	48612019	chrX:48611696-48612019	Distal:Repressive	Screen:NotSignif	-0.01007329310344828	CRISPRi-HCRFF
chrX	48636803	48637025	chrX:48636803-48637025	Distal:Active	Screen:NotSignif	0.03493043749999999	CRISPRi-HCRFF
chrX	48675983	48677059	chrX:48675983-48677059	Distal:Active	Screen:NotSignif	-0.130021216374269	CRISPRi-HCRFF
chrX	48680444	48680761	chrX:48680444-48680761	Distal:Active	Screen:NotSignif	-0.3546495	CRISPRi-HCRFF
chrX	48683450	48683862	chrX:48683450-48683862	Proximal:Active	Screen:NotSignif	-0.03142581081081081	CRISPRi-HCRFF
chrX	48695988	48697417	chrX:48695988-48697417	Proximal:Active	Screen:NotSignif	-0.10534075210084032	CRISPRi-HCRFF
chrX	48701841	48702690	chrX:48701841-48702690	Distal:Active	Screen:NotSignif	0.05149190853658536	CRISPRi-HCRFF
chrX	48708963	48710121	chrX:48708963-48710121	Distal:Active	Screen:NotSignif	-0.12834830833333333	CRISPRi-HCRFF
chrX	48736870	48738018	chrX:48736870-48738018	Distal:Active	Screen:NotSignif	0.04789366225165563	CRISPRi-HCRFF
chrX	48753379	48754663	chrX:48753379-48754663	Distal:Repressive	Screen:NotSignif	-0.07707950000000001	CRISPRi-HCRFF
chrX	48782613	48783539	chrX:48782613-48783539	Distal:Active	Screen:Signif	1.5321585777777778	CRISPRi-HCRFF
chrX	48793932	48795665	chrX:48793932-48795665	Distal:Active	Screen:NotSignif	0.05950384431137724	CRISPRi-HCRFF
chrX	48800389	48802800	chrX:48800389-48802800	Proximal:Active	Screen:Signif	1.176995393465909	CRISPRi-HCRFF
chrX	48823107	48823526	chrX:48823107-48823526	Distal:Active	Screen:NotSignif	0.1883914677419355	CRISPRi-HCRFF
chrX	48867915	48868261	chrX:48867915-48868261	Distal:Active	Screen:NotSignif	-0.0850235	CRISPRi-HCRFF
chrX	48891012	48892258	chrX:48891012-48892258	Distal:Active	Screen:NotSignif	-0.06645336363636364	CRISPRi-HCRFF
chrX	48896967	48898608	chrX:48896967-48898608	Proximal:Active	Screen:NotSignif	-0.04087750858369099	CRISPRi-HCRFF
chrX	48911144	48912544	chrX:48911144-48912544	Proximal:Active	Screen:NotSignif	-0.08888339687499999	CRISPRi-HCRFF
chrX	48918589	48919706	chrX:48918589-48919706	Proximal:Active	Screen:NotSignif	-0.10044713028169014	CRISPRi-HCRFF
chrX	48936900	48937740	chrX:48936900-48937740	Distal:Active	Screen:NotSignif	0.00363387168141593	CRISPRi-HCRFF
chrX	48940490	48942141	chrX:48940490-48942141	Distal:Active	Screen:NotSignif	0.14943660185185184	CRISPRi-HCRFF
chrX	48957161	48958865	chrX:48957161-48958865	Proximal:Active	Screen:NotSignif	-0.04315664705882352	CRISPRi-HCRFF
chrX	48961450	48962245	chrX:48961450-48962245	Distal:Active	Screen:NotSignif	0.05459639726027397	CRISPRi-HCRFF
chrX	49001551	49002793	chrX:49001551-49002793	Proximal:Active	Screen:NotSignif	-0.00667026946107784	CRISPRi-HCRFF
chrX	49039753	49040214	chrX:49039753-49040214	Distal:Active	Screen:NotSignif	-0.05299359482758621	CRISPRi-HCRFF
chrX	49043078	49044121	chrX:49043078-49044121	Proximal:Active	Screen:NotSignif	-0.10379860946745562	CRISPRi-HCRFF
chrX	49053305	49054109	chrX:49053305-49054109	Proximal:Active	Screen:NotSignif	-0.03155224836601307	CRISPRi-HCRFF
chrX	49079555	49080646	chrX:49079555-49080646	Distal:Active	Screen:NotSignif	-0.04964267346938775	CRISPRi-HCRFF
chrX	49106737	49107366	chrX:49106737-49107366	Distal:Active	Screen:NotSignif	-0.00686360256410256	CRISPRi-HCRFF
chrX	49123407	49124229	chrX:49123407-49124229	Proximal:Active	Screen:NotSignif	-0.0914747012987013	CRISPRi-HCRFF
chrX	49147952	49149627	chrX:49147952-49149627	Distal:Active	Screen:NotSignif	-0.16362806	CRISPRi-HCRFF
chrX	49155054	49156735	chrX:49155054-49156735	Distal:Active	Screen:NotSignif	-0.00388897393364928	CRISPRi-HCRFF
chrX	49166341	49167594	chrX:49166341-49167594	Distal:Active	Screen:NotSignif	-0.09183855741626797	CRISPRi-HCRFF
chrX	49171731	49172813	chrX:49171731-49172813	Proximal:Active	Screen:NotSignif	-0.05270659948979592	CRISPRi-HCRFF
chrX	49175599	49175928	chrX:49175599-49175928	Distal:Active	Screen:NotSignif	-0.00795086458333333	CRISPRi-HCRFF
chrX	49177149	49178227	chrX:49177149-49178227	Distal:Active	Screen:NotSignif	-0.01834490344827586	CRISPRi-HCRFF
chrX	49184084	49185008	chrX:49184084-49185008	Proximal:Active	Screen:NotSignif	-0.05438794585987261	CRISPRi-HCRFF
chrX	49185968	49186690	chrX:49185968-49186690	Proximal:Active	Screen:NotSignif	-0.0033625041322314	CRISPRi-HCRFF
chrX	49190728	49191897	chrX:49190728-49191897	Distal:Active	Screen:NotSignif	-0.10206142631578947	CRISPRi-HCRFF
chrX	49209666	49210523	chrX:49209666-49210523	Distal:Active	Screen:NotSignif	-0.1322618735632184	CRISPRi-HCRFF
chrX	49230216	49231398	chrX:49230216-49231398	Proximal:Active	Screen:NotSignif	-0.13050301420454546	CRISPRi-HCRFF
chrX	49235209	49235753	chrX:49235209-49235753	Proximal:Active	Screen:NotSignif	-0.00488412162162162	CRISPRi-HCRFF
chrX	49244230	49244850	chrX:49244230-49244850	Distal:Active	Screen:NotSignif	-0.1403056785714286	CRISPRi-HCRFF
chrX	49268831	49270276	chrX:49268831-49270276	Proximal:Active	Screen:NotSignif	-0.067427015625	CRISPRi-HCRFF
chrX	49626955	49627684	chrX:49626955-49627684	Distal:Active	Screen:NotSignif	-0.06919997247706422	CRISPRi-HCRFF
