Chrom	ChromStart	ChromEnd	Region	Num_Assay	Assays
chr1	3575712	3576299	chr1:3575712-3576299	3	ASTARR,LMPRA,WSTARR
chr1	3590458	3591162	chr1:3590458-3591162	2	ASTARR,WSTARR
chr1	3613645	3614052	chr1:3613645-3614052	2	ASTARR,WSTARR
chr1	3624351	3625918	chr1:3624351-3625918	2	ASTARR,WSTARR
chr1	3649686	3650381	chr1:3649686-3650381	3	ASTARR,LMPRA,WSTARR
chr1	3651608	3653502	chr1:3651608-3653502	2	ASTARR,WSTARR
chr1	3680629	3681397	chr1:3680629-3681397	2	ASTARR,WSTARR
chr1	3683838	3684590	chr1:3683838-3684590	2	ASTARR,WSTARR
chr1	3702142	3703554	chr1:3702142-3703554	2	ASTARR,WSTARR
chr1	3705399	3705987	chr1:3705399-3705987	2	ASTARR,CRISPRi-Growth
chr1	3720028	3720472	chr1:3720028-3720472	2	ASTARR,WSTARR
chr1	3727234	3728218	chr1:3727234-3728218	2	ASTARR,WSTARR
chr1	3729436	3730532	chr1:3729436-3730532	2	ASTARR,WSTARR
chr1	3732054	3733348	chr1:3732054-3733348	2	ASTARR,WSTARR
chr1	3746238	3747835	chr1:3746238-3747835	3	ASTARR,LMPRA,WSTARR
chr1	3774056	3776283	chr1:3774056-3776283	2	WSTARR,E2G-Benchmark
chr1	3795662	3797054	chr1:3795662-3797054	2	LMPRA,WSTARR
chr1	3807791	3808275	chr1:3807791-3808275	2	ASTARR,WSTARR
chr1	3810628	3811784	chr1:3810628-3811784	2	ASTARR,CRISPRi-Growth
chr1	3822307	3823270	chr1:3822307-3823270	2	ASTARR,WSTARR
chr1	3856623	3858303	chr1:3856623-3858303	3	ASTARR,LMPRA,WSTARR
chr1	3880371	3881744	chr1:3880371-3881744	2	ASTARR,WSTARR
chr1	3899654	3901703	chr1:3899654-3901703	2	ASTARR,WSTARR
chr1	3922037	3922804	chr1:3922037-3922804	2	ASTARR,WSTARR
chr1	3942687	3943391	chr1:3942687-3943391	2	ASTARR,WSTARR
chr1	3975783	3976495	chr1:3975783-3976495	2	ASTARR,WSTARR
chr1	4021224	4021807	chr1:4021224-4021807	2	ASTARR,WSTARR
chr1	4132747	4133678	chr1:4132747-4133678	2	ASTARR,WSTARR
chr1	4177477	4178015	chr1:4177477-4178015	2	ASTARR,WSTARR
chr1	4228083	4228524	chr1:4228083-4228524	3	ASTARR,LMPRA,CRISPRi-Growth
chr1	4328335	4328919	chr1:4328335-4328919	2	LMPRA,WSTARR
chr1	4652533	4653423	chr1:4652533-4653423	2	ASTARR,WSTARR
chr1	4702579	4702862	chr1:4702579-4702862	2	ASTARR,WSTARR
chr1	4726704	4727682	chr1:4726704-4727682	2	ASTARR,WSTARR
chr1	4768633	4768990	chr1:4768633-4768990	2	LMPRA,WSTARR
chr1	5304733	5305546	chr1:5304733-5305546	2	ASTARR,WSTARR
chr1	5551455	5551874	chr1:5551455-5551874	2	ASTARR,LMPRA
chr1	5688600	5689638	chr1:5688600-5689638	2	ASTARR,LMPRA
chr1	5704819	5705853	chr1:5704819-5705853	2	ASTARR,WSTARR
chr1	5780187	5781394	chr1:5780187-5781394	2	ASTARR,WSTARR
chr1	5827867	5828696	chr1:5827867-5828696	2	ASTARR,WSTARR
chr1	5877690	5878234	chr1:5877690-5878234	2	ASTARR,WSTARR
chr1	5885475	5886502	chr1:5885475-5886502	2	ASTARR,LMPRA
chr1	5917218	5918192	chr1:5917218-5918192	3	ASTARR,LMPRA,WSTARR
chr1	5980233	5980946	chr1:5980233-5980946	2	ASTARR,LMPRA
chr1	5991764	5993163	chr1:5991764-5993163	3	ASTARR,LMPRA,WSTARR
chr1	6006798	6008089	chr1:6006798-6008089	3	ASTARR,LMPRA,WSTARR
chr1	6025320	6027415	chr1:6025320-6027415	3	ASTARR,LMPRA,WSTARR
chr1	6045104	6045828	chr1:6045104-6045828	2	ASTARR,WSTARR
chr1	6074418	6074932	chr1:6074418-6074932	2	ASTARR,LMPRA
chr1	6075901	6076351	chr1:6075901-6076351	2	LMPRA,WSTARR
chr1	6094440	6095385	chr1:6094440-6095385	2	ASTARR,WSTARR
chr1	6105487	6106668	chr1:6105487-6106668	2	LMPRA,WSTARR
chr1	6127515	6128594	chr1:6127515-6128594	3	ASTARR,LMPRA,WSTARR
chr1	6134390	6135454	chr1:6134390-6135454	2	ASTARR,WSTARR
chr1	6148153	6149346	chr1:6148153-6149346	2	ASTARR,WSTARR
chr1	6171158	6172192	chr1:6171158-6172192	2	ASTARR,WSTARR
chr1	6183234	6184629	chr1:6183234-6184629	2	ASTARR,WSTARR
chr1	6199010	6200291	chr1:6199010-6200291	3	ASTARR,LMPRA,WSTARR
chr1	6208747	6209804	chr1:6208747-6209804	2	ASTARR,WSTARR
chr1	6235016	6236637	chr1:6235016-6236637	2	ASTARR,WSTARR
chr1	6245122	6247225	chr1:6245122-6247225	2	ASTARR,WSTARR
chr1	6248956	6249483	chr1:6248956-6249483	2	ASTARR,LMPRA
chr1	6259723	6262281	chr1:6259723-6262281	2	ASTARR,WSTARR
chr1	6269587	6270249	chr1:6269587-6270249	2	ASTARR,CRISPRi-Growth
chr1	6275920	6277293	chr1:6275920-6277293	3	ASTARR,WSTARR,CRISPRi-Growth
chr1	6313514	6313761	chr1:6313514-6313761	2	ASTARR,WSTARR
chr1	6319697	6319970	chr1:6319697-6319970	2	ASTARR,WSTARR
chr1	6378009	6378743	chr1:6378009-6378743	2	ASTARR,LMPRA
chr1	6385659	6386721	chr1:6385659-6386721	2	ASTARR,WSTARR
chr1	6392764	6394401	chr1:6392764-6394401	2	ASTARR,WSTARR
chr1	6447253	6449470	chr1:6447253-6449470	2	ASTARR,WSTARR
chr1	6465918	6466447	chr1:6465918-6466447	2	ASTARR,WSTARR
chr1	6488981	6490979	chr1:6488981-6490979	2	ASTARR,WSTARR
chr1	6508688	6509449	chr1:6508688-6509449	2	ASTARR,WSTARR
chr1	6517427	6517995	chr1:6517427-6517995	2	ASTARR,CRISPRi-Growth
chr1	6523619	6524063	chr1:6523619-6524063	3	ASTARR,LMPRA,CRISPRi-Growth
chr1	6553721	6555462	chr1:6553721-6555462	3	ASTARR,LMPRA,WSTARR
chr1	6579389	6581129	chr1:6579389-6581129	2	ASTARR,LMPRA
chr1	6600854	6604169	chr1:6600854-6604169	3	ASTARR,LMPRA,WSTARR
chr1	6612782	6615054	chr1:6612782-6615054	3	ASTARR,WSTARR,CRISPRi-Growth
chr1	6624609	6625976	chr1:6624609-6625976	3	ASTARR,LMPRA,WSTARR
chr1	6648490	6649143	chr1:6648490-6649143	2	ASTARR,WSTARR
chr1	6700962	6702422	chr1:6700962-6702422	2	ASTARR,WSTARR
chr1	6724011	6724349	chr1:6724011-6724349	3	ASTARR,LMPRA,WSTARR
chr1	6784286	6785583	chr1:6784286-6785583	2	ASTARR,WSTARR
chr1	6911176	6911506	chr1:6911176-6911506	2	ASTARR,WSTARR
chr1	6912094	6913506	chr1:6912094-6913506	3	ASTARR,LMPRA,WSTARR
chr1	6962059	6963827	chr1:6962059-6963827	2	ASTARR,LMPRA
chr1	7042519	7043259	chr1:7042519-7043259	2	ASTARR,CRISPRi-Growth
chr1	7062599	7063046	chr1:7062599-7063046	2	ASTARR,WSTARR
chr1	7117469	7117987	chr1:7117469-7117987	2	LMPRA,WSTARR
chr1	7235941	7236612	chr1:7235941-7236612	2	ASTARR,WSTARR
chr1	7372063	7372986	chr1:7372063-7372986	3	ASTARR,LMPRA,WSTARR
chr1	7585936	7586848	chr1:7585936-7586848	2	ASTARR,WSTARR
chr1	7608243	7609460	chr1:7608243-7609460	3	ASTARR,LMPRA,WSTARR
chr1	7704118	7704945	chr1:7704118-7704945	2	ASTARR,LMPRA
chr1	7770704	7772195	chr1:7770704-7772195	2	ASTARR,WSTARR
chr1	7810448	7810682	chr1:7810448-7810682	2	ASTARR,WSTARR
chr1	7827101	7828038	chr1:7827101-7828038	3	ASTARR,LMPRA,WSTARR
chr1	7885340	7886223	chr1:7885340-7886223	2	ASTARR,LMPRA
chr1	7953805	7954606	chr1:7953805-7954606	2	LMPRA,WSTARR
chr1	7961018	7962167	chr1:7961018-7962167	3	ASTARR,LMPRA,WSTARR
chr1	8025729	8026874	chr1:8025729-8026874	3	ASTARR,LMPRA,WSTARR
chr1	8061328	8062568	chr1:8061328-8062568	2	ASTARR,LMPRA
chr1	8121840	8123151	chr1:8121840-8123151	2	ASTARR,WSTARR
chr1	8153257	8153833	chr1:8153257-8153833	3	ASTARR,LMPRA,WSTARR
chr1	8197576	8198589	chr1:8197576-8198589	2	ASTARR,WSTARR
chr1	8211913	8212370	chr1:8211913-8212370	3	ASTARR,LMPRA,WSTARR
chr1	8232347	8232828	chr1:8232347-8232828	2	ASTARR,WSTARR
chr1	8338137	8338382	chr1:8338137-8338382	2	ASTARR,WSTARR
chr1	8343305	8343849	chr1:8343305-8343849	2	ASTARR,WSTARR
chr1	8388619	8389645	chr1:8388619-8389645	2	ASTARR,WSTARR
chr1	8422632	8424736	chr1:8422632-8424736	2	ASTARR,WSTARR
chr1	8439003	8440405	chr1:8439003-8440405	2	ASTARR,LMPRA
chr1	8525355	8526520	chr1:8525355-8526520	2	ASTARR,WSTARR
chr1	8626330	8627404	chr1:8626330-8627404	2	ASTARR,CRISPRi-Growth
chr1	8689947	8690445	chr1:8689947-8690445	2	ASTARR,WSTARR
chr1	8789343	8789802	chr1:8789343-8789802	3	ASTARR,LMPRA,WSTARR
chr1	8816839	8818410	chr1:8816839-8818410	2	ASTARR,WSTARR
chr1	8873684	8874025	chr1:8873684-8874025	2	ASTARR,WSTARR
chr1	8877924	8879490	chr1:8877924-8879490	3	ASTARR,LMPRA,WSTARR
chr1	8899651	8900948	chr1:8899651-8900948	3	ASTARR,LMPRA,WSTARR
chr1	8962570	8963315	chr1:8962570-8963315	2	ASTARR,WSTARR
chr1	9009330	9010468	chr1:9009330-9010468	2	ASTARR,LMPRA
chr1	9071360	9072215	chr1:9071360-9072215	2	ASTARR,WSTARR
chr1	9144845	9145519	chr1:9144845-9145519	2	ASTARR,WSTARR
chr1	9150323	9151391	chr1:9150323-9151391	2	ASTARR,WSTARR
chr1	9162899	9164428	chr1:9162899-9164428	2	ASTARR,WSTARR
chr1	9181129	9181712	chr1:9181129-9181712	2	ASTARR,CRISPRi-Growth
chr1	9275385	9276056	chr1:9275385-9276056	2	ASTARR,WSTARR
chr1	9291849	9293848	chr1:9291849-9293848	2	ASTARR,LMPRA
chr1	9299936	9300980	chr1:9299936-9300980	2	ASTARR,WSTARR
chr1	9361400	9362089	chr1:9361400-9362089	2	ASTARR,WSTARR
chr1	9382836	9383330	chr1:9382836-9383330	2	LMPRA,WSTARR
chr1	9385558	9386671	chr1:9385558-9386671	2	WSTARR,CRISPRi-Growth
chr1	9428534	9429502	chr1:9428534-9429502	2	LMPRA,WSTARR
chr1	9444108	9444839	chr1:9444108-9444839	2	ASTARR,WSTARR
chr1	9490800	9491511	chr1:9490800-9491511	2	ASTARR,WSTARR
chr1	9538846	9540398	chr1:9538846-9540398	2	ASTARR,WSTARR
chr1	9588288	9589758	chr1:9588288-9589758	2	ASTARR,WSTARR
chr1	9593239	9594212	chr1:9593239-9594212	2	LMPRA,WSTARR
chr1	9602657	9603714	chr1:9602657-9603714	2	ASTARR,WSTARR
chr1	9629778	9630414	chr1:9629778-9630414	2	ASTARR,WSTARR
chr1	9651695	9652556	chr1:9651695-9652556	2	ASTARR,WSTARR
chr1	9657355	9658340	chr1:9657355-9658340	2	LMPRA,WSTARR
chr1	9687164	9688176	chr1:9687164-9688176	2	ASTARR,LMPRA
chr1	9688810	9690136	chr1:9688810-9690136	3	ASTARR,LMPRA,WSTARR
chr1	9717039	9718221	chr1:9717039-9718221	3	ASTARR,LMPRA,WSTARR
chr1	9718626	9719632	chr1:9718626-9719632	2	ASTARR,WSTARR
chr1	9774530	9775855	chr1:9774530-9775855	3	ASTARR,LMPRA,WSTARR
chr1	9823014	9824911	chr1:9823014-9824911	2	ASTARR,WSTARR
chr1	9848486	9850296	chr1:9848486-9850296	3	ASTARR,WSTARR,CRISPRi-Growth
chr1	9867235	9868060	chr1:9867235-9868060	2	ASTARR,WSTARR
chr1	9929048	9930176	chr1:9929048-9930176	3	ASTARR,LMPRA,WSTARR
chr1	9942478	9944017	chr1:9942478-9944017	3	ASTARR,LMPRA,WSTARR
chr1	9950212	9950921	chr1:9950212-9950921	2	ASTARR,LMPRA
chr1	10032429	10033763	chr1:10032429-10033763	3	ASTARR,LMPRA,WSTARR
chr1	10398409	10399778	chr1:10398409-10399778	3	ASTARR,LMPRA,CRISPRi-Growth
chr1	10414948	10415714	chr1:10414948-10415714	2	ASTARR,WSTARR
chr1	10429971	10431265	chr1:10429971-10431265	2	ASTARR,WSTARR
chr1	10474552	10475672	chr1:10474552-10475672	3	ASTARR,LMPRA,WSTARR
chr1	10510631	10511889	chr1:10510631-10511889	2	ASTARR,LMPRA
chr1	10546828	10547406	chr1:10546828-10547406	2	ASTARR,WSTARR
chr1	10555802	10556945	chr1:10555802-10556945	2	ASTARR,WSTARR
chr1	10638212	10638532	chr1:10638212-10638532	2	ASTARR,WSTARR
chr1	10666626	10667177	chr1:10666626-10667177	2	ASTARR,WSTARR
chr1	10721672	10722093	chr1:10721672-10722093	2	ASTARR,WSTARR
chr1	10766940	10767503	chr1:10766940-10767503	2	ASTARR,WSTARR
chr1	10835689	10836526	chr1:10835689-10836526	3	ASTARR,LMPRA,WSTARR
chr1	10866486	10867643	chr1:10866486-10867643	2	ASTARR,WSTARR
chr1	10873295	10873536	chr1:10873295-10873536	2	ASTARR,LMPRA
chr1	10879584	10880334	chr1:10879584-10880334	2	ASTARR,LMPRA
chr1	10899996	10900809	chr1:10899996-10900809	2	ASTARR,WSTARR
chr1	10939923	10940553	chr1:10939923-10940553	3	ASTARR,WSTARR,CRISPRi-Growth
chr1	10990016	10990361	chr1:10990016-10990361	2	ASTARR,CRISPRi-Growth
chr1	10994484	10995057	chr1:10994484-10995057	2	ASTARR,LMPRA
chr1	11011826	11013345	chr1:11011826-11013345	2	ASTARR,WSTARR
chr1	11052042	11054841	chr1:11052042-11054841	2	ASTARR,WSTARR
chr1	11059223	11060675	chr1:11059223-11060675	2	ASTARR,WSTARR
chr1	11098995	11100364	chr1:11098995-11100364	3	ASTARR,LMPRA,WSTARR
chr1	11262098	11263082	chr1:11262098-11263082	3	ASTARR,WSTARR,CRISPRi-Growth
chr1	11272669	11274093	chr1:11272669-11274093	3	ASTARR,LMPRA,WSTARR
chr1	11318744	11319395	chr1:11318744-11319395	2	ASTARR,LMPRA
chr1	11365925	11366170	chr1:11365925-11366170	2	ASTARR,WSTARR
chr1	11394690	11395849	chr1:11394690-11395849	3	ASTARR,LMPRA,WSTARR
chr1	11407552	11407912	chr1:11407552-11407912	2	ASTARR,LMPRA
chr1	11448073	11448607	chr1:11448073-11448607	3	ASTARR,LMPRA,WSTARR
chr1	11478579	11480338	chr1:11478579-11480338	2	ASTARR,WSTARR
chr1	11563076	11564546	chr1:11563076-11564546	2	ASTARR,WSTARR
chr1	11608424	11610092	chr1:11608424-11610092	2	ASTARR,WSTARR
chr1	11648563	11649395	chr1:11648563-11649395	2	ASTARR,LMPRA
chr1	11649887	11650992	chr1:11649887-11650992	2	ASTARR,WSTARR
chr1	11654007	11655111	chr1:11654007-11655111	2	ASTARR,WSTARR
chr1	11670910	11672248	chr1:11670910-11672248	3	ASTARR,LMPRA,WSTARR
chr1	11680398	11681882	chr1:11680398-11681882	2	LMPRA,WSTARR
chr1	11719267	11720387	chr1:11719267-11720387	2	ASTARR,WSTARR
chr1	11735634	11737577	chr1:11735634-11737577	3	ASTARR,LMPRA,WSTARR
chr1	11768715	11769124	chr1:11768715-11769124	2	ASTARR,WSTARR
chr1	11790639	11791354	chr1:11790639-11791354	2	ASTARR,WSTARR
chr1	11797582	11798882	chr1:11797582-11798882	4	ASTARR,LMPRA,WSTARR,CRISPRi-Growth
chr1	11805028	11806712	chr1:11805028-11806712	3	ASTARR,LMPRA,WSTARR
chr1	11841450	11842911	chr1:11841450-11842911	3	ASTARR,LMPRA,WSTARR
chr1	11879610	11879932	chr1:11879610-11879932	2	ASTARR,CRISPRi-Growth
chr1	11881044	11881591	chr1:11881044-11881591	2	ASTARR,WSTARR
