Chrom	ChromStart	ChromEnd	Region	UMAP1	UMAP2
chr1	112618367	112620427	chr1:112618367-112620427	8.540413	5.728643
chr1	11262098	11263082	chr1:11262098-11263082	7.8274074	6.386384
chr1	112625563	112626211	chr1:112625563-112626211	2.2426124	8.5112915
chr1	112673786	112675823	chr1:112673786-112675823	8.232679	4.4970217
chr1	112686506	112687652	chr1:112686506-112687652	-0.19868849	6.4237146
chr1	112700310	112701348	chr1:112700310-112701348	5.020228	7.648598
chr1	112706673	112707724	chr1:112706673-112707724	7.44855	4.2333107
chr1	112714638	112716696	chr1:112714638-112716696	5.121528	4.7954040000000004
chr1	11272669	11274093	chr1:11272669-11274093	9.155618	5.846871
chr1	1127573	1128245	chr1:1127573-1128245	-0.50209093	3.7955163
chr1	112818634	112819719	chr1:112818634-112819719	2.4698703	8.21519
chr1	112852266	112852604	chr1:112852266-112852604	0.5294632	6.2473273
chr1	112854104	112855099	chr1:112854104-112855099	-2.3913357	3.7017877
chr1	112872379	112873068	chr1:112872379-112873068	1.4875265	7.496407
chr1	112882223	112883446	chr1:112882223-112883446	2.94305	6.984922
chr1	112887694	112889211	chr1:112887694-112889211	1.601615	7.2023635
chr1	112893562	112895013	chr1:112893562-112895013	1.246953	8.60354
chr1	112903808	112904580	chr1:112903808-112904580	1.9682685	8.749741
chr1	112934934	112936460	chr1:112934934-112936460	2.5311716	8.368387
chr1	112955325	112957190	chr1:112955325-112957190	8.618596	4.3120813
chr1	113072444	113073736	chr1:113072444-113073736	8.011013	5.1489625
chr1	113137724	113138197	chr1:113137724-113138197	0.8952682	7.1981406
chr1	113140453	113142169	chr1:113140453-113142169	2.6800456	7.989112
chr1	113146397	113147597	chr1:113146397-113147597	0.44885212	6.215181
chr1	11318744	11319395	chr1:11318744-11319395	0.9692683	5.8600297
chr1	113206864	113207333	chr1:113206864-113207333	0.5158844	6.901562
chr1	113276234	113276948	chr1:113276234-113276948	0.623056	7.804411
chr1	113389789	113391479	chr1:113389789-113391479	6.549177	5.2081313
chr1	113429345	113429824	chr1:113429345-113429824	-1.0569878	5.01354
chr1	1135065	1136296	chr1:1135065-1136296	1.6159691	6.5699334
chr1	113638496	113639354	chr1:113638496-113639354	-2.4445105	4.5601897
chr1	11365925	11366170	chr1:11365925-11366170	1.0905786	5.8301682
chr1	113676364	113678169	chr1:113676364-113678169	1.4353752	8.801952
chr1	1136909	1138088	chr1:1136909-1138088	0.3683172	4.0706415
chr1	113692976	113693541	chr1:113692976-113693541	1.1606228	9.015776
chr1	113745415	113746027	chr1:113745415-113746027	-0.7038388	5.9196424
chr1	113758697	113760133	chr1:113758697-113760133	8.315338	4.755674
chr1	113811485	113812938	chr1:113811485-113812938	8.82936	5.202163
chr1	113904417	113905757	chr1:113904417-113905757	8.887567	3.3422177
chr1	113928747	113930945	chr1:113928747-113930945	8.845002	3.3805237
chr1	11394690	11395849	chr1:11394690-11395849	0.25203592	6.771354
chr1	113979162	113979806	chr1:113979162-113979806	2.5354018	4.7347407
chr1	114033040	114033682	chr1:114033040-114033682	1.9551566	4.5846624
chr1	114042583	114043227	chr1:114042583-114043227	-0.73068607	4.9419556
chr1	11407552	11407912	chr1:11407552-11407912	0.49855033	6.6923723
chr1	114078069	114079032	chr1:114078069-114079032	2.5087671	8.786531
chr1	114088285	114088849	chr1:114088285-114088849	1.0958124	8.484325
chr1	114189219	114190263	chr1:114189219-114190263	0.31671205	7.2122474
chr1	114338439	114338707	chr1:114338439-114338707	0.12949373	6.163706
chr1	114397322	114398192	chr1:114397322-114398192	0.71893406	8.139279
chr1	1144304	1144865	chr1:1144304-1144865	1.4282377	4.5302978
chr1	114473077	114473519	chr1:114473077-114473519	-0.026330264	6.876537
chr1	11448073	11448607	chr1:11448073-11448607	1.9393795	8.542064
chr1	114510141	114512275	chr1:114510141-114512275	8.03599	4.746027
chr1	114521687	114522541	chr1:114521687-114522541	0.91665035	7.7910037
chr1	114581175	114582208	chr1:114581175-114582208	8.729123	6.042911
chr1	114716048	114717360	chr1:114716048-114717360	8.9106	6.1927457
chr1	114756925	114758319	chr1:114756925-114758319	8.558156	5.4989495
chr1	114780129	114781136	chr1:114780129-114781136	8.591171	6.0207677
chr1	11478579	11480338	chr1:11478579-11480338	9.984451	4.1668553
chr1	114853427	114855265	chr1:114853427-114855265	0.59433824	5.5112643
chr1	114883601	114883911	chr1:114883601-114883911	-1.3474911	4.8909864
chr1	114902381	114902649	chr1:114902381-114902649	-0.3312803	5.4720173
chr1	115089325	115090224	chr1:115089325-115090224	-1.1798029	3.5130806
chr1	115112599	115113618	chr1:115112599-115113618	1.8223668	4.382956
chr1	115179263	115180149	chr1:115179263-115180149	2.5471745	8.729725
chr1	115184676	115185476	chr1:115184676-115185476	0.04405977	5.9689507
chr1	115282963	115284050	chr1:115282963-115284050	-0.77594185	4.19497
chr1	115337463	115338935	chr1:115337463-115338935	-1.4942056	3.414723
chr1	115426294	115426561	chr1:115426294-115426561	0.21989374	5.7186327
chr1	115595581	115596325	chr1:115595581-115596325	2.2315025	4.27657
chr1	11563076	11564546	chr1:11563076-11564546	0.7343769	5.2490873
chr1	115647206	115647631	chr1:115647206-115647631	0.64852566	7.6997743
chr1	115648324	115650298	chr1:115648324-115650298	2.1701567	7.4545035
chr1	1157012	1158431	chr1:1157012-1158431	6.9443445	5.045396
chr1	115706575	115707336	chr1:115706575-115707336	1.8812481	4.686746
chr1	115771552	115772435	chr1:115771552-115772435	1.8725032	4.5467725
chr1	115828128	115829543	chr1:115828128-115829543	0.68009484	4.9171176
chr1	115981252	115981831	chr1:115981252-115981831	1.9411519	4.6153297
chr1	116051544	116052760	chr1:116051544-116052760	-1.9583277	5.453075
chr1	11608424	11610092	chr1:11608424-11610092	-2.06123	4.6971855
chr1	116138727	116139526	chr1:116138727-116139526	2.7904599	5.018064
chr1	116145960	116147095	chr1:116145960-116147095	-2.147278	4.062031
chr1	116167383	116168993	chr1:116167383-116168993	4.5861416	4.867987
chr1	116243082	116244056	chr1:116243082-116244056	-0.547845	4.925009
chr1	116278128	116279383	chr1:116278128-116279383	0.9180085	7.140782
chr1	116297471	116298442	chr1:116297471-116298442	-1.6023353	4.8385043
chr1	116334994	116335241	chr1:116334994-116335241	-0.118423015	5.522334
chr1	116372653	116375038	chr1:116372653-116375038	7.156658	4.472866
chr1	116415563	116416488	chr1:116415563-116416488	3.1676404	9.382336
chr1	116418281	116418891	chr1:116418281-116418891	7.9459715	5.291726
chr1	116463852	116464202	chr1:116463852-116464202	1.1643494	7.9231067
chr1	11648563	11649395	chr1:11648563-11649395	4.299745	4.7532463
chr1	11649887	11650992	chr1:11649887-11650992	4.9221168	4.7173467
chr1	116503636	116505018	chr1:116503636-116505018	3.9382107	9.058777
chr1	11654007	11655111	chr1:11654007-11655111	5.632078	4.4679804
chr1	116569878	116571557	chr1:116569878-116571557	8.040048	4.4343185
chr1	116666931	116668144	chr1:116666931-116668144	6.0323715	4.4913535
chr1	116679111	116680381	chr1:116679111-116680381	3.9517336	8.742034
chr1	116686923	116688343	chr1:116686923-116688343	3.7544117	9.533079
chr1	11670910	11672248	chr1:11670910-11672248	3.9065356	7.6277103
chr1	116757783	116758761	chr1:116757783-116758761	2.5296164	9.479913
chr1	116762837	116764530	chr1:116762837-116764530	2.5997188	5.533497
chr1	11680398	11681882	chr1:11680398-11681882	8.4715185	4.201912
chr1	116825352	116826419	chr1:116825352-116826419	4.4951324	7.6007195
chr1	116826933	116827816	chr1:116826933-116827816	3.9541988	8.109789
chr1	116853782	116854083	chr1:116853782-116854083	1.8316334	7.629116
chr1	116878121	116879327	chr1:116878121-116879327	2.700617	7.7436023
chr1	116909617	116912357	chr1:116909617-116912357	6.25102	5.111117
chr1	116919083	116920415	chr1:116919083-116920415	0.5465829	6.8713393
chr1	117059443	117061115	chr1:117059443-117061115	7.9715266	5.4294124
chr1	117092914	117094744	chr1:117092914-117094744	1.7330611	7.5489235
chr1	117114975	117115554	chr1:117114975-117115554	0.15611371	7.0291386
chr1	117121309	117122491	chr1:117121309-117122491	7.25303	6.1940885
chr1	11719267	11720387	chr1:11719267-11720387	3.752523	4.7510085
chr1	117284199	117284874	chr1:117284199-117284874	1.7944344	4.530456
chr1	117339928	117340453	chr1:117339928-117340453	2.9566393	7.8773384
chr1	11735634	11737577	chr1:11735634-11737577	9.571859	4.93407
chr1	117357823	117358694	chr1:117357823-117358694	-1.8303758	5.591054
chr1	117366399	117367907	chr1:117366399-117367907	8.321496	3.941542
chr1	117559924	117560220	chr1:117559924-117560220	1.1407553	8.304455
chr1	117573382	117573898	chr1:117573382-117573898	0.25169384	5.6614017
chr1	117605286	117607236	chr1:117605286-117607236	7.526146	5.09515
chr1	117612588	117614387	chr1:117612588-117614387	3.270243	10.087217
chr1	117659494	117660588	chr1:117659494-117660588	1.9237827	8.973896
chr1	117671684	117672616	chr1:117671684-117672616	2.689351	4.8120794
chr1	11768715	11769124	chr1:11768715-11769124	0.38529298	5.795117
chr1	117707997	117709596	chr1:117707997-117709596	1.6687901	7.3513637
chr1	117732101	117735433	chr1:117732101-117735433	0.27574423	6.4697514
chr1	11790639	11791354	chr1:11790639-11791354	4.497451	7.59084
chr1	117928798	117930234	chr1:117928798-117930234	8.753262	6.2019815
chr1	11797582	11798882	chr1:11797582-11798882	3.949521	9.572117
chr1	118004195	118004764	chr1:118004195-118004764	-1.3533041	4.058382
chr1	118049821	118050454	chr1:118049821-118050454	1.0972625	7.0613995
chr1	11805028	11806712	chr1:11805028-11806712	9.481324	4.8585863
chr1	118184607	118185943	chr1:118184607-118185943	3.9011679	7.4060016
chr1	11841450	11842911	chr1:11841450-11842911	3.1768959	8.678268
chr1	11879610	11879932	chr1:11879610-11879932	2.6555047	6.358833
chr1	11881044	11881591	chr1:11881044-11881591	4.13926	7.9945765
chr1	11893639	11894278	chr1:11893639-11894278	2.8434076	4.609539
chr1	118963502	118964080	chr1:118963502-118964080	3.6602528	8.720739
chr1	11898659	11899477	chr1:11898659-11899477	3.7033124	1.6530477
chr1	118987310	118988094	chr1:118987310-118988094	5.03394	4.6307898
chr1	119001695	119002708	chr1:119001695-119002708	1.4675906	6.9130154
chr1	11907793	11909924	chr1:11907793-11909924	7.785939	7.676265
chr1	119085004	119085316	chr1:119085004-119085316	-0.4788265	5.3137465
chr1	119139831	119141447	chr1:119139831-119141447	8.491832	5.6536946
chr1	119148097	119149197	chr1:119148097-119149197	-0.25008687	6.5046124
chr1	119178869	119180082	chr1:119178869-119180082	-2.2555137	3.8395314
chr1	11925014	11927012	chr1:11925014-11927012	6.2534037	4.83269
chr1	119327418	119328100	chr1:119327418-119328100	0.038274795	4.315289
chr1	119333360	119334913	chr1:119333360-119334913	-1.5669922	4.481206
chr1	11934115	11935288	chr1:11934115-11935288	8.013015	4.7243233
chr1	119397128	119397409	chr1:119397128-119397409	1.0025158	7.5757985
chr1	11948988	11949464	chr1:11948988-11949464	1.23621	6.0311527
chr1	119647237	119648764	chr1:119647237-119648764	7.891149	4.706175
chr1	119674898	119676181	chr1:119674898-119676181	2.175665	4.88146
chr1	119711810	119713747	chr1:119711810-119713747	6.3952317	5.116255
chr1	119743892	119744535	chr1:119743892-119744535	2.5927854	4.3010116
chr1	11979662	11980750	chr1:11979662-11980750	8.779782	5.2959027
chr1	119858406	119860384	chr1:119858406-119860384	2.400824	8.202859
chr1	119873765	119874814	chr1:119873765-119874814	1.3821394	8.861187
chr1	119896149	119896539	chr1:119896149-119896539	1.4781884	4.348926
chr1	1198964	1199745	chr1:1198964-1199745	1.003113	4.734185
chr1	119920178	119920748	chr1:119920178-119920748	1.0783993	8.687811
chr1	119967929	119968639	chr1:119967929-119968639	1.8411844	4.5645075
chr1	12005230	12006061	chr1:12005230-12006061	3.6346302	9.329201
chr1	1200746	1201787	chr1:1200746-1201787	7.0854144	3.9374073
chr1	120175858	120176974	chr1:120175858-120176974	9.353227	6.31449
chr1	12018991	12020202	chr1:12018991-12020202	7.4194803	5.966672
chr1	120356259	120356589	chr1:120356259-120356589	-2.7138743	3.0255148
chr1	1203657	1204181	chr1:1203657-1204181	3.6869824	4.974776
chr1	12051773	12052544	chr1:12051773-12052544	3.1355438	7.751472
chr1	12057475	12058238	chr1:12057475-12058238	1.7811828	6.923822
chr1	12075203	12077009	chr1:12075203-12077009	4.1163673	8.567266
chr1	1207896	1208483	chr1:1207896-1208483	3.1136842	6.6497393
chr1	12081234	12081978	chr1:12081234-12081978	2.9214416	6.74748
chr1	120850336	120851497	chr1:120850336-120851497	7.787354	7.6577682
chr1	12095933	12097178	chr1:12095933-12097178	0.96940434	5.903914
chr1	121080112	121080941	chr1:121080112-121080941	3.5427272	8.285185
chr1	1213367	1214128	chr1:1213367-1214128	0.95262206	3.2301884
chr1	121396677	121397434	chr1:121396677-121397434	4.091286	3.7754428
chr1	121518697	121520097	chr1:121518697-121520097	0.48916507	4.359133
chr1	121537755	121538599	chr1:121537755-121538599	-2.275719	5.1644635
chr1	121586419	121587479	chr1:121586419-121587479	1.6996745	6.614122
chr1	12161536	12162622	chr1:12161536-12162622	3.6518805	8.342934
chr1	12166857	12168689	chr1:12166857-12168689	7.059903	4.385758
chr1	12174754	12175646	chr1:12174754-12175646	4.243291	8.795756
chr1	12218151	12219326	chr1:12218151-12219326	3.5658572	10.014833
chr1	12229544	12231346	chr1:12229544-12231346	8.806382	3.2426672
chr1	1231026	1232697	chr1:1231026-1232697	8.102966	4.076305
chr1	1237213	1240257	chr1:1237213-1240257	0.9545839	2.8773835
chr1	12407330	12408845	chr1:12407330-12408845	1.4596434	7.977832
chr1	12433003	12434514	chr1:12433003-12434514	3.249643	7.9153857
chr1	1243970	1244652	chr1:1243970-1244652	1.1301806	3.221489
chr1	12472658	12473482	chr1:12472658-12473482	3.065773	7.966984
chr1	12477882	12478919	chr1:12477882-12478919	4.3353205	8.571311
chr1	12495649	12497061	chr1:12495649-12497061	3.0596974	7.700221
chr1	12510296	12511477	chr1:12510296-12511477	3.6796942	8.029623
chr1	12528280	12529714	chr1:12528280-12529714	3.6618745	9.254048
chr1	12541138	12542045	chr1:12541138-12542045	3.9954083	7.399012
chr1	12548818	12550141	chr1:12548818-12550141	4.4703937	7.445725
chr1	12553628	12554328	chr1:12553628-12554328	1.0114686	5.9068265
chr1	12573868	12574261	chr1:12573868-12574261	2.0053902	7.7609262
chr1	12595934	12596622	chr1:12595934-12596622	0.61846346	2.955491
chr1	12603906	12604950	chr1:12603906-12604950	2.7443807	9.116996
chr1	12630427	12631360	chr1:12630427-12631360	-0.8184363	4.452568
chr1	12634884	12637037	chr1:12634884-12637037	0.70061564	5.800948
chr1	12656691	12657989	chr1:12656691-12657989	4.534922	6.9099855
chr1	12665164	12666514	chr1:12665164-12666514	0.5751426	6.8106666
chr1	1273007	1274875	chr1:1273007-1274875	8.484064	4.872446
chr1	12744951	12745584	chr1:12744951-12745584	3.4083734	8.625981
chr1	12809914	12811535	chr1:12809914-12811535	0.9139256	6.4012694
chr1	1293374	1294441	chr1:1293374-1294441	5.891099	4.569397
chr1	1298927	1300569	chr1:1298927-1300569	0.83353686	3.0242002
chr1	1304794	1306428	chr1:1304794-1306428	5.410119	5.9599857
chr1	1307484	1309889	chr1:1307484-1309889	8.174878	3.895765
chr1	1324275	1325765	chr1:1324275-1325765	8.22537	4.868859
chr1	13245418	13247429	chr1:13245418-13247429	-0.6070574	5.1594157
chr1	1337516	1338174	chr1:1337516-1338174	0.9692952	3.1438098
chr1	13438986	13440122	chr1:13438986-13440122	-2.4528794	3.8145578
chr1	1344590	1345652	chr1:1344590-1345652	2.662286	3.8719327
chr1	13458855	13459201	chr1:13458855-13459201	-0.34993553	4.8559275
chr1	1347633	1349961	chr1:1347633-1349961	7.4476705	3.9368865
