File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF178QDA	bigWig	bigWig		signal p-value	GRCh38	ENCSR000EVZ	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K9ac-human	DNA						2011-05-19	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF355LXQ/, /files/ENCFF669AOZ/, /files/ENCFF946AXU/	595589738	ENCODE Processing Pipeline	16bace7252adafc836204f6fce4016ba		https://www.encodeproject.org/files/ENCFF178QDA/@@download/ENCFF178QDA.bigWig				released	s3://encode-public/2020/11/01/0e6853e6-caff-41b1-8492-9e5f3815c76c/ENCFF178QDA.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/01/0e6853e6-caff-41b1-8492-9e5f3815c76c/ENCFF178QDA.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.0 GRCh38	released	low read length, low read depth		
ENCFF148UQI	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000EVZ	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K9ac-human	DNA						2011-05-19	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF355LXQ/, /files/ENCFF669AOZ/, /files/ENCFF946AXU/, /files/ENCFF356LFX/	2807903	ENCODE Processing Pipeline	0c4c1141dfc788db377407a9531be112		https://www.encodeproject.org/files/ENCFF148UQI/@@download/ENCFF148UQI.bed.gz				released	s3://encode-public/2020/11/01/eb4876ff-3101-47d5-bec3-202a568d7865/ENCFF148UQI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/01/eb4876ff-3101-47d5-bec3-202a568d7865/ENCFF148UQI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.0 GRCh38	released	low read length, low read depth		
ENCFF405ZDL	bigWig	bigWig		signal p-value	GRCh38	ENCSR668LDD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K4me3-human	DNA						2016-11-08	ENCODE		sonication (generic), shearing (Covaris generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF420ARY/, /files/ENCFF855ZMQ/, /files/ENCFF226FKB/, /files/ENCFF752MYF/, /files/ENCFF666YXZ/	1073869256	ENCODE Processing Pipeline	eeddd4f2f60f952e3056d0c1bd39c73f		https://www.encodeproject.org/files/ENCFF405ZDL/@@download/ENCFF405ZDL.bigWig				released	s3://encode-public/2020/10/20/c69aa099-28aa-4f4f-af5b-f791da3dd26e/ENCFF405ZDL.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/20/c69aa099-28aa-4f4f-af5b-f791da3dd26e/ENCFF405ZDL.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	control low read depth, inconsistent platforms		
ENCFF885FQN	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR668LDD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K4me3-human	DNA						2016-11-08	ENCODE		sonication (generic), shearing (Covaris generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF855ZMQ/, /files/ENCFF226FKB/, /files/ENCFF752MYF/, /files/ENCFF420ARY/, /files/ENCFF666YXZ/	610209	ENCODE Processing Pipeline	db483a7fe9eaf56ee507f9852f0e0ca3		https://www.encodeproject.org/files/ENCFF885FQN/@@download/ENCFF885FQN.bed.gz				released	s3://encode-public/2020/10/20/35426c3b-957a-4757-8c13-0fe001345738/ENCFF885FQN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/20/35426c3b-957a-4757-8c13-0fe001345738/ENCFF885FQN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	control low read depth, inconsistent platforms		
ENCFF767UON	bigWig	bigWig		signal p-value	GRCh38	ENCSR000AKU	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K4me3-human	DNA						2011-02-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF420ARY/, /files/ENCFF666YXZ/, /files/ENCFF564SVK/, /files/ENCFF685PPQ/, /files/ENCFF226FKB/	797629786	ENCODE Processing Pipeline	4c102d45be8326062895ed0a03d4ded7		https://www.encodeproject.org/files/ENCFF767UON/@@download/ENCFF767UON.bigWig				released	s3://encode-public/2020/09/30/ed53d64d-7a8c-4423-a9cd-7c5d80e80b20/ENCFF767UON.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/30/ed53d64d-7a8c-4423-a9cd-7c5d80e80b20/ENCFF767UON.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	control low read depth, mild to moderate bottlenecking, low read depth, inconsistent platforms	insufficient read depth	
ENCFF689QIJ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000AKU	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K4me3-human	DNA						2011-02-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF420ARY/, /files/ENCFF666YXZ/, /files/ENCFF564SVK/, /files/ENCFF685PPQ/, /files/ENCFF356LFX/, /files/ENCFF226FKB/	1111370	ENCODE Processing Pipeline	5dea2993c0831ae344a989d601c09178		https://www.encodeproject.org/files/ENCFF689QIJ/@@download/ENCFF689QIJ.bed.gz				released	s3://encode-public/2020/09/30/e8359d31-b2ab-44d2-8443-75a04a57723e/ENCFF689QIJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/30/e8359d31-b2ab-44d2-8443-75a04a57723e/ENCFF689QIJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	control low read depth, mild to moderate bottlenecking, low read depth, inconsistent platforms	insufficient read depth	
ENCFF909RKY	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR000AKX	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H4K20me1-human	DNA						2011-02-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF666YXZ/, /files/ENCFF255QRL/, /files/ENCFF923YUN/, /files/ENCFF420ARY/, /files/ENCFF356LFX/, /files/ENCFF226FKB/	821959	ENCODE Processing Pipeline	fe4c93b6faa0ab4153ef41fe516bced4		https://www.encodeproject.org/files/ENCFF909RKY/@@download/ENCFF909RKY.bed.gz				released	s3://encode-public/2020/11/12/e0d981dd-b801-43c0-8c89-0ae6fa2d4423/ENCFF909RKY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/12/e0d981dd-b801-43c0-8c89-0ae6fa2d4423/ENCFF909RKY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, low read length, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF694ODT	bigWig	bigWig		signal p-value	GRCh38	ENCSR000AKX	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H4K20me1-human	DNA						2011-02-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF666YXZ/, /files/ENCFF255QRL/, /files/ENCFF923YUN/, /files/ENCFF420ARY/, /files/ENCFF226FKB/	706741456	ENCODE Processing Pipeline	197b9c35ecc18077888bf97780ec6f4b		https://www.encodeproject.org/files/ENCFF694ODT/@@download/ENCFF694ODT.bigWig				released	s3://encode-public/2020/11/12/1ffb26ca-9eef-42b4-8bf5-a9145b836d71/ENCFF694ODT.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/12/1ffb26ca-9eef-42b4-8bf5-a9145b836d71/ENCFF694ODT.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, low read length, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF323WOT	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000AKQ	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K27me3-human	DNA						2011-02-10	ENCODE		see document	300-600	1, 2, 3	1_1, 2_1, 3_1, 3_2							/files/ENCFF666YXZ/, /files/ENCFF306FUV/, /files/ENCFF753WUL/, /files/ENCFF226FKB/, /files/ENCFF420ARY/, /files/ENCFF356LFX/, /files/ENCFF954SSM/	2402524	ENCODE Processing Pipeline	4422969d0b63260e2fcb83e10fdcc02f		https://www.encodeproject.org/files/ENCFF323WOT/@@download/ENCFF323WOT.bed.gz				released	s3://encode-public/2022/06/16/8a328893-ce7a-4873-80aa-47b306c985fc/ENCFF323WOT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/8a328893-ce7a-4873-80aa-47b306c985fc/ENCFF323WOT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	low read length, mixed read lengths, mild to moderate bottlenecking, moderate library complexity, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF582IMB	bigWig	bigWig		signal p-value	GRCh38	ENCSR000AKQ	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K27me3-human	DNA						2011-02-10	ENCODE		see document	300-600	1, 2, 3	1_1, 2_1, 3_1, 3_2							/files/ENCFF666YXZ/, /files/ENCFF306FUV/, /files/ENCFF753WUL/, /files/ENCFF226FKB/, /files/ENCFF420ARY/, /files/ENCFF954SSM/	1449902682	ENCODE Processing Pipeline	2ca48f44075eef7118a387260f2f95b9		https://www.encodeproject.org/files/ENCFF582IMB/@@download/ENCFF582IMB.bigWig				released	s3://encode-public/2022/06/16/a91c03f4-a055-476a-b8a3-df7737485d5b/ENCFF582IMB.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/a91c03f4-a055-476a-b8a3-df7737485d5b/ENCFF582IMB.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	low read length, mixed read lengths, mild to moderate bottlenecking, moderate library complexity, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF633OZC	bigWig	bigWig		signal p-value	GRCh38	ENCSR000DWB	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K36me3-human	DNA						2011-02-11	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF035SOZ/, /files/ENCFF897QAS/, /files/ENCFF816ECC/	386683573	ENCODE Processing Pipeline	4a8dbdc31024795ed8a6f53fba306609		https://www.encodeproject.org/files/ENCFF633OZC/@@download/ENCFF633OZC.bigWig				released	s3://encode-public/2020/10/28/8b59ddcd-b32e-4658-a5a4-138609a0279e/ENCFF633OZC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/28/8b59ddcd-b32e-4658-a5a4-138609a0279e/ENCFF633OZC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, low read length	insufficient read depth, control insufficient read depth	
ENCFF561OUZ	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR000DWB	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K36me3-human	DNA						2011-02-11	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF035SOZ/, /files/ENCFF897QAS/, /files/ENCFF816ECC/, /files/ENCFF356LFX/	1378059	ENCODE Processing Pipeline	7974e4f7e3f7b1db43715efdf2532916		https://www.encodeproject.org/files/ENCFF561OUZ/@@download/ENCFF561OUZ.bed.gz				released	s3://encode-public/2020/10/28/d4fe7aff-8441-4436-bbfb-4f138745dbe6/ENCFF561OUZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/28/d4fe7aff-8441-4436-bbfb-4f138745dbe6/ENCFF561OUZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, low read length	insufficient read depth, control insufficient read depth	
ENCFF054RSU	bigWig	bigWig		signal p-value	GRCh38	ENCSR000AKT	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K4me2-human	DNA						2011-02-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF666YXZ/, /files/ENCFF226FKB/, /files/ENCFF446FUS/, /files/ENCFF583GSH/, /files/ENCFF420ARY/	717523073	ENCODE Processing Pipeline	5a9a282c89fc45d7a729dcc8e7c71c10		https://www.encodeproject.org/files/ENCFF054RSU/@@download/ENCFF054RSU.bigWig				released	s3://encode-public/2020/11/12/a0ca3a9f-4eb8-4b12-9a64-aa1c92458b68/ENCFF054RSU.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/12/a0ca3a9f-4eb8-4b12-9a64-aa1c92458b68/ENCFF054RSU.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, low read length, control low read depth, inconsistent platforms	insufficient read depth	
