Assay	Index_Experiment	Index_File	File_Type	Output_Type	Genome	Target	Analysis	RFA	md5sum	File_Name	File_Url
TF ChIP-seq	ENCSR000BMR	ENCFF042CRO	bigWig	signal p-value	GRCh38	POLR2A	ENCODE3 GRCh38	ENCODE2	df46a4bcfb7a2c55296211ca9cc91c70	ENCFF042CRO.bigWig	https://www.encodeproject.org/files/ENCFF042CRO/@@download/ENCFF042CRO.bigWig
TF ChIP-seq	ENCSR000BMR	ENCFF281XOP	bigWig	fold change over control	GRCh38	POLR2A	ENCODE3 GRCh38	ENCODE2	eefef6d5be23b3f85c3c14e3707d2407	ENCFF281XOP.bigWig	https://www.encodeproject.org/files/ENCFF281XOP/@@download/ENCFF281XOP.bigWig
TF ChIP-seq	ENCSR000BMR	ENCFF596NUY	bigWig	fold change over control	GRCh38	POLR2A	ENCODE3 GRCh38	ENCODE2	e3495ece33da881f42efc21831d9efeb	ENCFF596NUY.bigWig	https://www.encodeproject.org/files/ENCFF596NUY/@@download/ENCFF596NUY.bigWig
TF ChIP-seq	ENCSR000BMR	ENCFF125TEX	bed narrowPeak	peaks and background as input for IDR	GRCh38	POLR2A	ENCODE3 GRCh38	ENCODE2	bcc60babc2cbc5fe323f83b0ddfd8011	ENCFF125TEX.bed.gz	https://www.encodeproject.org/files/ENCFF125TEX/@@download/ENCFF125TEX.bed.gz
TF ChIP-seq	ENCSR000BMR	ENCFF273XOJ	bed narrowPeak	peaks and background as input for IDR	GRCh38	POLR2A	ENCODE3 GRCh38	ENCODE2	a42601e81116724d570824c0fd0163d7	ENCFF273XOJ.bed.gz	https://www.encodeproject.org/files/ENCFF273XOJ/@@download/ENCFF273XOJ.bed.gz
TF ChIP-seq	ENCSR000BMR	ENCFF547IOW	bigWig	fold change over control	GRCh38	POLR2A	ENCODE3 GRCh38	ENCODE2	080c234a0be1ad37cfa9699d018f92f1	ENCFF547IOW.bigWig	https://www.encodeproject.org/files/ENCFF547IOW/@@download/ENCFF547IOW.bigWig
TF ChIP-seq	ENCSR000BMR	ENCFF634MAL	bed narrowPeak	peaks and background as input for IDR	GRCh38	POLR2A	ENCODE3 GRCh38	ENCODE2	c72e6c0fa31d60b4d09f812ceb5e5ddf	ENCFF634MAL.bed.gz	https://www.encodeproject.org/files/ENCFF634MAL/@@download/ENCFF634MAL.bed.gz
TF ChIP-seq	ENCSR000BMR	ENCFF757ZGV	bed narrowPeak	conservative IDR thresholded peaks	GRCh38	POLR2A	ENCODE3 GRCh38	ENCODE2	5de4c0f1ed3d8f7300df63df129ec0c4	ENCFF757ZGV.bed.gz	https://www.encodeproject.org/files/ENCFF757ZGV/@@download/ENCFF757ZGV.bed.gz
TF ChIP-seq	ENCSR000BMR	ENCFF182YZG	bed narrowPeak	optimal IDR thresholded peaks	GRCh38	POLR2A	ENCODE3 GRCh38	ENCODE2	b944c338bd7ff9253c3498707b9b6b12	ENCFF182YZG.bed.gz	https://www.encodeproject.org/files/ENCFF182YZG/@@download/ENCFF182YZG.bed.gz
TF ChIP-seq	ENCSR000BMR	ENCFF496FVA	bigWig	fold change over control	GRCh38	POLR2A	ENCODE4 v1.6.1 GRCh38	ENCODE2	d8543b29e37a819dcbebbd80dfd75ecb	ENCFF496FVA.bigWig	https://www.encodeproject.org/files/ENCFF496FVA/@@download/ENCFF496FVA.bigWig
TF ChIP-seq	ENCSR000BMR	ENCFF537IUY	bigWig	fold change over control	GRCh38	POLR2A	ENCODE4 v1.6.1 GRCh38	ENCODE2	1e24596ef3749d11d8454f8388a47205	ENCFF537IUY.bigWig	https://www.encodeproject.org/files/ENCFF537IUY/@@download/ENCFF537IUY.bigWig
TF ChIP-seq	ENCSR000BMR	ENCFF768ZCO	bigWig	signal p-value	GRCh38	POLR2A	ENCODE4 v1.6.1 GRCh38	ENCODE2	be6cd70615dc229c04a6378759222df6	ENCFF768ZCO.bigWig	https://www.encodeproject.org/files/ENCFF768ZCO/@@download/ENCFF768ZCO.bigWig
TF ChIP-seq	ENCSR000BMR	ENCFF634JRD	bed narrowPeak	IDR thresholded peaks	GRCh38	POLR2A	ENCODE4 v1.6.1 GRCh38	ENCODE2	f680f3a40f7812e22853084222958011	ENCFF634JRD.bed.gz	https://www.encodeproject.org/files/ENCFF634JRD/@@download/ENCFF634JRD.bed.gz
TF ChIP-seq	ENCSR000BMR	ENCFF529VYT	bigWig	signal p-value	GRCh38	POLR2A	ENCODE4 v1.6.1 GRCh38	ENCODE2	25b2a3efcd176baecd85769a4e4c0a49	ENCFF529VYT.bigWig	https://www.encodeproject.org/files/ENCFF529VYT/@@download/ENCFF529VYT.bigWig
TF ChIP-seq	ENCSR000BMR	ENCFF990OGO	bed narrowPeak	IDR thresholded peaks	GRCh38	POLR2A	ENCODE4 v1.6.1 GRCh38	ENCODE2	b5f0da3b2a385a105970dcca32011c61	ENCFF990OGO.bed.gz	https://www.encodeproject.org/files/ENCFF990OGO/@@download/ENCFF990OGO.bed.gz
TF ChIP-seq	ENCSR000BMR	ENCFF583PSE	bed narrowPeak	conservative IDR thresholded peaks	GRCh38	POLR2A	ENCODE4 v1.6.1 GRCh38	ENCODE2	42695a35f91d9104528a38b5f3f01da7	ENCFF583PSE.bed.gz	https://www.encodeproject.org/files/ENCFF583PSE/@@download/ENCFF583PSE.bed.gz
TF ChIP-seq	ENCSR000BMR	ENCFF247QSR	bigWig	signal p-value	GRCh38	POLR2A	ENCODE4 v1.6.1 GRCh38	ENCODE2	b79a9d273d9181d6d887103642b32811	ENCFF247QSR.bigWig	https://www.encodeproject.org/files/ENCFF247QSR/@@download/ENCFF247QSR.bigWig
TF ChIP-seq	ENCSR000BMR	ENCFF211MXI	bigWig	fold change over control	GRCh38	POLR2A	ENCODE4 v1.6.1 GRCh38	ENCODE2	e7e1c76f2cfa5b3ba000557732c09517	ENCFF211MXI.bigWig	https://www.encodeproject.org/files/ENCFF211MXI/@@download/ENCFF211MXI.bigWig
TF ChIP-seq	ENCSR000BMR	ENCFF696ARH	bed narrowPeak	IDR thresholded peaks	GRCh38	POLR2A	ENCODE4 v1.6.1 GRCh38	ENCODE2	477e7e9a87847e2d03d0991331f84128	ENCFF696ARH.bed.gz	https://www.encodeproject.org/files/ENCFF696ARH/@@download/ENCFF696ARH.bed.gz
TF ChIP-seq	ENCSR000EHG	ENCFF242BZV	bigWig	signal p-value	GRCh38	USF2	ENCODE3 GRCh38	ENCODE2	4849a99c917db296609767a9713b2acc	ENCFF242BZV.bigWig	https://www.encodeproject.org/files/ENCFF242BZV/@@download/ENCFF242BZV.bigWig
TF ChIP-seq	ENCSR000EHG	ENCFF299VHD	bigWig	signal p-value	GRCh38	USF2	ENCODE3 GRCh38	ENCODE2	5a7b7e4f4c51dfbf958126b4eaca02ab	ENCFF299VHD.bigWig	https://www.encodeproject.org/files/ENCFF299VHD/@@download/ENCFF299VHD.bigWig
TF ChIP-seq	ENCSR000EHG	ENCFF881FKP	bigWig	signal p-value	GRCh38	USF2	ENCODE3 GRCh38	ENCODE2	37eeadd5baafd144901f10ffdedd0b20	ENCFF881FKP.bigWig	https://www.encodeproject.org/files/ENCFF881FKP/@@download/ENCFF881FKP.bigWig
TF ChIP-seq	ENCSR000EHG	ENCFF299KLU	bigWig	fold change over control	GRCh38	USF2	ENCODE3 GRCh38	ENCODE2	e810fcc597e22d101b1a9066764f05af	ENCFF299KLU.bigWig	https://www.encodeproject.org/files/ENCFF299KLU/@@download/ENCFF299KLU.bigWig
TF ChIP-seq	ENCSR000EHG	ENCFF748TMK	bigWig	fold change over control	GRCh38	USF2	ENCODE3 GRCh38	ENCODE2	b731e8af0491ee405fcff8e9024dc2fd	ENCFF748TMK.bigWig	https://www.encodeproject.org/files/ENCFF748TMK/@@download/ENCFF748TMK.bigWig
TF ChIP-seq	ENCSR000EHG	ENCFF266FDB	bigWig	fold change over control	GRCh38	USF2	ENCODE3 GRCh38	ENCODE2	3161841958dce7a3208228c6f0e05abd	ENCFF266FDB.bigWig	https://www.encodeproject.org/files/ENCFF266FDB/@@download/ENCFF266FDB.bigWig
TF ChIP-seq	ENCSR000EHG	ENCFF891RTU	bed narrowPeak	peaks and background as input for IDR	GRCh38	USF2	ENCODE3 GRCh38	ENCODE2	432c5e28192a686478fcc45a5255b68b	ENCFF891RTU.bed.gz	https://www.encodeproject.org/files/ENCFF891RTU/@@download/ENCFF891RTU.bed.gz
TF ChIP-seq	ENCSR000EHG	ENCFF420KJG	bed narrowPeak	peaks and background as input for IDR	GRCh38	USF2	ENCODE3 GRCh38	ENCODE2	14a60ce2f87ff66cc864b4b3520f09d3	ENCFF420KJG.bed.gz	https://www.encodeproject.org/files/ENCFF420KJG/@@download/ENCFF420KJG.bed.gz
TF ChIP-seq	ENCSR000EHG	ENCFF998IVE	bed narrowPeak	peaks and background as input for IDR	GRCh38	USF2	ENCODE3 GRCh38	ENCODE2	bf859cab39d5c4220caf0f9ce086909a	ENCFF998IVE.bed.gz	https://www.encodeproject.org/files/ENCFF998IVE/@@download/ENCFF998IVE.bed.gz
TF ChIP-seq	ENCSR000EHG	ENCFF425FVY	bed narrowPeak	optimal IDR thresholded peaks	GRCh38	USF2	ENCODE3 GRCh38	ENCODE2	a832fa37d29027be36f00c525b726315	ENCFF425FVY.bed.gz	https://www.encodeproject.org/files/ENCFF425FVY/@@download/ENCFF425FVY.bed.gz
TF ChIP-seq	ENCSR000EHG	ENCFF602YIK	bed narrowPeak	conservative IDR thresholded peaks	GRCh38	USF2	ENCODE3 GRCh38	ENCODE2	5891db2058400134fe8121810abcd9ac	ENCFF602YIK.bed.gz	https://www.encodeproject.org/files/ENCFF602YIK/@@download/ENCFF602YIK.bed.gz
TF ChIP-seq	ENCSR000EHG	ENCFF080NEA	bigWig	fold change over control	GRCh38	USF2	ENCODE4 v1.6.1 GRCh38	ENCODE2	9c21abe0e1a921539f10b0d996efe4ea	ENCFF080NEA.bigWig	https://www.encodeproject.org/files/ENCFF080NEA/@@download/ENCFF080NEA.bigWig
TF ChIP-seq	ENCSR000EHG	ENCFF744HVD	bed narrowPeak	IDR thresholded peaks	GRCh38	USF2	ENCODE4 v1.6.1 GRCh38	ENCODE2	9e1e6d57dfac1bad9fa19e5a3c14b955	ENCFF744HVD.bed.gz	https://www.encodeproject.org/files/ENCFF744HVD/@@download/ENCFF744HVD.bed.gz
TF ChIP-seq	ENCSR000EHG	ENCFF224YZK	bigWig	signal p-value	GRCh38	USF2	ENCODE4 v1.6.1 GRCh38	ENCODE2	707d11dd69b4baab8f7cde86abb410c8	ENCFF224YZK.bigWig	https://www.encodeproject.org/files/ENCFF224YZK/@@download/ENCFF224YZK.bigWig
TF ChIP-seq	ENCSR000EHG	ENCFF601URD	bigWig	fold change over control	GRCh38	USF2	ENCODE4 v1.6.1 GRCh38	ENCODE2	a132535baee6245b07d25adfbce43ae5	ENCFF601URD.bigWig	https://www.encodeproject.org/files/ENCFF601URD/@@download/ENCFF601URD.bigWig
TF ChIP-seq	ENCSR000EHG	ENCFF286DEO	bigWig	signal p-value	GRCh38	USF2	ENCODE4 v1.6.1 GRCh38	ENCODE2	531909a082293622a7e32ae25d3d856d	ENCFF286DEO.bigWig	https://www.encodeproject.org/files/ENCFF286DEO/@@download/ENCFF286DEO.bigWig
TF ChIP-seq	ENCSR000EHG	ENCFF589UBO	bigWig	fold change over control	GRCh38	USF2	ENCODE4 v1.6.1 GRCh38	ENCODE2	b18c1b2af375309fcb4f0b6f058c72c6	ENCFF589UBO.bigWig	https://www.encodeproject.org/files/ENCFF589UBO/@@download/ENCFF589UBO.bigWig
TF ChIP-seq	ENCSR000EHG	ENCFF842AKV	bed narrowPeak	IDR thresholded peaks	GRCh38	USF2	ENCODE4 v1.6.1 GRCh38	ENCODE2	7fd024cf1c0f09d66a4fad1f31c614c5	ENCFF842AKV.bed.gz	https://www.encodeproject.org/files/ENCFF842AKV/@@download/ENCFF842AKV.bed.gz
TF ChIP-seq	ENCSR000EHG	ENCFF235XFA	bigWig	signal p-value	GRCh38	USF2	ENCODE4 v1.6.1 GRCh38	ENCODE2	639859073615c71cc8d7b117f5d1bb32	ENCFF235XFA.bigWig	https://www.encodeproject.org/files/ENCFF235XFA/@@download/ENCFF235XFA.bigWig
TF ChIP-seq	ENCSR000EHG	ENCFF392TVU	bed narrowPeak	IDR thresholded peaks	GRCh38	USF2	ENCODE4 v1.6.1 GRCh38	ENCODE2	8a19c30242871288c1e93ab225bba731	ENCFF392TVU.bed.gz	https://www.encodeproject.org/files/ENCFF392TVU/@@download/ENCFF392TVU.bed.gz
TF ChIP-seq	ENCSR000EHG	ENCFF953OHY	bed narrowPeak	conservative IDR thresholded peaks	GRCh38	USF2	ENCODE4 v1.6.1 GRCh38	ENCODE2	702bf7c801bc840aaf22330ae890e9f3	ENCFF953OHY.bed.gz	https://www.encodeproject.org/files/ENCFF953OHY/@@download/ENCFF953OHY.bed.gz
TF ChIP-seq	ENCSR000EGM	ENCFF336UPT	bigWig	signal p-value	GRCh38	CTCF	ENCODE4 v1.5.1 GRCh38	ENCODE2	883eb33a975e14130e142b98070b14c0	ENCFF336UPT.bigWig	https://www.encodeproject.org/files/ENCFF336UPT/@@download/ENCFF336UPT.bigWig
TF ChIP-seq	ENCSR000EGM	ENCFF125EKW	bigWig	fold change over control	GRCh38	CTCF	ENCODE3 GRCh38	ENCODE2	24cbf5ef7dd2ffe6b41fe9ef6cf859b7	ENCFF125EKW.bigWig	https://www.encodeproject.org/files/ENCFF125EKW/@@download/ENCFF125EKW.bigWig
TF ChIP-seq	ENCSR000EGM	ENCFF973WXW	bed narrowPeak	peaks and background as input for IDR	GRCh38	CTCF	ENCODE3 GRCh38	ENCODE2	bc4273f7f883ff050b00b56cb922128e	ENCFF973WXW.bed.gz	https://www.encodeproject.org/files/ENCFF973WXW/@@download/ENCFF973WXW.bed.gz
TF ChIP-seq	ENCSR000EGM	ENCFF265DRT	bigWig	signal p-value	GRCh38	CTCF	ENCODE3 GRCh38	ENCODE2	b4572c9c8b6a1bb7f0c52c5a36c02d25	ENCFF265DRT.bigWig	https://www.encodeproject.org/files/ENCFF265DRT/@@download/ENCFF265DRT.bigWig
TF ChIP-seq	ENCSR000EGM	ENCFF439TAU	bigWig	signal p-value	GRCh38	CTCF	ENCODE3 GRCh38	ENCODE2	c65d19c17d86b9f6e6c39c9200acc7e5	ENCFF439TAU.bigWig	https://www.encodeproject.org/files/ENCFF439TAU/@@download/ENCFF439TAU.bigWig
TF ChIP-seq	ENCSR000EGM	ENCFF322EGW	bigWig	signal p-value	GRCh38	CTCF	ENCODE3 GRCh38	ENCODE2	104fb8a78c4185fa4344db89a4ddea17	ENCFF322EGW.bigWig	https://www.encodeproject.org/files/ENCFF322EGW/@@download/ENCFF322EGW.bigWig
TF ChIP-seq	ENCSR000EGM	ENCFF894ZLN	bigWig	fold change over control	GRCh38	CTCF	ENCODE3 GRCh38	ENCODE2	4156dcf114957df76a07050131211588	ENCFF894ZLN.bigWig	https://www.encodeproject.org/files/ENCFF894ZLN/@@download/ENCFF894ZLN.bigWig
TF ChIP-seq	ENCSR000EGM	ENCFF050CCI	bigWig	fold change over control	GRCh38	CTCF	ENCODE3 GRCh38	ENCODE2	0b24b56808a00ab840f3b76888867fac	ENCFF050CCI.bigWig	https://www.encodeproject.org/files/ENCFF050CCI/@@download/ENCFF050CCI.bigWig
TF ChIP-seq	ENCSR000EGM	ENCFF694KDC	bed narrowPeak	peaks and background as input for IDR	GRCh38	CTCF	ENCODE3 GRCh38	ENCODE2	fb2ecaaa5017a77872fc0855a617f2bd	ENCFF694KDC.bed.gz	https://www.encodeproject.org/files/ENCFF694KDC/@@download/ENCFF694KDC.bed.gz
TF ChIP-seq	ENCSR000EGM	ENCFF175EOP	bed narrowPeak	peaks and background as input for IDR	GRCh38	CTCF	ENCODE3 GRCh38	ENCODE2	71a317358eef60f6d10dee652ae6db7b	ENCFF175EOP.bed.gz	https://www.encodeproject.org/files/ENCFF175EOP/@@download/ENCFF175EOP.bed.gz
TF ChIP-seq	ENCSR000EGM	ENCFF041ODC	bed narrowPeak	conservative IDR thresholded peaks	GRCh38	CTCF	ENCODE3 GRCh38	ENCODE2	0685e5699688caba74c62ee3c87090a9	ENCFF041ODC.bed.gz	https://www.encodeproject.org/files/ENCFF041ODC/@@download/ENCFF041ODC.bed.gz
TF ChIP-seq	ENCSR000EGM	ENCFF396BZQ	bed narrowPeak	optimal IDR thresholded peaks	GRCh38	CTCF	ENCODE3 GRCh38	ENCODE2	ec6d58713b0306f762dbc4cab091df71	ENCFF396BZQ.bed.gz	https://www.encodeproject.org/files/ENCFF396BZQ/@@download/ENCFF396BZQ.bed.gz
TF ChIP-seq	ENCSR000EGM	ENCFF588MPI	bigWig	signal p-value	GRCh38	CTCF	ENCODE4 v1.5.1 GRCh38	ENCODE2	6d1a1dd8a9585642a0f0fcde46cec98c	ENCFF588MPI.bigWig	https://www.encodeproject.org/files/ENCFF588MPI/@@download/ENCFF588MPI.bigWig
