Assay	Index_Experiment	Index_File	File_Format	File_Type	Output_Type	Genome	Target	Bio_Replicates	Analysis	Analysis_Version	md5sum	File_Name	File_URL
TF ChIP-seq	ENCSR579XWM	ENCFF023JGT	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	HSF4	1, 2	ENCODE4 v2.1.2 GRCh38	ENCODE4	0106796a01a2fb655f4f3c6fdfe16f63	ENCFF023JGT.bed.gz	https://www.encodeproject.org/files/ENCFF023JGT/@@download/ENCFF023JGT.bed.gz
TF ChIP-seq	ENCSR307YJU	ENCFF603EAX	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	MYNN	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	72a9556858ec9b98aee3a7f32b3f240f	ENCFF603EAX.bed.gz	https://www.encodeproject.org/files/ENCFF603EAX/@@download/ENCFF603EAX.bed.gz
TF ChIP-seq	ENCSR849LXI	ENCFF478MAJ	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	MTF1	1, 2	ENCODE4 v1.9.0 GRCh38	ENCODE4	49cb1e591c3834f98e0bdbe4752d3c8c	ENCFF478MAJ.bed.gz	https://www.encodeproject.org/files/ENCFF478MAJ/@@download/ENCFF478MAJ.bed.gz
TF ChIP-seq	ENCSR303SHG	ENCFF854SNX	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZNF699	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	900d7723882e4978802aee396a1299e3	ENCFF854SNX.bed.gz	https://www.encodeproject.org/files/ENCFF854SNX/@@download/ENCFF854SNX.bed.gz
TF ChIP-seq	ENCSR579YNY	ENCFF132DPY	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZBTB40	1, 2	ENCODE4 v1.9.0 GRCh38	ENCODE4	90e0215e2c43ed94902b93d6eb4ade9b	ENCFF132DPY.bed.gz	https://www.encodeproject.org/files/ENCFF132DPY/@@download/ENCFF132DPY.bed.gz
TF ChIP-seq	ENCSR567QAD	ENCFF683VXW	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZBTB34	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	da036541d141dc9b20a7e7d9c6fce8bc	ENCFF683VXW.bed.gz	https://www.encodeproject.org/files/ENCFF683VXW/@@download/ENCFF683VXW.bed.gz
TF ChIP-seq	ENCSR377HQG	ENCFF207XCM	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZNF140	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	d36727b083d68c12ea737a919a9b6555	ENCFF207XCM.bed.gz	https://www.encodeproject.org/files/ENCFF207XCM/@@download/ENCFF207XCM.bed.gz
TF ChIP-seq	ENCSR372IML	ENCFF412ERW	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	SP1	1, 2	ENCODE4 v1.8.1 GRCh38	ENCODE4	a03b1cc52202015b7bb35c64935f57f1	ENCFF412ERW.bed.gz	https://www.encodeproject.org/files/ENCFF412ERW/@@download/ENCFF412ERW.bed.gz
TF ChIP-seq	ENCSR368GJN	ENCFF221TRR	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	E2F4	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	e4124f95f0f2e2991bc1ca299933152b	ENCFF221TRR.bed.gz	https://www.encodeproject.org/files/ENCFF221TRR/@@download/ENCFF221TRR.bed.gz
TF ChIP-seq	ENCSR249VFB	ENCFF308VAI	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZBTB49	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	df001b91033c97d18376994e157e9b32	ENCFF308VAI.bed.gz	https://www.encodeproject.org/files/ENCFF308VAI/@@download/ENCFF308VAI.bed.gz
TF ChIP-seq	ENCSR214EKV	ENCFF648ORA	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZNF281	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	c8846dc27aceb5493c29f27d1ab00d43	ENCFF648ORA.bed.gz	https://www.encodeproject.org/files/ENCFF648ORA/@@download/ENCFF648ORA.bed.gz
TF ChIP-seq	ENCSR845GGY	ENCFF295XBK	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZNF263	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	f4e613e134764f693b500d2eae745a99	ENCFF295XBK.bed.gz	https://www.encodeproject.org/files/ENCFF295XBK/@@download/ENCFF295XBK.bed.gz
TF ChIP-seq	ENCSR409PXW	ENCFF905RSN	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZNF224	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	41d1dfe12395313de4fe309022a3074c	ENCFF905RSN.bed.gz	https://www.encodeproject.org/files/ENCFF905RSN/@@download/ENCFF905RSN.bed.gz
TF ChIP-seq	ENCSR229KXQ	ENCFF094FBP	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZNF282	1, 2	ENCODE4 v1.8.1 GRCh38	ENCODE4	be8367724365cef53c9490dbfe9054bf	ENCFF094FBP.bed.gz	https://www.encodeproject.org/files/ENCFF094FBP/@@download/ENCFF094FBP.bed.gz
TF ChIP-seq	ENCSR976MXN	ENCFF653DNY	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZNF317	1, 2	ENCODE4 v1.8.1 GRCh38	ENCODE4	643ff5d54ae4c9defffa5033743393e9	ENCFF653DNY.bed.gz	https://www.encodeproject.org/files/ENCFF653DNY/@@download/ENCFF653DNY.bed.gz
TF ChIP-seq	ENCSR940PYZ	ENCFF824EJC	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZNF609	1, 2	ENCODE4 v1.8.1 GRCh38	ENCODE4	b8104e0f2b14d80630b729bfcb924121	ENCFF824EJC.bed.gz	https://www.encodeproject.org/files/ENCFF824EJC/@@download/ENCFF824EJC.bed.gz
TF ChIP-seq	ENCSR926TAH	ENCFF927VIS	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	PREB	1, 2	ENCODE4 v1.8.1 GRCh38	ENCODE4	434ce1966dc29e12377038f781357783	ENCFF927VIS.bed.gz	https://www.encodeproject.org/files/ENCFF927VIS/@@download/ENCFF927VIS.bed.gz
TF ChIP-seq	ENCSR068QXO	ENCFF934NEX	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	SMAD4	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	513fe3c2e974048735d5b4b967cc58dc	ENCFF934NEX.bed.gz	https://www.encodeproject.org/files/ENCFF934NEX/@@download/ENCFF934NEX.bed.gz
TF ChIP-seq	ENCSR901VIE	ENCFF044IDV	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	TFDP1	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	9d448c84f857160afd5f9ca126d93fda	ENCFF044IDV.bed.gz	https://www.encodeproject.org/files/ENCFF044IDV/@@download/ENCFF044IDV.bed.gz
TF ChIP-seq	ENCSR948JND	ENCFF380KJB	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZNF398	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	c7661a621c48dd98954a38eb18db75ab	ENCFF380KJB.bed.gz	https://www.encodeproject.org/files/ENCFF380KJB/@@download/ENCFF380KJB.bed.gz
TF ChIP-seq	ENCSR659YWQ	ENCFF443BGE	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZNF449	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	66b4133a5ab20432516083f80e7321b9	ENCFF443BGE.bed.gz	https://www.encodeproject.org/files/ENCFF443BGE/@@download/ENCFF443BGE.bed.gz
TF ChIP-seq	ENCSR620MHD	ENCFF702THZ	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	KDM2B	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	15a84be1f205db0c29c63f9ee40ce22f	ENCFF702THZ.bed.gz	https://www.encodeproject.org/files/ENCFF702THZ/@@download/ENCFF702THZ.bed.gz
TF ChIP-seq	ENCSR788DXU	ENCFF197SXI	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	FOXA3	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	9d7cadf2a30e0095778a7db5ac3dfdd2	ENCFF197SXI.bed.gz	https://www.encodeproject.org/files/ENCFF197SXI/@@download/ENCFF197SXI.bed.gz
TF ChIP-seq	ENCSR567NTZ	ENCFF415MKA	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	TCF15	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	a64daf572aa7d4a59739d89b7951b32c	ENCFF415MKA.bed.gz	https://www.encodeproject.org/files/ENCFF415MKA/@@download/ENCFF415MKA.bed.gz
TF ChIP-seq	ENCSR530WIV	ENCFF491EEI	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	FOXP1	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	ca54959be0f42ca980fc94a5fb2e10ff	ENCFF491EEI.bed.gz	https://www.encodeproject.org/files/ENCFF491EEI/@@download/ENCFF491EEI.bed.gz
TF ChIP-seq	ENCSR809JSD	ENCFF093BBG	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	IRF1	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	a9c34aa0b304ac147f35135504b75965	ENCFF093BBG.bed.gz	https://www.encodeproject.org/files/ENCFF093BBG/@@download/ENCFF093BBG.bed.gz
TF ChIP-seq	ENCSR228ELU	ENCFF214SNH	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	TEAD1	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	a864ccf68ff3ca9e7539f90ef7208260	ENCFF214SNH.bed.gz	https://www.encodeproject.org/files/ENCFF214SNH/@@download/ENCFF214SNH.bed.gz
TF ChIP-seq	ENCSR576AMK	ENCFF893YKY	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	PPARD	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	4e7dd9c9098dee51f426b9f79fc97101	ENCFF893YKY.bed.gz	https://www.encodeproject.org/files/ENCFF893YKY/@@download/ENCFF893YKY.bed.gz
TF ChIP-seq	ENCSR939CDD	ENCFF086FAZ	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ARID4B	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	5c32882156ff9a8d1042cf91c0d37de0	ENCFF086FAZ.bed.gz	https://www.encodeproject.org/files/ENCFF086FAZ/@@download/ENCFF086FAZ.bed.gz
TF ChIP-seq	ENCSR817FMN	ENCFF303CVC	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	TEAD4	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	3ac930fb7df2fdcfd0236e8c01776281	ENCFF303CVC.bed.gz	https://www.encodeproject.org/files/ENCFF303CVC/@@download/ENCFF303CVC.bed.gz
TF ChIP-seq	ENCSR676KDJ	ENCFF528IDR	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ARID4B	1, 2	ENCODE4 v2.1.2 GRCh38	ENCODE4	6ef0239549730fa777af55dc284d48b9	ENCFF528IDR.bed.gz	https://www.encodeproject.org/files/ENCFF528IDR/@@download/ENCFF528IDR.bed.gz
TF ChIP-seq	ENCSR028WJI	ENCFF238XIA	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	TGIF2	1, 2	ENCODE4 v1.8.1 GRCh38	ENCODE4	faff5e72439fd29edfd73de886815f60	ENCFF238XIA.bed.gz	https://www.encodeproject.org/files/ENCFF238XIA/@@download/ENCFF238XIA.bed.gz
TF ChIP-seq	ENCSR498JCG	ENCFF518EGY	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ELF4	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	e41f615a93c73ee55c54e5ef60220a8f	ENCFF518EGY.bed.gz	https://www.encodeproject.org/files/ENCFF518EGY/@@download/ENCFF518EGY.bed.gz
TF ChIP-seq	ENCSR014ARU	ENCFF121HYT	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ATF2	1, 2	ENCODE4 v1.8.1 GRCh38	ENCODE4	bb407abe86df5439cef62a5fa5246ec7	ENCFF121HYT.bed.gz	https://www.encodeproject.org/files/ENCFF121HYT/@@download/ENCFF121HYT.bed.gz
TF ChIP-seq	ENCSR121SPB	ENCFF142ZTD	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	KLF10	1, 2	ENCODE4 v1.6.1 GRCh38	ENCODE4	06b317ef05d76533b65394ed228366f4	ENCFF142ZTD.bed.gz	https://www.encodeproject.org/files/ENCFF142ZTD/@@download/ENCFF142ZTD.bed.gz
TF ChIP-seq	ENCSR419CNA	ENCFF270TMW	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZC3H4	1, 2	ENCODE4 v1.9.0 GRCh38	ENCODE4	e7b2f2d8e419a9398b3411c280296f21	ENCFF270TMW.bed.gz	https://www.encodeproject.org/files/ENCFF270TMW/@@download/ENCFF270TMW.bed.gz
TF ChIP-seq	ENCSR099MNR	ENCFF307UZC	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZNF75A	1, 2	ENCODE4 v1.4.0 GRCh38	ENCODE4	aa09a723f3ab1f0ea199a6174d3dcd69	ENCFF307UZC.bed.gz	https://www.encodeproject.org/files/ENCFF307UZC/@@download/ENCFF307UZC.bed.gz
TF ChIP-seq	ENCSR953KEY	ENCFF592NJN	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	TFE3	1, 2	ENCODE4 v1.4.0 GRCh38	ENCODE4	87424d6f3ff19415f64f25403fe9ffd2	ENCFF592NJN.bed.gz	https://www.encodeproject.org/files/ENCFF592NJN/@@download/ENCFF592NJN.bed.gz
TF ChIP-seq	ENCSR918EFA	ENCFF945IST	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZNF57	1, 2	ENCODE4 v1.4.0 GRCh38	ENCODE4	c063fcb672da982bcbbc174c2ed02a3a	ENCFF945IST.bed.gz	https://www.encodeproject.org/files/ENCFF945IST/@@download/ENCFF945IST.bed.gz
TF ChIP-seq	ENCSR998OMC	ENCFF392MAR	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	TFCP2	1, 2	ENCODE4 v1.4.0 GRCh38	ENCODE4	24c441dcd257d355e3623a93c8babed1	ENCFF392MAR.bed.gz	https://www.encodeproject.org/files/ENCFF392MAR/@@download/ENCFF392MAR.bed.gz
TF ChIP-seq	ENCSR870YEN	ENCFF537HHU	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZSCAN32	1, 2	ENCODE4 v1.4.0 GRCh38	ENCODE4	1929de42f3669816f04c675a97584442	ENCFF537HHU.bed.gz	https://www.encodeproject.org/files/ENCFF537HHU/@@download/ENCFF537HHU.bed.gz
TF ChIP-seq	ENCSR972CVS	ENCFF198NGY	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ELK3	1, 2	ENCODE4 v1.4.0 GRCh38	ENCODE4	91e2d481c44a3f933119331eb7f5f9ea	ENCFF198NGY.bed.gz	https://www.encodeproject.org/files/ENCFF198NGY/@@download/ENCFF198NGY.bed.gz
TF ChIP-seq	ENCSR140GLO	ENCFF335ZTU	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	SMAD3	1, 2	ENCODE4 v1.8.1 GRCh38	ENCODE4	48ff6d2f45fc703cd6d2a4a7bcb9f895	ENCFF335ZTU.bed.gz	https://www.encodeproject.org/files/ENCFF335ZTU/@@download/ENCFF335ZTU.bed.gz
TF ChIP-seq	ENCSR125YGM	ENCFF794SCQ	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ID3	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	e6e475535ea04af262cd6522c6bd3ced	ENCFF794SCQ.bed.gz	https://www.encodeproject.org/files/ENCFF794SCQ/@@download/ENCFF794SCQ.bed.gz
TF ChIP-seq	ENCSR000EGO	ENCFF661EUX	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	RFX5	1, 2	ENCODE4 v1.6.1 GRCh38	ENCODE4	613b7c5249928adcd0c2f5e942bf8e16	ENCFF661EUX.bed.gz	https://www.encodeproject.org/files/ENCFF661EUX/@@download/ENCFF661EUX.bed.gz
TF ChIP-seq	ENCSR000AQI	ENCFF942VGF	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	RBBP5	1, 2	ENCODE4 v1.6.1 GRCh38	ENCODE4	d7f982def630487e53375688ce0bc630	ENCFF942VGF.bed.gz	https://www.encodeproject.org/files/ENCFF942VGF/@@download/ENCFF942VGF.bed.gz
TF ChIP-seq	ENCSR000EGF	ENCFF951KHS	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	POLR2AphosphoS2	1, 2	ENCODE4 v1.6.1 GRCh38	ENCODE4	edd3af154fcbc6c7dd4d20183c64c516	ENCFF951KHS.bed.gz	https://www.encodeproject.org/files/ENCFF951KHS/@@download/ENCFF951KHS.bed.gz
TF ChIP-seq	ENCSR526HRN	ENCFF882XTP	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZNF184	1, 2	ENCODE4 v1.5.0 GRCh38	ENCODE4	95f98e307d92e6099d4f0530839629a2	ENCFF882XTP.bed.gz	https://www.encodeproject.org/files/ENCFF882XTP/@@download/ENCFF882XTP.bed.gz
TF ChIP-seq	ENCSR119FAD	ENCFF030AXK	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	DEAF1	1, 2	ENCODE4 v1.4.0 GRCh38	ENCODE4	d59dbf514389ddec3ae039ad0a4395d8	ENCFF030AXK.bed.gz	https://www.encodeproject.org/files/ENCFF030AXK/@@download/ENCFF030AXK.bed.gz
TF ChIP-seq	ENCSR643JRH	ENCFF389FLV	bed narrowPeak	bed	conservative IDR thresholded peaks	GRCh38	MAZ	1, 2	ENCODE4 v1.4.0 GRCh38	ENCODE4	c6f1dde2dbef858020f1a1e40b03918d	ENCFF389FLV.bed.gz	https://www.encodeproject.org/files/ENCFF389FLV/@@download/ENCFF389FLV.bed.gz
TF ChIP-seq	ENCSR000EHD	ENCFF947AEO	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	CHD2	1, 2	ENCODE4 v1.6.1 GRCh38	ENCODE4	9e7b3452012b8aa3c18111799102abbc	ENCFF947AEO.bed.gz	https://www.encodeproject.org/files/ENCFF947AEO/@@download/ENCFF947AEO.bed.gz
TF ChIP-seq	ENCSR000BMH	ENCFF398UQZ	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	YY1	1, 2	ENCODE4 v1.6.1 GRCh38	ENCODE4	2f203cafdfae2749b598a998b8e409be	ENCFF398UQZ.bed.gz	https://www.encodeproject.org/files/ENCFF398UQZ/@@download/ENCFF398UQZ.bed.gz
TF ChIP-seq	ENCSR000DJZ	ENCFF611FTI	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	HDAC8	1, 2	ENCODE4 v1.6.1 GRCh38	ENCODE4	3fd26a9020722b69fd029c94c0530c71	ENCFF611FTI.bed.gz	https://www.encodeproject.org/files/ENCFF611FTI/@@download/ENCFF611FTI.bed.gz
TF ChIP-seq	ENCSR844JVU	ENCFF410SWS	bed narrowPeak	bed	conservative IDR thresholded peaks	GRCh38	TCFL5	1, 2	ENCODE4 v1.6.1 GRCh38	ENCODE4	60d335277f3b6c34d4f2d52544f64d82	ENCFF410SWS.bed.gz	https://www.encodeproject.org/files/ENCFF410SWS/@@download/ENCFF410SWS.bed.gz
TF ChIP-seq	ENCSR017EJY	ENCFF832DBU	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	DLX4	1, 2	ENCODE4 v1.6.1 GRCh38	ENCODE4	8d549573a8b98c815fb5791bb1f2f78a	ENCFF832DBU.bed.gz	https://www.encodeproject.org/files/ENCFF832DBU/@@download/ENCFF832DBU.bed.gz
