Experiment Accession	Peak Accession	Biosample	Target	Lab	RFA
ENCSR921ERP	ENCFF511NNV	Homo sapiens Calu3	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR840EYN	ENCFF514WRA	Homo sapiens heart right ventricle tissue female adult (59 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR799TJD	ENCFF629UDP	Homo sapiens upper lobe of left lung tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR967BSF	ENCFF516DOX	Homo sapiens spleen tissue female adult (41 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR718SDR	ENCFF202OSU	Homo sapiens heart left ventricle tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR466TNQ	ENCFF549WAF	Homo sapiens spleen tissue female adult (61 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR527TPP	ENCFF148UOD	Homo sapiens uterus tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR260FAS	ENCFF308JDD	Homo sapiens neural progenitor cell	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR355ALW	ENCFF010ZEW	Homo sapiens gastrocnemius medialis tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR601FEB	ENCFF270LLX	Homo sapiens spleen tissue female adult (53 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR230ORT	ENCFF396UUU	Homo sapiens prostate gland tissue male adult (54 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR185CCV	ENCFF900APQ	Homo sapiens stomach tissue female adult (53 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR961SKY	ENCFF646OTN	Homo sapiens spleen tissue male adult (26 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR298ZPF	ENCFF182DIE	Homo sapiens gastroesophageal sphincter tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR805YLE	ENCFF335DOL	Homo sapiens gastroesophageal sphincter tissue male adult (54 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR568IVD	ENCFF151JWD	Homo sapiens Peyer's patch tissue male adult (54 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR687APM	ENCFF033AIE	Homo sapiens body of pancreas tissue male adult (54 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR033KMZ	ENCFF620VBI	Homo sapiens thyroid gland tissue male adult (54 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR224WWI	ENCFF529BHM	Homo sapiens upper lobe of left lung tissue female adult (53 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR463XCZ	ENCFF690VRK	Homo sapiens upper lobe of left lung tissue male adult (54 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR684PGO	ENCFF417QWU	Homo sapiens uterus tissue female adult (53 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR145HBC	ENCFF873BWX	Homo sapiens thyroid gland tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR449SEF	ENCFF115EJR	Homo sapiens transverse colon tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR875NEW	ENCFF728GND	Homo sapiens tibial nerve tissue female adult (53 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR037GKL	ENCFF768SLC	Homo sapiens stomach tissue male adult (54 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR225YGX	ENCFF112DKF	Homo sapiens spleen tissue male adult (54 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR857RJQ	ENCFF639IZT	Homo sapiens sigmoid colon tissue male adult (54 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR852BLA	ENCFF263JRA	Homo sapiens pancreas tissue female child (16 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR984IUE	ENCFF478CPK	Homo sapiens psoas muscle tissue female adult (41 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR946MNG	ENCFF703KDQ	Homo sapiens prostate gland tissue male adult (37 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR470KCE	ENCFF858TLX	"Homo sapiens CD4-positive, alpha-beta T cell male adult (20 years)"	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR837OOH	ENCFF652MGY	Homo sapiens right lobe of liver tissue female child (16 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR793YAD	ENCFF801TOC	Homo sapiens tibial nerve tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR595BPR	ENCFF978ZGD	Homo sapiens spleen tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR542SCB	ENCFF574ILL	Homo sapiens Peyer's patch tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR846JKO	ENCFF218JYZ	Homo sapiens ascending aorta tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR266UTR	ENCFF384CCC	Homo sapiens esophagus squamous epithelium tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR485VQV	ENCFF503GIR	Homo sapiens suprapubic skin tissue male adult (37 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR343RJH	ENCFF266WST	Homo sapiens spleen tissue male adult (37 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR361KVZ	ENCFF049IPS	Homo sapiens stomach tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR232OFD	ENCFF790IQB	Homo sapiens right atrium auricular region tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR079YAP	ENCFF953QHW	Homo sapiens tibial artery tissue male adult (37 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR031PXV	ENCFF509KKI	Homo sapiens endothelial cell	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR610UDC	ENCFF422EHF	Homo sapiens middle frontal area 46 tissue female adult (87 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR619WGF	ENCFF996ADF	Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (89 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR068DJS	ENCFF052VUS	Homo sapiens with mild cognitive impairment; middle frontal area 46 tissue male adult (90 or above years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR979PTL	ENCFF816RIB	Homo sapiens middle frontal area 46 tissue male adult (86 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR369RRE	ENCFF873GEN	Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (74 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR525VXD	ENCFF201FRB	Homo sapiens middle frontal area 46 tissue female adult (90 or above years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR094PSL	ENCFF534RYO	Homo sapiens middle frontal area 46 tissue female adult (88 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR211AFA	ENCFF811LFG	Homo sapiens with mild cognitive impairment; middle frontal area 46 tissue female adult (90 or above years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR300WOR	ENCFF814BVV	"Homo sapiens with Alzheimer's disease, Cognitive impairment; middle frontal area 46 tissue female adult (90 or above years)"	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR237BTA	ENCFF070IMT	Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (81 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR378BVM	ENCFF759TJN	Homo sapiens with mild cognitive impairment; middle frontal area 46 tissue female adult (87 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR073BPG	ENCFF133LGF	Homo sapiens with mild cognitive impairment; middle frontal area 46 tissue female adult (83 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR372JWF	ENCFF881GDD	Homo sapiens middle frontal area 46 tissue male adult (71 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR740GKG	ENCFF302EBF	Homo sapiens with Cognitive impairment; middle frontal area 46 tissue female adult (86 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR168KQC	ENCFF477QFS	Homo sapiens middle frontal area 46 tissue female adult (84 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR194JAU	ENCFF029THO	Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (90 or above years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR832TWW	ENCFF535ATM	Homo sapiens middle frontal area 46 tissue male adult (82 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR398RET	ENCFF834JBV	Homo sapiens endodermal cell	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR251BHU	ENCFF108PPI	Homo sapiens middle frontal area 46 tissue female adult (82 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR218MVT	ENCFF113SCL	Homo sapiens neural crest cell	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR443WKD	ENCFF851XPN	Homo sapiens esophagus muscularis mucosa tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR163ULN	ENCFF294RSZ	Homo sapiens HFFc6	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR594NSU	ENCFF542QZT	Homo sapiens gastrocnemius medialis tissue male adult (37 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR374PKX	ENCFF132UGC	Homo sapiens middle frontal area 46 tissue male adult (83 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR913SEI	ENCFF756VJC	Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (86 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR092VKJ	ENCFF666YIG	Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (90 or above years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR778NDP	ENCFF037ULF	Homo sapiens with Cognitive impairment; middle frontal area 46 tissue female adult (81 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR841XDW	ENCFF540AKH	"Homo sapiens with Alzheimer's disease; and without disease, middle frontal area 46 tissue female adult (90 or above years)"	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR331OGX	ENCFF947KIQ	Homo sapiens thyroid gland tissue female adult (53 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR928RNP	ENCFF226NCM	Homo sapiens heart right ventricle tissue male adult (43 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR961IOA	ENCFF378WSO	Homo sapiens Caco-2	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR105KGD	ENCFF749OWQ	Homo sapiens heart right ventricle tissue male adult (55 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR907BES	ENCFF351URT	Homo sapiens transverse colon tissue male adult (54 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR458PYQ	ENCFF190FKP	Homo sapiens type B pancreatic cell	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR705DNM	ENCFF835BZY	Homo sapiens middle frontal area 46 tissue female adult (90 or above years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR059KXR	ENCFF531OSH	"Homo sapiens with Alzheimer's disease, Cognitive impairment; middle frontal area 46 tissue female adult (87 years)"	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR647SQF	ENCFF061YSW	Homo sapiens mesothelial cell of epicardium	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR505RTK	ENCFF140FHE	Homo sapiens heart right ventricle tissue female adult (46 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR355PMV	ENCFF641ZTX	Homo sapiens heart left ventricle tissue male adult (40 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR255SQR	ENCFF992VPQ	Homo sapiens left lung tissue male adult (40 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR778ZPK	ENCFF805CXH	Homo sapiens heart left ventricle tissue female adult (59 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR608WPS	ENCFF681RYK	Homo sapiens transverse colon tissue male adult (37 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR572DUJ	ENCFF143VTV	Homo sapiens body of pancreas tissue male adult (37 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR133AFF	ENCFF887BKS	Homo sapiens lower lobe of left lung tissue female adult (59 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR756URL	ENCFF594HEK	Homo sapiens esophagus squamous epithelium tissue female adult (53 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR300DWM	ENCFF116KLB	Homo sapiens osteocyte	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR423ZUM	ENCFF822EDI	Homo sapiens with mild cognitive impairment; middle frontal area 46 tissue female adult (90 or above years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR452KYY	ENCFF306BLG	Homo sapiens middle frontal area 46 tissue male adult (84 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR819WDZ	ENCFF969MRV	Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (90 or above years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR755WXO	ENCFF893RLK	Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (89 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR230RQK	ENCFF206QXQ	Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (90 or above years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR813KUE	ENCFF512PKN	Homo sapiens middle frontal area 46 tissue male adult (78 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR689LFJ	ENCFF427DTQ	Homo sapiens middle frontal area 46 tissue female adult (83 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR244KEW	ENCFF051BZX	Homo sapiens with mild cognitive impairment; middle frontal area 46 tissue female adult (88 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR505ZGX	ENCFF318FXB	Homo sapiens thyroid gland tissue male adult (37 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR351SWL	ENCFF821ZJF	Homo sapiens middle frontal area 46 tissue female adult (79 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR062JAC	ENCFF847LHJ	Homo sapiens with mild cognitive impairment; middle frontal area 46 tissue female adult (90 or above years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR384DBJ	ENCFF895HTB	Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (90 or above years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR666JEF	ENCFF497VZU	Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (85 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR038VWU	ENCFF484VPU	Homo sapiens mucosa of descending colon tissue male adult (40 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR680WMF	ENCFF382SFB	Homo sapiens with mild cognitive impairment; middle frontal area 46 tissue female adult (90 or above years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR676LDQ	ENCFF113VJZ	Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (90 or above years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR259PNW	ENCFF962FDB	Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (88 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR699BRV	ENCFF427TYH	Homo sapiens with mild cognitive impairment; middle frontal area 46 tissue female adult (90 or above years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR715FHW	ENCFF735UFW	"Homo sapiens with Alzheimer's disease; and without disease, middle frontal area 46 tissue female adult (90 or above years)"	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR275JVX	ENCFF375BSV	Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue male adult (90 or above years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR847OSL	ENCFF333WDJ	Homo sapiens with mild cognitive impairment; middle frontal area 46 tissue female adult (90 or above years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR922HGS	ENCFF484HIN	Homo sapiens with mild cognitive impairment; middle frontal area 46 tissue female adult (90 or above years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR932XBJ	ENCFF660KBC	"Homo sapiens with Alzheimer's disease, Cognitive impairment; middle frontal area 46 tissue male adult (87 years)"	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR190BZA	ENCFF835UIE	Homo sapiens chondrocyte	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR447ANW	ENCFF773XKG	Homo sapiens coronary artery tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR774PGN	ENCFF682RNL	Homo sapiens pancreas tissue female adult (41 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR195POA	ENCFF711KWX	Homo sapiens lower lobe of left lung tissue male adult (60 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR549TXG	ENCFF782UJX	Homo sapiens thoracic aorta tissue male adult (37 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR068HEE	ENCFF284EIV	Homo sapiens left ventricle myocardium inferior tissue male adult (60 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR461HOC	ENCFF978LAN	Homo sapiens heart left ventricle tissue male adult (69 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR881YFU	ENCFF883YRD	Homo sapiens heart left ventricle tissue male adult (66 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR089NBS	ENCFF204QCJ	Homo sapiens heart right ventricle tissue male adult (73 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR138FTN	ENCFF264WPL	Homo sapiens heart right ventricle tissue male adult (54 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR614HHL	ENCFF626XNO	Homo sapiens vagina tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR113COJ	ENCFF092IAE	Homo sapiens pancreas tissue female adult (59 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR266CJT	ENCFF645YCX	Homo sapiens spleen tissue female adult (59 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR188XCX	ENCFF418GYV	Homo sapiens adrenal gland tissue female adult (41 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR805SIA	ENCFF500BWO	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens PURB	PURB	"Richard Myers, HAIB"	ENCODE4
ENCSR199MFT	ENCFF811LFF	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens FOXQ1	FOXQ1	"Richard Myers, HAIB"	ENCODE4
ENCSR125RFR	ENCFF863ZFH	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ATF6	ATF6	"Richard Myers, HAIB"	ENCODE4
ENCSR841GLE	ENCFF515LWL	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF217	ZNF217	"Richard Myers, HAIB"	ENCODE4
ENCSR435ARI	ENCFF567QWP	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens FOXM1	FOXM1	"Richard Myers, HAIB"	ENCODE4
ENCSR775YXE	ENCFF180WMP	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB37	ZBTB37	"Richard Myers, HAIB"	ENCODE4
ENCSR539PMH	ENCFF456EDK	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens CENPBD1	CENPBD1	"Richard Myers, HAIB"	ENCODE4
ENCSR887TWV	ENCFF482BEV	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ATF5	ATF5	"Richard Myers, HAIB"	ENCODE4
ENCSR897LDT	ENCFF409YKQ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens GATA2	GATA2	"Richard Myers, HAIB"	ENCODE4
ENCSR014ARU	ENCFF121HYT	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ATF2	ATF2	"Richard Myers, HAIB"	ENCODE4
ENCSR428LOB	ENCFF791UUM	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZZZ3	ZZZ3	"Richard Myers, HAIB"	ENCODE4
ENCSR602QEJ	ENCFF708MEQ	Homo sapiens SK-N-SH genetically modified (insertion) using CRISPR targeting H. sapiens PPARA treated with 6 ?M all-trans-retinoic acid for 48 hours	PPARA	"Michael Snyder, Stanford"	ENCODE4
ENCSR172XJS	ENCFF169QYL	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF165	ZNF165	"Michael Snyder, Stanford"	ENCODE4
ENCSR676KDJ	ENCFF528IDR	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ARID4B	ARID4B	"Michael Snyder, Stanford"	ENCODE4
ENCSR233FJO	ENCFF413OMR	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF280D	ZNF280D	"Richard Myers, HAIB"	ENCODE4
ENCSR288NNJ	ENCFF717CPE	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF416	ZNF416	"Michael Snyder, Stanford"	ENCODE4
ENCSR432QMW	ENCFF034ASW	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF335	ZNF335	"Richard Myers, HAIB"	ENCODE4
ENCSR995CFS	ENCFF876JKA	Homo sapiens A549 genetically modified (insertion) using CRISPR targeting H. sapiens HEYL	HEYL	"Michael Snyder, Stanford"	ENCODE4
ENCSR264LQX	ENCFF442ZRY	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF383	ZNF383	"Richard Myers, HAIB"	ENCODE4
ENCSR227MRE	ENCFF595TJC	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens KDM5B	KDM5B	"Richard Myers, HAIB"	ENCODE4
ENCSR020CLV	ENCFF903IZG	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF891	ZNF891	"Richard Myers, HAIB"	ENCODE4
ENCSR136QQF	ENCFF542SUS	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens REL	REL	"Richard Myers, HAIB"	ENCODE4
ENCSR272TOJ	ENCFF707SJC	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens DLX6	DLX6	"Richard Myers, HAIB"	ENCODE4
ENCSR817FMN	ENCFF303CVC	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens TEAD4	TEAD4	"Richard Myers, HAIB"	ENCODE4
ENCSR376EOW	ENCFF223LTI	Homo sapiens heart right ventricle tissue male adult (66 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR845GGY	ENCFF295XBK	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF263	ZNF263	"Richard Myers, HAIB"	ENCODE4
