# REST + cCREs					
Chr	Start	End	cCRE accession	cCRE class	Silencer class
chr10	122911927	122912266	EH38E4023698	CA-TF	REST+ silencer
chr10	123614943	123615285	EH38E4023919	CA-CTCF	REST+ silencer
chr10	123659373	123659712	EH38E4023931	CA-TF	REST+ silencer
chr10	125568848	125569089	EH38E4024525	CA-TF	REST+ silencer
chr10	127117187	127117478	EH38E4024859	CA-CTCF	REST+ silencer
chr10	127556954	127557274	EH38E4024979	CA-CTCF	REST+ silencer
chr10	127600561	127600876	EH38E4024987	CA-CTCF	REST+ silencer
chr10	127801414	127801593	EH38E4025020	TF	REST+ silencer
chr10	128113116	128113354	EH38E4025121	CA-TF	REST+ silencer
chr10	128418861	128419178	EH38E4025210	CA-TF	REST+ silencer
chr10	129325916	129326266	EH38E4025485	TF	REST+ silencer
chr10	130254286	130254559	EH38E4025760	CA-CTCF	REST+ silencer
chr10	130737707	130737954	EH38E4025870	CA-TF	REST+ silencer
chr10	131354444	131354736	EH38E4026091	CA-TF	REST+ silencer
chr10	132054613	132054911	EH38E4026402	CA-TF	REST+ silencer
chr10	1563182	1563366	EH38E3999654	TF	REST+ silencer
chr10	16119509	16119768	EH38E4002758	CA-TF	REST+ silencer
chr10	16670621	16670898	EH38E4002875	CA-TF	REST+ silencer
chr10	16820038	16820358	EH38E4002910	TF	REST+ silencer
chr10	16824798	16825109	EH38E2888500	CA-CTCF	REST+ silencer
chr10	1753027	1753271	EH38E3999723	TF	REST+ silencer
chr10	18822202	18822465	EH38E4003250	CA-TF	REST+ silencer
chr10	2232526	2232810	EH38E3999830	CA-TF	REST+ silencer
chr10	23171326	23171632	EH38E4004108	CA-H3K4me3	REST+ silencer
chr10	23516577	23516893	EH38E1455207	CA-CTCF	REST+ silencer
chr10	26142151	26142494	EH38E4004637	TF	REST+ silencer
chr10	26249754	26250067	EH38E4004657	TF	REST+ silencer
chr10	27188973	27189237	EH38E4004807	CA-TF	REST+ silencer
chr10	2733339	2733532	EH38E3999946	CA-TF	REST+ silencer
chr10	27558593	27558941	EH38E2892466	CA-CTCF	REST+ silencer
chr10	28192299	28192595	EH38E4004987	TF	REST+ silencer
chr10	2867842	2868118	EH38E3999984	CA-TF	REST+ silencer
chr10	30899027	30899319	EH38E4005530	TF	REST+ silencer
chr10	43282906	43283222	EH38E4007236	CA-TF	REST+ silencer
chr10	43284400	43284674	EH38E1463875	CA-CTCF	REST+ silencer
chr10	45424116	45424317	EH38E4007746	TF	REST+ silencer
chr10	47012298	47012488	EH38E4008021	TF	REST+ silencer
chr10	4803140	4803460	EH38E4000375	TF	REST+ silencer
chr10	49367552	49367895	EH38E1466857	CA-CTCF	REST+ silencer
chr10	51679043	51679287	EH38E4009025	TF	REST+ silencer
chr10	52752342	52752587	EH38E4009224	TF	REST+ silencer
chr10	54002197	54002402	EH38E4009451	TF	REST+ silencer
chr10	55200141	55200320	EH38E2901390	CA-CTCF	REST+ silencer
chr10	57621543	57621793	EH38E4009989	CA-TF	REST+ silencer
chr10	58148916	58149260	EH38E2901776	CA-H3K4me3	REST+ silencer
chr10	63997343	63997693	EH38E4011148	TF	REST+ silencer
chr10	64587071	64587262	EH38E2904417	CA-CTCF	REST+ silencer
chr10	6667192	6667488	EH38E4000765	TF	REST+ silencer
chr10	6713222	6713413	EH38E2884144	CA-H3K4me3	REST+ silencer
chr10	6713768	6714103	EH38E1445496	CA-CTCF	REST+ silencer
chr10	6727044	6727240	EH38E4000781	TF	REST+ silencer
chr10	69254999	69255259	EH38E4012146	TF	REST+ silencer
chr10	69567871	69568191	EH38E4012220	CA-H3K4me3	REST+ silencer
chr10	69979264	69979460	EH38E2905992	CA-CTCF	REST+ silencer
chr10	70260801	70261041	EH38E1475734	CA-CTCF	REST+ silencer
chr10	71551701	71551976	EH38E4012841	TF	REST+ silencer
chr10	71578186	71578338	EH38E4012857	CA-TF	REST+ silencer
chr10	71795274	71795553	EH38E4012922	CA-CTCF	REST+ silencer
chr10	73310544	73310788	EH38E4013281	TF	REST+ silencer
chr10	73344373	73344574	EH38E2908365	CA-CTCF	REST+ silencer
chr10	76017430	76017672	EH38E4013904	CA-TF	REST+ silencer
chr10	77680068	77680401	EH38E4014217	TF	REST+ silencer
chr10	78445428	78445640	EH38E4014418	TF	REST+ silencer
chr10	81978283	81978565	EH38E1483713	CA-CTCF	REST+ silencer
chr10	83960244	83960469	EH38E4015592	CA-H3K4me3	REST+ silencer
chr10	84291487	84291688	EH38E1484412	CA-CTCF	REST+ silencer
chr10	86203540	86203858	EH38E4016127	CA-TF	REST+ silencer
chr10	86306717	86307009	EH38E4016157	CA-TF	REST+ silencer
chr10	86553691	86553958	EH38E2914106	CA-CTCF	REST+ silencer
chr10	8835797	8836098	EH38E4001208	CA-H3K4me3	REST+ silencer
chr10	90352344	90352606	EH38E4016874	CA-TF	REST+ silencer
chr10	90621644	90621911	EH38E4016943	CA-TF	REST+ silencer
chr10	93121422	93121586	EH38E4017335	CA-TF	REST+ silencer
chr10	93145602	93145759	EH38E4017337	CA-TF	REST+ silencer
chr10	96496287	96496627	EH38E4017853	CA-TF	REST+ silencer
chr10	97928989	97929168	EH38E2919173	CA-CTCF	REST+ silencer
chr10	97991934	97992207	EH38E4018244	CA-TF	REST+ silencer
chr10	97999629	97999974	EH38E4018248	CA-TF	REST+ silencer
chr10	98035652	98035841	EH38E2919200	CA-H3K4me3	REST+ silencer
chr10	98060172	98060359	EH38E2919211	CA-CTCF	REST+ silencer
chr10	98074375	98074638	EH38E4018276	CA-CTCF	REST+ silencer
chr10	98087386	98087642	EH38E4018284	CA-TF	REST+ silencer
chr10	98389957	98390253	EH38E4018338	TF	REST+ silencer
chr1	101299793	101300013	EH38E3974672	TF	REST+ silencer
chr1	104852282	104852440	EH38E3975187	TF	REST+ silencer
chr1	106185139	106185363	EH38E3975343	TF	REST+ silencer
chr1	107102482	107102832	EH38E3975540	CA-CTCF	REST+ silencer
chr1	107135507	107135795	EH38E3975550	CA-TF	REST+ silencer
chr1	10816695	10816970	EH38E3954284	TF	REST+ silencer
chr1	110155940	110156265	EH38E3976161	CA-CTCF	REST+ silencer
chr11	1015871	1016185	EH38E2938414	CA-H3K4me3	REST+ silencer
chr1	110218768	110219080	EH38E3976170	CA-CTCF	REST+ silencer
chr11	104036993	104037320	EH38E2981898	CA-H3K4me3	REST+ silencer
chr1	110542761	110543041	EH38E3976268	CA-TF	REST+ silencer
chr11	105673149	105673439	EH38E4047842	CA-CTCF	REST+ silencer
chr11	105793210	105793360	EH38E4047869	TF	REST+ silencer
chr11	107025756	107025949	EH38E4048133	TF	REST+ silencer
chr1	110746585	110746935	EH38E2830624	CA-CTCF	REST+ silencer
chr11	108003728	108003902	EH38E4048326	TF	REST+ silencer
chr11	109641580	109641868	EH38E1568236	CA-CTCF	REST+ silencer
chr11	111665841	111666110	EH38E2984190	CA-CTCF	REST+ silencer
chr11	113152543	113152893	EH38E4049369	TF	REST+ silencer
chr11	113638435	113638675	EH38E2985157	CA-CTCF	REST+ silencer
chr11	11366840	11367043	EH38E4029646	CA-CTCF	REST+ silencer
chr11	113991202	113991502	EH38E4049562	CA-CTCF	REST+ silencer
chr11	11550561	11550882	EH38E4029701	TF	REST+ silencer
chr11	115632183	115632342	EH38E2986148	CA-CTCF	REST+ silencer
chr11	116379481	116379776	EH38E4050098	CA-CTCF	REST+ silencer
chr11	116605569	116605887	EH38E2986589	CA-CTCF	REST+ silencer
chr11	117597145	117597443	EH38E4050392	CA-CTCF	REST+ silencer
chr11	118473623	118473848	EH38E4050616	TF	REST+ silencer
chr1	111864898	111865214	EH38E3976526	CA-TF	REST+ silencer
chr11	119157210	119157521	EH38E4050798	CA-TF	REST+ silencer
chr11	119487039	119487189	EH38E4050877	CA-TF	REST+ silencer
chr11	119493782	119494081	EH38E4050879	CA-CTCF	REST+ silencer
chr11	119518836	119519105	EH38E4050889	CA-TF	REST+ silencer
chr11	119774236	119774509	EH38E4050961	CA-CTCF	REST+ silencer
chr11	120367039	120367205	EH38E1575848	CA-CTCF	REST+ silencer
chr11	120577689	120577897	EH38E4051172	CA-TF	REST+ silencer
chr11	120653027	120653283	EH38E2989767	CA-CTCF	REST+ silencer
chr1	112083550	112083836	EH38E3976605	CA-TF	REST+ silencer
chr11	120900664	120901014	EH38E4051290	CA-TF	REST+ silencer
chr11	121082680	121083006	EH38E4051344	CA-CTCF	REST+ silencer
chr1	112133550	112133807	EH38E1376811	CA-TF	REST+ silencer
chr1	112172356	112172663	EH38E3976631	CA-CTCF	REST+ silencer
chr11	121901919	121902265	EH38E4051472	CA-TF	REST+ silencer
chr1	112233085	112233286	EH38E2831335	CA-TF	REST+ silencer
chr11	124612893	124613193	EH38E4051928	CA-H3K4me3	REST+ silencer
chr11	124863836	124864094	EH38E4051997	CA-H3K4me3	REST+ silencer
chr11	126510684	126510944	EH38E4052348	CA-TF	REST+ silencer
chr11	126938792	126939011	EH38E4052484	CA-TF	REST+ silencer
chr11	127098720	127099005	EH38E4052525	CA-TF	REST+ silencer
chr11	128365102	128365451	EH38E1580880	CA-CTCF	REST+ silencer
chr11	13015889	13016133	EH38E4029960	CA-TF	REST+ silencer
chr11	130399274	130399500	EH38E4053172	CA-TF	REST+ silencer
chr11	130911429	130911628	EH38E1582931	CA-TF	REST+ silencer
chr11	132177171	132177428	EH38E4053520	CA-CTCF	REST+ silencer
chr11	133794332	133794490	EH38E4054010	TF	REST+ silencer
chr11	134476477	134476827	EH38E4054210	CA-CTCF	REST+ silencer
chr1	114155038	114155379	EH38E3977063	CA-H3K4me3	REST+ silencer
chr1	114156722	114156875	EH38E2832289	CA-CTCF	REST+ silencer
chr11	1422548	1422739	EH38E2939015	CA-H3K4me3	REST+ silencer
chr1	11550697	11551030	EH38E1318924	CA-CTCF	REST+ silencer
chr1	11635870	11636180	EH38E3954535	CA-CTCF	REST+ silencer
chr11	17478131	17478457	EH38E4030769	CA-H3K4me3	REST+ silencer
chr11	17876865	17877159	EH38E1524965	CA-CTCF	REST+ silencer
chr11	18111115	18111353	EH38E4030952	CA-CTCF	REST+ silencer
chr11	18836439	18836775	EH38E4031111	CA-TF	REST+ silencer
chr1	118929017	118929299	EH38E3977937	CA-CTCF	REST+ silencer
chr1	11898897	11899204	EH38E3954648	CA-H3K4me3	REST+ silencer
chr11	19018966	19019253	EH38E4031144	CA-TF	REST+ silencer
chr11	20448811	20449121	EH38E2948985	CA-H3K4me3	REST+ silencer
chr11	20759644	20759802	EH38E4031487	TF	REST+ silencer
chr11	20854289	20854546	EH38E1526686	CA-CTCF	REST+ silencer
chr11	21385791	21385997	EH38E4031644	TF	REST+ silencer
chr11	28420175	28420383	EH38E4032893	CA-CTCF	REST+ silencer
chr11	30228562	30228739	EH38E2950958	CA-CTCF	REST+ silencer
chr11	32198127	32198404	EH38E4033574	CA-TF	REST+ silencer
chr11	33588174	33588398	EH38E1531218	CA-CTCF	REST+ silencer
chr11	35724054	35724371	EH38E4034230	CA-TF	REST+ silencer
chr11	43214533	43214783	EH38E4035586	CA-TF	REST+ silencer
chr11	44456924	44457265	EH38E4035888	CA-CTCF	REST+ silencer
chr11	44494058	44494215	EH38E2955412	CA-CTCF	REST+ silencer
chr11	44538490	44538816	EH38E2955442	CA-H3K4me3	REST+ silencer
chr11	45166373	45166691	EH38E4036073	TF	REST+ silencer
chr1	145445306	145445558	EH38E3978562	CA-TF	REST+ silencer
chr1	145451933	145452225	EH38E3978564	CA-H3K4me3	REST+ silencer
chr11	45580467	45580756	EH38E4036213	CA-TF	REST+ silencer
chr1	146853246	146853474	EH38E3978751	CA-TF	REST+ silencer
chr1	147451719	147451955	EH38E3978840	CA-CTCF	REST+ silencer
chr1	147561147	147561473	EH38E3978862	CA-TF	REST+ silencer
chr11	48900371	48900721	EH38E2958152	CA-H3K4me3	REST+ silencer
chr11	49048361	49048630	EH38E2958157	CA-H3K4me3	REST+ silencer
chr11	49562334	49562618	EH38E2958210	CA-H3K4me3	REST+ silencer
chr1	153422514	153422815	EH38E3979813	CA-CTCF	REST+ silencer
chr1	153452459	153452757	EH38E3979821	CA-TF	REST+ silencer
chr1	154703286	154703458	EH38E3980106	CA-TF	REST+ silencer
chr1	155040768	155041040	EH38E3980202	TF	REST+ silencer
chr11	55872811	55873122	EH38E2958293	CA-H3K4me3	REST+ silencer
chr1	156652077	156652360	EH38E3980582	CA-H3K4me3	REST+ silencer
chr1	156680168	156680332	EH38E3980592	CA-TF	REST+ silencer
chr1	156841383	156841575	EH38E3980650	CA-TF	REST+ silencer
chr11	57379667	57380017	EH38E4037289	CA-CTCF	REST+ silencer
chr1	157585966	157586255	EH38E2841706	CA-H3K4me3	REST+ silencer
chr1	157988040	157988326	EH38E3980897	TF	REST+ silencer
chr11	58125610	58125773	EH38E4037440	CA-CTCF	REST+ silencer
chr11	58639067	58639308	EH38E4037521	TF	REST+ silencer
chr1	159177298	159177631	EH38E2842270	CA-CTCF	REST+ silencer
chr1	15981747	15982097	EH38E3955659	TF	REST+ silencer
chr11	60017652	60018002	EH38E4037753	CA-TF	REST+ silencer
chr11	62245249	62245556	EH38E4038308	CA-CTCF	REST+ silencer
chr1	162641205	162641387	EH38E3981728	CA-H3K4me3	REST+ silencer
chr11	62980211	62980448	EH38E4038504	CA-TF	REST+ silencer
chr11	6420727	6421077	EH38E4028695	TF	REST+ silencer
chr11	64510885	64511037	EH38E2963195	CA-CTCF	REST+ silencer
chr1	164547947	164548170	EH38E2844902	CA-CTCF	REST+ silencer
chr11	64977724	64977974	EH38E4039026	CA-CTCF	REST+ silencer
chr1	165949391	165949723	EH38E3982311	CA-CTCF	REST+ silencer
chr1	166069490	166069691	EH38E3982332	CA-TF	REST+ silencer
chr1	166193120	166193408	EH38E3982363	CA-TF	REST+ silencer
chr1	167213731	167213975	EH38E3982514	TF	REST+ silencer
chr1	167239340	167239585	EH38E3982525	TF	REST+ silencer
chr1	168295938	168296163	EH38E3982789	TF	REST+ silencer
chr11	6875878	6876038	EH38E4028797	TF	REST+ silencer
chr1	170114991	170115201	EH38E2847358	CA-CTCF	REST+ silencer
chr11	70580497	70580822	EH38E4040924	CA-TF	REST+ silencer
chr11	7062596	7062857	EH38E4028828	TF	REST+ silencer
chr11	70650325	70650664	EH38E4040965	CA-CTCF	REST+ silencer
chr1	170769017	170769198	EH38E1396781	CA-CTCF	REST+ silencer
chr11	7077149	7077495	EH38E4028829	CA-TF	REST+ silencer
chr1	171636220	171636422	EH38E3983366	CA-TF	REST+ silencer
chr11	7272482	7272701	EH38E2942597	CA-CTCF	REST+ silencer
chr1	173044774	173044926	EH38E2848428	CA-CTCF	REST+ silencer
chr1	174041479	174041801	EH38E3983817	CA-TF	REST+ silencer
chr1	174333414	174333726	EH38E3983874	TF	REST+ silencer
chr1	174598348	174598574	EH38E3983917	TF	REST+ silencer
chr11	75233771	75233946	EH38E1552922	CA-CTCF	REST+ silencer
chr11	75248653	75249002	EH38E2972789	CA-CTCF	REST+ silencer
chr1	175538588	175538757	EH38E3984100	TF	REST+ silencer
chr1	175557421	175557581	EH38E3984107	CA-TF	REST+ silencer
chr1	175691007	175691250	EH38E3984158	CA-TF	REST+ silencer
chr1	175725699	175726004	EH38E3984169	CA-TF	REST+ silencer
chr11	76724235	76724504	EH38E4042514	CA-CTCF	REST+ silencer
chr1	177599123	177599381	EH38E3984553	CA-TF	REST+ silencer
chr11	77779994	77780290	EH38E4042771	CA-TF	REST+ silencer
chr1	17831643	17831990	EH38E3956288	CA-H3K4me3	REST+ silencer
chr1	17858047	17858392	EH38E3956307	CA-TF	REST+ silencer
chr11	78684468	78684717	EH38E4042966	CA-H3K4me3	REST+ silencer
chr1	17919488	17919780	EH38E3956327	CA-CTCF	REST+ silencer
chr11	79256061	79256222	EH38E4043113	CA-TF	REST+ silencer
chr1	179284067	179284296	EH38E3984855	TF	REST+ silencer
chr11	79315376	79315664	EH38E4043130	CA-TF	REST+ silencer
chr11	8008361	8008581	EH38E4029002	CA-TF	REST+ silencer
chr1	18011030	18011285	EH38E3956376	CA-TF	REST+ silencer
chr1	180242018	180242250	EH38E2851039	CA-H3K4me3	REST+ silencer
chr1	18062255	18062537	EH38E3956395	CA-TF	REST+ silencer
chr1	181288845	181289080	EH38E3985243	TF	REST+ silencer
chr1	181911782	181912053	EH38E3985414	CA-CTCF	REST+ silencer
chr1	182110720	182110960	EH38E2851852	CA-H3K4me3	REST+ silencer
chr1	18337863	18338113	EH38E3956503	TF	REST+ silencer
chr11	8352183	8352475	EH38E4029082	CA-TF	REST+ silencer
chr1	185839949	185840299	EH38E3986109	TF	REST+ silencer
chr1	185917685	185918027	EH38E3986119	CA-TF	REST+ silencer
chr11	85941394	85941737	EH38E1558316	CA-H3K4me3	REST+ silencer
chr1	187050285	187050589	EH38E3986294	TF	REST+ silencer
chr1	188226031	188226340	EH38E3986522	TF	REST+ silencer
chr1	188228708	188228926	EH38E3986523	CA-TF	REST+ silencer
chr1	188499816	188499983	EH38E3986588	CA-TF	REST+ silencer
chr11	89061953	89062142	EH38E2977959	CA-H3K4me3	REST+ silencer
chr11	89787504	89787840	EH38E4045048	CA-CTCF	REST+ silencer
chr11	90051844	90052193	EH38E4045056	CA-H3K4me3	REST+ silencer
chr11	92801750	92801917	EH38E4045599	CA-TF	REST+ silencer
chr11	93970552	93970875	EH38E4045830	CA-CTCF	REST+ silencer
chr11	94281450	94281607	EH38E1561829	CA-CTCF	REST+ silencer
chr1	194568640	194568949	EH38E2855481	CA-CTCF	REST+ silencer
chr1	194889398	194889654	EH38E2855520	CA-H3K4me3	REST+ silencer
chr1	195113570	195113784	EH38E3987747	CA-TF	REST+ silencer
chr1	199333258	199333483	EH38E3988444	CA-TF	REST+ silencer
chr11	993676	994021	EH38E2938379	CA-H3K4me3	REST+ silencer
chr1	200497069	200497221	EH38E2857177	CA-CTCF	REST+ silencer
chr1	202680680	202680965	EH38E3989225	CA-TF	REST+ silencer
chr1	202692996	202693316	EH38E3989236	CA-CTCF	REST+ silencer
chr1	20371475	20371749	EH38E3957115	CA-TF	REST+ silencer
chr1	204179051	204179374	EH38E2859953	CA-H3K4me3	REST+ silencer
chr1	204803624	204803965	EH38E3989702	TF	REST+ silencer
chr1	204978827	204979149	EH38E2860608	CA-CTCF	REST+ silencer
chr1	205458996	205459287	EH38E2861040	CA-CTCF	REST+ silencer
chr1	205488146	205488426	EH38E2861060	CA-CTCF	REST+ silencer
chr1	208669040	208669354	EH38E3990618	CA-TF	REST+ silencer
chr1	209150177	209150445	EH38E1418163	CA-CTCF	REST+ silencer
chr1	209241642	209241793	EH38E1418214	CA-CTCF	REST+ silencer
chr1	209591928	209592278	EH38E3990823	TF	REST+ silencer
chr1	210010295	210010445	EH38E3990887	TF	REST+ silencer
chr12	100461673	100462023	EH38E4073247	TF	REST+ silencer
chr12	100539268	100539551	EH38E4073262	CA-TF	REST+ silencer
chr12	100674590	100674780	EH38E3035907	CA-CTCF	REST+ silencer
chr12	100826393	100826682	EH38E4073318	CA-CTCF	REST+ silencer
chr1	210132652	210132944	EH38E1418903	CA-CTCF	REST+ silencer
chr12	102806722	102806908	EH38E4073666	CA-TF	REST+ silencer
chr12	102834122	102834411	EH38E4073677	CA-TF	REST+ silencer
chr12	103016501	103016675	EH38E4073723	CA-TF	REST+ silencer
chr12	103198542	103198840	EH38E4073757	CA-H3K4me3	REST+ silencer
chr12	104425021	104425265	EH38E4074026	TF	REST+ silencer
chr12	106001598	106001748	EH38E4074353	CA-TF	REST+ silencer
chr1	210726645	210726944	EH38E3991059	CA-CTCF	REST+ silencer
chr12	10732655	10732834	EH38E3003196	CA-CTCF	REST+ silencer
chr1	210733981	210734142	EH38E3991065	CA-TF	REST+ silencer
chr12	107956309	107956546	EH38E4074772	CA-TF	REST+ silencer
chr12	108004477	108004723	EH38E4074791	CA-CTCF	REST+ silencer
chr12	108194684	108194916	EH38E4074872	CA-CTCF	REST+ silencer
chr12	108198111	108198351	EH38E4074876	CA-CTCF	REST+ silencer
chr12	108267550	108267744	EH38E4074906	CA-TF	REST+ silencer
chr12	108382152	108382446	EH38E4074952	CA-CTCF	REST+ silencer
chr12	108403995	108404298	EH38E4074957	CA-TF	REST+ silencer
chr12	108890280	108890546	EH38E4075070	CA-TF	REST+ silencer
chr12	109259165	109259429	EH38E4075160	TF	REST+ silencer
chr12	11041540	11041852	EH38E4056808	CA-TF	REST+ silencer
chr1	211059697	211059973	EH38E3991149	CA-TF	REST+ silencer
chr12	111112734	111113040	EH38E4075669	TF	REST+ silencer
chr12	111212227	111212548	EH38E4075712	CA-CTCF	REST+ silencer
chr1	211153943	211154293	EH38E3991171	TF	REST+ silencer
chr12	112664634	112664956	EH38E4076108	CA-CTCF	REST+ silencer
chr12	112868491	112868776	EH38E4076164	CA-TF	REST+ silencer
chr12	112890630	112890967	EH38E4076176	TF	REST+ silencer
chr12	113601741	113602022	EH38E4076385	CA-CTCF	REST+ silencer
chr12	114248601	114248770	EH38E4076676	CA-CTCF	REST+ silencer
chr12	117563089	117563381	EH38E4077499	CA-TF	REST+ silencer
chr12	118432179	118432463	EH38E4077700	CA-TF	REST+ silencer
chr12	118633151	118633407	EH38E4077745	CA-CTCF	REST+ silencer
chr12	118645279	118645571	EH38E4077751	CA-TF	REST+ silencer
chr12	118866418	118866675	EH38E4077816	CA-TF	REST+ silencer
chr12	118922481	118922750	EH38E4077825	CA-TF	REST+ silencer
chr12	119512938	119513213	EH38E4077936	CA-CTCF	REST+ silencer
chr12	119528308	119528589	EH38E3045217	CA-CTCF	REST+ silencer
chr12	121732	121925	EH38E4054449	CA-TF	REST+ silencer
chr12	122956175	122956483	EH38E4078822	TF	REST+ silencer
chr12	1234162	1234374	EH38E2997662	CA-CTCF	REST+ silencer
chr12	125381475	125381744	EH38E4079479	CA-TF	REST+ silencer
chr12	126064129	126064313	EH38E3049983	CA-H3K4me3	REST+ silencer
chr12	126569815	126570007	EH38E4079725	TF	REST+ silencer
chr12	126681704	126681991	EH38E4079754	CA-TF	REST+ silencer
chr12	127390001	127390292	EH38E3050281	CA-CTCF	REST+ silencer
chr12	128240940	128241130	EH38E4080133	CA-TF	REST+ silencer
chr12	128609925	128610184	EH38E4080216	CA-TF	REST+ silencer
chr12	129049980	129050250	EH38E4080344	CA-TF	REST+ silencer
chr12	129119604	129119872	EH38E4080356	CA-TF	REST+ silencer
chr12	129312117	129312383	EH38E4080401	CA-TF	REST+ silencer
chr12	130526885	130527164	EH38E3051363	CA-CTCF	REST+ silencer
chr12	131311325	131311557	EH38E4081102	CA-TF	REST+ silencer
chr12	131586843	131587086	EH38E4081221	CA-H3K4me3	REST+ silencer
chr12	131646562	131646767	EH38E4081255	CA-TF	REST+ silencer
chr12	131646865	131647215	EH38E4081256	TF	REST+ silencer
chr12	131794639	131794859	EH38E3052298	TF	REST+ silencer
chr12	13801670	13801823	EH38E4057301	CA-TF	REST+ silencer
chr12	1410912	1411078	EH38E4054714	TF	REST+ silencer
chr12	1413994	1414245	EH38E4054715	CA-CTCF	REST+ silencer
chr12	15435684	15435895	EH38E4057504	CA-CTCF	REST+ silencer
chr1	21604575	21604760	EH38E1326259	CA-CTCF	REST+ silencer
chr12	16914953	16915154	EH38E4057789	TF	REST+ silencer
chr1	217193607	217193880	EH38E3992514	TF	REST+ silencer
chr1	218262329	218262597	EH38E3992748	CA-TF	REST+ silencer
chr12	18782856	18783193	EH38E4058083	CA-H3K4me3	REST+ silencer
chr1	22189646	22189996	EH38E3957611	TF	REST+ silencer
chr1	22216168	22216500	EH38E3957619	CA-TF	REST+ silencer
chr1	222496834	222497051	EH38E3993564	TF	REST+ silencer
chr12	24649332	24649545	EH38E4059051	TF	REST+ silencer
chr1	225111053	225111338	EH38E3994128	TF	REST+ silencer
chr1	22625579	22625837	EH38E3957785	CA-TF	REST+ silencer
chr1	226580671	226580857	EH38E3994505	TF	REST+ silencer
chr1	227273559	227273900	EH38E3994665	CA-TF	REST+ silencer
chr12	27451527	27451688	EH38E4059550	CA-CTCF	REST+ silencer
chr1	227451981	227452209	EH38E3994709	CA-CTCF	REST+ silencer
chr12	2881413	2881763	EH38E4055016	TF	REST+ silencer
chr12	28952040	28952200	EH38E1601921	CA-H3K4me3	REST+ silencer
chr12	29509075	29509226	EH38E4059902	TF	REST+ silencer
chr12	30170259	30170591	EH38E3009722	CA-H3K4me3	REST+ silencer
chr1	230569314	230569485	EH38E3995534	TF	REST+ silencer
chr1	23080878	23081122	EH38E3957926	TF	REST+ silencer
chr1	230966862	230967077	EH38E2873138	CA-CTCF	REST+ silencer
chr1	231392418	231392768	EH38E3995757	TF	REST+ silencer
chr12	3176826	3177052	EH38E4055080	CA-TF	REST+ silencer
chr1	231790109	231790450	EH38E2873507	CA-CTCF	REST+ silencer
chr1	232084878	232085193	EH38E2873638	CA-CTCF	REST+ silencer
chr1	232405064	232405269	EH38E1432019	CA-CTCF	REST+ silencer
chr12	3332227	3332555	EH38E2999245	CA-CTCF	REST+ silencer
chr1	23427739	23427925	EH38E3958005	TF	REST+ silencer
chr1	23862715	23862922	EH38E2794767	CA-CTCF	REST+ silencer
chr12	40730317	40730585	EH38E4061282	CA-TF	REST+ silencer
chr1	241323564	241323866	EH38E3997798	CA-TF	REST+ silencer
chr1	241730115	241730376	EH38E3997894	CA-TF	REST+ silencer
chr1	242542392	242542560	EH38E3998095	TF	REST+ silencer
chr1	242639190	242639417	EH38E3998116	CA-TF	REST+ silencer
chr1	242847438	242847711	EH38E3998166	CA-CTCF	REST+ silencer
chr1	243019176	243019374	EH38E3998188	CA-TF	REST+ silencer
chr1	243074280	243074549	EH38E3998204	CA-TF	REST+ silencer
chr12	43544799	43545016	EH38E4061854	TF	REST+ silencer
chr1	244813451	244813643	EH38E3998565	TF	REST+ silencer
