# STARR silencer cCREs							
Chr	Start	End	cCRE accession	cCRE class	CAPRA quantification	P-value	Threshold
chr1	55318668	55318857	EH38E3965957	dELS	-1.9421	1.36E-04	Stringent
chr11	95361236	95361443	EH38E2979676	dELS	-1.9027	1.39E-04	Stringent
chr12	40577936	40578110	EH38E4061244	CA-TF	-1.7111	1.51E-04	Stringent
chr17	56624964	56625285	EH38E1872489	dELS	-1.8838	1.99E-04	Stringent
chr1	210796440	210796752	EH38E2863931	dELS	-1.8533	2.45E-04	Stringent
chr3	61991734	61991914	EH38E2208137	dELS	-1.6855	2.68E-04	Stringent
chr16	11223538	11223715	EH38E1801646	dELS	-1.8348	2.91E-04	Stringent
chr1	29975202	29975367	EH38E1333177	dELS	-1.7350	3.21E-04	Stringent
chr3	62177882	62178083	EH38E4299383	TF	-1.5672	3.34E-04	Stringent
chr9	35595097	35595282	EH38E4494864	CA	-1.7901	4.29E-04	Stringent
chr1	171248887	171249144	EH38E2847671	pELS	-1.7190	4.53E-04	Stringent
chr10	59265271	59265475	EH38E1470161	dELS	-1.7581	4.62E-04	Stringent
chr12	64891700	64891928	EH38E4066726	CA-CTCF	-1.7124	4.82E-04	Stringent
chr15	92676613	92676899	EH38E1789010	dELS	-1.6363	4.88E-04	Stringent
chr3	13155665	13155930	EH38E4289373	CA-TF	-1.7673	4.89E-04	Stringent
chr1	156101405	156101604	EH38E1387615	dELS	-1.6617	5.10E-04	Stringent
chr17	34499614	34499874	EH38E4160035	CA-TF	-1.5989	5.27E-04	Stringent
chr19	55066151	55066371	EH38E4202958	CA-TF	-1.7233	5.99E-04	Stringent
chr21	10415564	10415848	EH38E4269804	dELS	-1.2584	6.03E-04	Stringent
chr10	30213153	30213312	EH38E1458903	CA-CTCF	-1.6863	6.12E-04	Stringent
chr7	128906670	128906863	EH38E4450825	CA-CTCF	-1.6815	6.60E-04	Stringent
chr2	120420114	120420270	EH38E4228241	TF	-1.7203	7.10E-04	Stringent
chr12	47534808	47534966	EH38E4062634	CA-TF	-1.4989	7.22E-04	Stringent
chr9	16996994	16997240	EH38E2684742	CA-H3K4me3	-1.6442	7.56E-04	Stringent
chr3	69164957	69165134	EH38E3521482	dELS	-1.7098	7.81E-04	Stringent
chr9	125863589	125863790	EH38E4507535	CA-CTCF	-1.6879	7.90E-04	Stringent
chr7	78620957	78621247	EH38E4440904	CA-TF	-1.7001	8.12E-04	Stringent
chr17	66328296	66328543	EH38E3238246	dELS	-1.6813	8.42E-04	Stringent
chr16	83990523	83990813	EH38E4150743	dELS	-1.5128	8.74E-04	Stringent
chr13	110876665	110876880	EH38E3082134	CA-CTCF	-1.4719	9.04E-04	Stringent
chr10	75875877	75876162	EH38E4013855	TF	-1.4596	9.13E-04	Stringent
chr1	34924838	34925183	EH38E3961264	dELS	-1.6603	9.20E-04	Stringent
chr8	22854801	22854979	EH38E4462956	CA	-1.6842	9.24E-04	Stringent
chr18	72830154	72830489	EH38E1926018	dELS	-1.5712	9.33E-04	Stringent
chr9	37758864	37759057	EH38E3882764	CA-CTCF	-1.4917	9.64E-04	Stringent
chr7	5542266	5542505	EH38E2531614	dELS	-1.4823	9.64E-04	Stringent
chr18	10864843	10865044	EH38E4176450	TF	-1.3323	9.68E-04	Stringent
chr2	26978233	26978577	EH38E3332614	dELS	-1.6784	9.69E-04	Stringent
chr11	66019522	66019861	EH38E2965151	dELS	-1.5692	1.04E-03	Stringent
chr5	126562444	126562660	EH38E4380240	TF	-1.5691	1.04E-03	Stringent
chr14	71217163	71217384	EH38E1725732	pELS	-1.6225	1.05E-03	Stringent
chr11	45455060	45455233	EH38E4036159	CA	-1.2481	1.06E-03	Stringent
chrX	154855350	154855700	EH38E4533580	CA-TF	-1.6208	1.07E-03	Stringent
chr4	78936359	78936583	EH38E2306401	dELS	-1.6485	1.08E-03	Stringent
chr4	5881465	5881631	EH38E4325637	CA-H3K4me3	-1.4128	1.12E-03	Stringent
chr1	111416743	111417041	EH38E2830904	dELS	-1.6477	1.16E-03	Stringent
chr5	156208337	156208619	EH38E4386306	CA-TF	-1.5737	1.17E-03	Stringent
chr12	122918790	122919131	EH38E3047731	dELS	-1.5731	1.18E-03	Stringent
chr8	57043380	57043661	EH38E3834906	dELS	-1.6098	1.20E-03	Stringent
chr19	33991085	33991332	EH38E4197460	CA	-1.5917	1.22E-03	Stringent
chr13	99216020	99216207	EH38E3077483	pELS	-1.5918	1.23E-03	Stringent
chr6	87139351	87139512	EH38E2483705	CA-CTCF	-1.3721	1.23E-03	Stringent
chr6	71391197	71391419	EH38E2478303	pELS	-1.6381	1.26E-03	Stringent
chr6	140020328	140020483	EH38E4418866	TF	-1.3876	1.28E-03	Stringent
chrX	53063832	53064038	EH38E2755152	pELS	-1.5732	1.28E-03	Stringent
chr21	42144370	42144545	EH38E4275274	TF	-1.6156	1.37E-03	Stringent
chr1	37993473	37993663	EH38E2803969	dELS	-1.4173	1.37E-03	Stringent
chr19	2590571	2590860	EH38E4190214	TF	-1.4173	1.37E-03	Stringent
chr5	174134566	174134916	EH38E4390020	TF	-1.4173	1.37E-03	Stringent
chr10	18563351	18563701	EH38E4003209	TF	-1.4921	1.37E-03	Stringent
chr15	42244603	42244863	EH38E1757247	dELS	-1.4921	1.37E-03	Stringent
chr1	205830562	205830846	EH38E1415825	dELS	-1.6073	1.45E-03	Stringent
chr1	212209879	212210087	EH38E2864559	dELS	-1.5242	1.46E-03	Stringent
chr1	176695697	176695857	EH38E3984330	dELS	-1.5466	1.46E-03	Stringent
chr18	46659505	46659824	EH38E3266805	CA-CTCF	-1.5934	1.49E-03	Stringent
chr8	93875727	93875897	EH38E2648034	dELS	-1.6004	1.64E-03	Stringent
chr4	181148578	181148768	EH38E4356110	CA-CTCF	-1.4803	1.65E-03	Stringent
chr6	16421579	16421807	EH38E2450022	dELS	-1.5063	1.83E-03	Stringent
chr10	59128837	59129059	EH38E1470112	dELS	-1.4385	1.86E-03	Stringent
chr5	129097583	129097767	EH38E2407065	PLS	-1.5835	1.87E-03	Stringent
chr22	36339988	36340189	EH38E2161723	dELS	-1.5753	1.88E-03	Stringent
chr13	97657200	97657447	EH38E3076380	CA-H3K4me3	-1.5186	1.92E-03	Stringent
chr16	87558718	87559068	EH38E4152045	TF	-1.5186	1.92E-03	Stringent
chr12	127811540	127811706	EH38E1655068	dELS	-1.5307	1.95E-03	Stringent
chr12	57879136	57879343	EH38E1617016	dELS	-1.3504	1.95E-03	Stringent
chr14	104685686	104686035	EH38E3120372	dELS	-1.3504	1.95E-03	Stringent
chr2	135921028	135921260	EH38E2035271	dELS	-1.3504	1.95E-03	Stringent
chr2	239741391	239741714	EH38E4252147	CA	-1.5647	2.03E-03	Stringent
chr17	48962624	48962883	EH38E3228780	dELS	-1.5669	2.04E-03	Stringent
chr3	141069026	141069207	EH38E2243227	dELS	-1.2413	2.04E-03	Stringent
chr16	31921543	31921741	EH38E1812428	dELS	-1.5626	2.05E-03	Stringent
chr9	101736803	101737075	EH38E2713413	CA-H3K4me3	-1.5510	2.06E-03	Stringent
chr14	69634089	69634302	EH38E1724767	dELS	-1.4362	2.07E-03	Stringent
chr6	108437838	108438032	EH38E3725356	dELS	-1.3382	2.13E-03	Stringent
chr22	42193346	42193543	EH38E3484226	dELS	-1.5570	2.15E-03	Stringent
chr13	30149349	30149517	EH38E1664254	dELS	-1.3226	2.15E-03	Stringent
chr9	89186112	89186273	EH38E3891472	dELS	-1.4137	2.16E-03	Stringent
chr5	177385444	177385649	EH38E3681838	pELS	-1.4588	2.16E-03	Stringent
chr12	133135769	133136095	EH38E3053744	dELS	-1.5609	2.17E-03	Stringent
chr10	21713778	21713987	EH38E1454093	dELS	-1.4296	2.18E-03	Stringent
chr2	75191416	75191629	EH38E2010976	dELS	-1.2304	2.18E-03	Stringent
chr2	102124079	102124250	EH38E3361455	dELS	-1.4004	2.20E-03	Stringent
chr8	141715933	141716278	EH38E4487431	dELS	-1.5534	2.22E-03	Stringent
chr2	73279976	73280133	EH38E4219642	CA-TF	-1.4525	2.23E-03	Stringent
chr11	119287129	119287306	EH38E2988715	dELS	-1.2595	2.27E-03	Stringent
chr1	234497609	234497941	EH38E1433329	dELS	-1.4290	2.31E-03	Stringent
chr1	34175797	34176128	EH38E2802077	CA-H3K4me3	-1.4719	2.33E-03	Stringent
chr1	77218508	77218838	EH38E2820045	pELS	-1.4719	2.33E-03	Stringent
chr7	134672265	134672612	EH38E3801952	dELS	-1.5088	2.33E-03	Stringent
chr17	51505539	51505775	EH38E3231035	CA-CTCF	-1.1931	2.36E-03	Stringent
chr16	22641108	22641389	EH38E3173035	dELS	-1.2831	2.37E-03	Stringent
chr18	42704596	42704797	EH38E3265458	CA-CTCF	-1.4780	2.37E-03	Stringent
chr1	20286513	20286770	EH38E3957080	CA	-1.4457	2.38E-03	Stringent
chr5	10620396	10620666	EH38E3626098	dELS	-1.4885	2.44E-03	Stringent
chr8	142496459	142496619	EH38E2674455	dELS	-1.4452	2.46E-03	Stringent
chr1	90417283	90417469	EH38E3972679	CA	-1.5382	2.47E-03	Stringent
chr8	53326798	53327021	EH38E4468317	CA-CTCF	-1.5382	2.47E-03	Stringent
chr9	127751490	127751787	EH38E4508033	dELS	-1.5382	2.47E-03	Stringent
chr3	10712218	10712385	EH38E3495199	CA-CTCF	-1.3099	2.50E-03	Stringent
chr2	218720177	218720439	EH38E3400771	dELS	-1.4282	2.50E-03	Stringent
chr16	12185590	12185939	EH38E3169043	dELS	-1.5360	2.56E-03	Stringent
chr1	151833263	151833424	EH38E2837769	pELS	-1.2950	2.57E-03	Stringent
chr5	98305369	98305539	EH38E4375166	CA	-1.2724	2.60E-03	Stringent
chr5	3075416	3075571	EH38E3623629	CA-H3K4me3	-1.4262	2.61E-03	Stringent
chr7	110257775	110257980	EH38E2581271	CA-CTCF	-1.2963	2.66E-03	Stringent
chr2	74468494	74468653	EH38E4219896	CA-CTCF	-1.4899	2.67E-03	Stringent
chrX	50778369	50778561	EH38E4520350	CA	-1.2846	2.74E-03	Stringent
chr19	32139097	32139265	EH38E4196929	CA-CTCF	-1.2109	2.77E-03	Stringent
chr6	152742318	152742486	EH38E3741699	dELS	-1.2572	2.77E-03	Stringent
chr5	19925203	19925476	EH38E4362702	CA-CTCF	-1.5230	2.78E-03	Stringent
chr1	3725667	3725922	EH38E3952327	TF	-1.2815	2.78E-03	Stringent
chr17	43791627	43791975	EH38E1864634	dELS	-1.2815	2.78E-03	Stringent
chr19	20657984	20658175	EH38E4195464	dELS	-1.4725	2.80E-03	Stringent
chr15	69193622	69193816	EH38E3142899	dELS	-1.5057	2.83E-03	Stringent
chr7	106671245	106671433	EH38E4446530	CA	-1.1137	2.84E-03	Stringent
chr20	48476511	48476669	EH38E4264170	CA	-1.3395	2.90E-03	Stringent
chr19	17204403	17204558	EH38E1943171	dELS	-1.1668	2.91E-03	Stringent
chr4	26442383	26442582	EH38E4330127	CA	-1.4194	2.92E-03	Stringent
chr1	33472975	33473128	EH38E2801890	pELS	-1.4207	2.93E-03	Stringent
chr2	181440469	181440632	EH38E3388257	dELS	-1.4301	2.94E-03	Stringent
chr6	140421344	140421688	EH38E4418944	CA	-1.3999	2.94E-03	Stringent
chr1	5001527	5001804	EH38E2781276	CA-H3K4me3	-1.4923	2.94E-03	Stringent
chr5	151417829	151417991	EH38E4385274	TF	-1.2942	2.99E-03	Stringent
chr1	100477408	100477579	EH38E1371743	CA	-1.4491	3.03E-03	Stringent
chr2	62861350	62861551	EH38E4217455	CA	-1.5085	3.04E-03	Stringent
chr13	106909585	106909763	EH38E4097732	dELS	-1.3558	3.05E-03	Stringent
chr4	91089123	91089329	EH38E2312430	dELS	-1.3274	3.10E-03	Stringent
chr1	228164661	228164841	EH38E2871221	PLS	-1.4421	3.14E-03	Stringent
chr19	57637442	57637611	EH38E4203432	CA-H3K4me3	-1.4400	3.16E-03	Stringent
chr10	85168398	85168610	EH38E4015844	CA	-1.4167	3.18E-03	Stringent
chr11	111393168	111393468	EH38E1569203	dELS	-1.5002	3.18E-03	Stringent
chr21	26387048	26387278	EH38E3453156	pELS	-1.3675	3.19E-03	Stringent
chr1	177734427	177734604	EH38E3984577	CA	-1.4912	3.19E-03	Stringent
chr20	62527235	62527494	EH38E4268763	CA	-1.4434	3.20E-03	Stringent
chr10	123614943	123615285	EH38E4023919	CA-CTCF	-1.4682	3.27E-03	Stringent
chr14	56559902	56560069	EH38E3096677	CA-CTCF	-1.2940	3.27E-03	Stringent
chr9	70494812	70495005	EH38E3884950	dELS	-1.2581	3.28E-03	Stringent
chr2	23668289	23668457	EH38E4209675	CA	-1.2132	3.28E-03	Stringent
chr1	177980936	177981182	EH38E2850013	dELS	-1.4633	3.36E-03	Stringent
chr5	179316023	179316292	EH38E3683235	dELS	-1.3232	3.36E-03	Stringent
chr1	8065450	8065714	EH38E2783428	dELS	-1.4588	3.36E-03	Stringent
chr7	99289214	99289516	EH38E3788135	CA-H3K4me3	-1.2099	3.40E-03	Stringent
chr12	53747679	53747905	EH38E3018948	dELS	-1.3598	3.44E-03	Stringent
chr17	51650924	51651155	EH38E3231080	dELS	-1.4307	3.47E-03	Stringent
chr8	140059483	140059675	EH38E3865112	dELS	-1.4840	3.53E-03	Stringent
chr20	1716737	1716925	EH38E3415886	dELS	-1.2647	3.56E-03	Stringent
chr4	165218277	165218473	EH38E2341522	pELS	-1.3458	3.58E-03	Stringent
chr13	49982076	49982235	EH38E3066391	CA-CTCF	-0.9746	3.59E-03	Stringent
chr17	83169470	83169655	EH38E1894195	CA-TF	-1.3637	3.65E-03	Stringent
chr10	4141541	4141790	EH38E2882519	dELS	-1.3172	3.67E-03	Stringent
chr14	69974089	69974271	EH38E3102585	dELS	-1.3163	3.69E-03	Stringent
chr15	65310500	65310849	EH38E3140280	dELS	-1.3079	3.69E-03	Stringent
chr19	7996405	7996660	EH38E4192038	dELS	-1.3079	3.69E-03	Stringent
chr2	117999482	117999677	EH38E4227610	CA-CTCF	-1.4589	3.70E-03	Stringent
chr14	61935134	61935315	EH38E3098841	dELS	-1.3604	3.75E-03	Stringent
chr1	229895780	229895961	EH38E3995376	TF	-1.1519	3.78E-03	Stringent
chr2	205807215	205807539	EH38E3395879	dELS	-1.4602	3.80E-03	Stringent
chr5	179494142	179494323	EH38E2436867	CA-CTCF	-1.4315	3.81E-03	Stringent
chr2	69247674	69247864	EH38E2007079	dELS	-1.1880	3.81E-03	Stringent
chr6	88220575	88220843	EH38E3719991	CA-CTCF	-1.4087	3.85E-03	Stringent
chr11	127841667	127841878	EH38E4052667	CA	-1.1949	3.85E-03	Stringent
chr18	12992709	12992946	EH38E3258175	pELS	-1.2893	3.87E-03	Stringent
chr1	43968383	43968663	EH38E3963394	pELS	-1.4489	3.88E-03	Stringent
chr7	89857883	89858033	EH38E4442807	CA-H3K4me3	-1.2261	3.91E-03	Stringent
chr14	96928804	96929154	EH38E4114553	TF	-1.2104	3.96E-03	Stringent
chr15	93907493	93907823	EH38E4131248	CA	-1.2104	3.96E-03	Stringent
chr16	56966857	56967109	EH38E1818400	dELS	-1.2104	3.96E-03	Stringent
chr4	175838333	175838485	EH38E4355142	CA	-1.3422	4.00E-03	Stringent
chr11	76268500	76268850	EH38E4042390	TF	-1.4034	4.01E-03	Stringent
chr11	111497930	111498092	EH38E4049066	CA	-1.1613	4.02E-03	Stringent
chr8	38795587	38795871	EH38E2625832	dELS	-1.4377	4.02E-03	Stringent
chr2	103656689	103656844	EH38E4224932	CA-TF	-1.3517	4.08E-03	Stringent
chr6	19188381	19188582	EH38E3694913	dELS	-1.4601	4.08E-03	Stringent
chr15	101517588	101517848	EH38E3159702	CA-H3K4me3	-1.3731	4.08E-03	Stringent
chr1	22437633	22437855	EH38E3957709	CA-TF	-1.4571	4.11E-03	Stringent
chr1	214443892	214444091	EH38E2865561	dELS	-1.2051	4.14E-03	Stringent
chr11	9470801	9471123	EH38E4029318	TF	-1.4474	4.20E-03	Stringent
chr11	57838737	57838887	EH38E4037387	TF	-1.1241	4.20E-03	Stringent
chr6	28817689	28817967	EH38E3699010	dELS	-1.4043	4.24E-03	Stringent
chr11	35829177	35829353	EH38E4034248	CA-H3K4me3	-1.2318	4.25E-03	Stringent
chr11	59923948	59924191	EH38E4037731	CA-H3K4me3	-1.3974	4.27E-03	Stringent
chr8	124976801	124977048	EH38E3856686	CA-H3K4me3	-1.3382	4.28E-03	Stringent
chr6	139157687	139158014	EH38E4418742	dELS	-1.2069	4.28E-03	Stringent
chr11	76335066	76335279	EH38E4042424	TF	-1.2071	4.29E-03	Stringent
chr15	64518727	64518889	EH38E4124703	dELS	-1.3394	4.29E-03	Stringent
chr17	36182240	36182494	EH38E3219785	pELS	-0.8588	4.30E-03	Stringent
chr11	85170649	85170815	EH38E2976665	dELS	-1.4476	4.31E-03	Stringent
chr18	41881313	41881621	EH38E4181424	dELS	-1.4475	4.31E-03	Stringent
chr16	27012684	27012848	EH38E4140265	CA	-1.1629	4.34E-03	Stringent
chr2	213305570	213305819	EH38E3398167	CA-H3K4me3	-1.4318	4.35E-03	Stringent
chr16	19720336	19720564	EH38E3171875	dELS	-1.3438	4.36E-03	Stringent
chr1	159715938	159716152	EH38E2842419	pELS	-1.3531	4.36E-03	Stringent
chr8	137216984	137217148	EH38E2671774	dELS	-1.4415	4.38E-03	Stringent
chr13	19245931	19246265	EH38E4081846	CA	-1.4400	4.43E-03	Stringent
chr4	127661455	127661631	EH38E2326612	dELS	-1.3148	4.45E-03	Stringent
chr20	5400244	5400519	EH38E4254387	dELS	-1.4337	4.49E-03	Stringent
chr6	10834848	10835168	EH38E3690390	dELS	-1.4160	4.53E-03	Stringent
chr1	82772187	82772392	EH38E3971270	CA	-1.1346	4.54E-03	Stringent
chrX	103811961	103812147	EH38E3940318	dELS	-1.4052	4.54E-03	Stringent
chr21	42112388	42112562	EH38E2144335	dELS	-1.1345	4.60E-03	Stringent
chr5	146624259	146624506	EH38E4384373	dELS	-1.4139	4.63E-03	Stringent
chr4	85058611	85058909	EH38E4339683	CA	-1.3972	4.63E-03	Stringent
chr9	69933476	69933747	EH38E2695469	CA-H3K4me3	-1.4132	4.67E-03	Stringent
chr15	40803753	40803935	EH38E3129680	dELS	-1.2181	4.68E-03	Stringent
chr11	83696036	83696232	EH38E2976335	dELS	-1.2504	4.70E-03	Stringent
chr4	14072383	14072698	EH38E2282436	dELS	-1.4288	4.74E-03	Stringent
chr1	175901504	175901783	EH38E3984216	CA	-1.3040	4.86E-03	Stringent
chr3	184545256	184545418	EH38E4321063	CA-CTCF	-1.1726	4.95E-03	Stringent
chr10	71795274	71795553	EH38E4012922	CA-CTCF	-1.4267	4.97E-03	Stringent
chr3	187925362	187925669	EH38E3559934	dELS	-1.4267	4.97E-03	Stringent
chr2	88146605	88146955	EH38E2015142	dELS	-1.4197	4.98E-03	Stringent
chr10	96496287	96496627	EH38E4017853	CA-TF	-1.3992	5.06E-03	Stringent
chr17	12580674	12580985	EH38E1847441	dELS	-1.4264	5.07E-03	Stringent
chr2	240951161	240951380	EH38E4252544	TF	-1.4264	5.07E-03	Stringent
chr12	117683750	117683994	EH38E3044533	dELS	-1.2559	5.08E-03	Stringent
chr5	34035788	34036123	EH38E2364689	dELS	-1.4027	5.09E-03	Stringent
chr8	132966977	132967140	EH38E4484424	CA-H3K4me3	-1.4205	5.09E-03	Stringent
chr14	44384127	44384459	EH38E3092732	pELS	-1.4262	5.10E-03	Stringent
chr19	13441757	13442102	EH38E3291902	dELS	-1.4262	5.10E-03	Stringent
chr2	36534423	36534602	EH38E1987626	dELS	-1.4262	5.10E-03	Stringent
chr13	34142089	34142342	EH38E1667025	dELS	-1.4174	5.11E-03	Stringent
chr10	68652012	68652217	EH38E2905212	dELS	-1.3352	5.13E-03	Stringent
chr4	83473769	83474079	EH38E3592438	dELS	-1.2429	5.13E-03	Stringent
chr6	138451052	138451402	EH38E4418603	dELS	-1.2429	5.13E-03	Stringent
chrX	153980960	153981166	EH38E3949303	PLS	-1.2429	5.13E-03	Stringent
chr11	66323548	66323838	EH38E4039457	dELS	-1.4145	5.15E-03	Stringent
chr15	87568729	87568898	EH38E4129821	CA-CTCF	-1.1839	5.19E-03	Stringent
chr4	49221337	49221517	EH38E3583950	CA-H3K4me3	-1.0445	5.23E-03	Stringent
chr2	43108419	43108742	EH38E3339871	dELS	-1.3162	5.24E-03	Stringent
chr7	106033843	106034024	EH38E4446374	TF	-1.2822	5.27E-03	Stringent
chr15	74826370	74826717	EH38E3146386	PLS	-1.2669	5.28E-03	Stringent
chr12	50916380	50916584	EH38E3016588	CA-H3K4me3	-1.1743	5.29E-03	Stringent
chr1	64335653	64335993	EH38E1355056	dELS	-1.2731	5.29E-03	Stringent
chr5	2219538	2219888	EH38E4358866	TF	-1.2731	5.29E-03	Stringent
chr11	78826381	78826731	EH38E4043012	TF	-1.2730	5.30E-03	Stringent
chr6	160749248	160749598	EH38E4423331	TF	-1.2730	5.30E-03	Stringent
chr10	97374275	97374481	EH38E4018038	dELS	-1.4068	5.30E-03	Stringent
chr11	88494977	88495197	EH38E1559849	CA-CTCF	-0.9449	5.31E-03	Stringent
chr20	49951223	49951541	EH38E2119217	dELS	-1.4156	5.32E-03	Stringent
chr5	50920299	50920482	EH38E4367242	CA	-1.4109	5.33E-03	Stringent
chr17	43806732	43806935	EH38E4163113	TF	-1.2259	5.37E-03	Stringent
chr1	198161737	198161915	EH38E1409517	dELS	-1.3950	5.38E-03	Stringent
chr3	56494692	56494997	EH38E2204887	CA-CTCF	-1.3494	5.39E-03	Stringent
chr3	124217639	124217805	EH38E2233479	CA-CTCF	-1.3306	5.40E-03	Stringent
chr16	79981828	79982013	EH38E3192919	dELS	-1.0219	5.40E-03	Stringent
chr4	6711101	6711311	EH38E3570696	pELS	-1.1055	5.43E-03	Stringent
chr6	142979156	142979397	EH38E4419442	CA	-1.2830	5.44E-03	Stringent
chr7	30754314	30754664	EH38E4432566	TF	-1.2830	5.44E-03	Stringent
chr15	85837940	85838209	EH38E3152244	dELS	-1.2445	5.44E-03	Stringent
chr20	10984335	10984673	EH38E3420027	dELS	-1.4153	5.45E-03	Stringent
chr19	43691865	43692114	EH38E1956339	pELS	-1.3715	5.47E-03	Stringent
chr7	107621606	107621778	EH38E3792851	dELS	-1.1806	5.48E-03	Stringent
chr12	108403995	108404298	EH38E4074957	CA-TF	-1.1806	5.48E-03	Stringent
chr5	36168712	36169060	EH38E2365929	dELS	-1.4113	5.52E-03	Stringent
chr4	83276823	83277018	EH38E3592378	dELS	-1.2581	5.57E-03	Stringent
chrX	54871056	54871273	EH38E2755645	CA-H3K4me3	-1.0657	5.58E-03	Stringent
chr7	25031514	25031855	EH38E2541099	dELS	-1.2348	5.58E-03	Stringent
chr15	53861696	53861931	EH38E3134979	dELS	-1.3900	5.65E-03	Stringent
chr6	13815247	13815484	EH38E3692045	pELS	-1.1371	5.65E-03	Stringent
chr8	124076262	124076564	EH38E2663350	CA-CTCF	-1.1371	5.65E-03	Stringent
chr6	24302418	24302673	EH38E2454418	dELS	-1.3189	5.65E-03	Stringent
chr8	125613732	125614081	EH38E2664722	dELS	-1.3519	5.65E-03	Stringent
chrX	70174264	70174586	EH38E3936830	dELS	-1.4049	5.66E-03	Stringent
chr17	76909894	76910241	EH38E4172096	dELS	-1.3735	5.67E-03	Stringent
chr20	31893467	31893678	EH38E3427036	dELS	-1.2629	5.74E-03	Stringent
chr7	132829465	132829727	EH38E4451833	pELS	-1.3344	5.75E-03	Stringent
chr1	33621465	33621666	EH38E3960872	TF	-1.2460	5.76E-03	Stringent
chr16	26374674	26374875	EH38E4140117	TF	-1.4051	5.78E-03	Stringent
chr8	95437133	95437482	EH38E3845999	dELS	-1.4050	5.78E-03	Stringent
chr16	89867999	89868211	EH38E1838589	CA-H3K4me3	-1.3221	5.80E-03	Stringent
chr14	54467315	54467603	EH38E4106388	TF	-1.3901	5.81E-03	Stringent
chr2	89818306	89818656	EH38E4222872	TF	-1.3304	5.83E-03	Stringent
chr8	42801958	42802133	EH38E4467042	TF	-1.3865	5.84E-03	Stringent
chr1	33854209	33854366	EH38E2801982	CA-CTCF	-1.1563	5.85E-03	Stringent
chr10	125783990	125784333	EH38E2932076	dELS	-1.3019	5.89E-03	Stringent
chr2	76958810	76959056	EH38E4220451	CA-TF	-1.3018	5.89E-03	Stringent
chr9	133838850	133839200	EH38E4509797	TF	-1.3018	5.89E-03	Stringent
chr3	4543112	4543304	EH38E3492719	dELS	-1.3457	5.90E-03	Stringent
chr14	54549942	54550185	EH38E3095689	dELS	-1.2669	5.91E-03	Stringent
chr4	182899579	182899778	EH38E3618203	dELS	-1.1401	5.91E-03	Stringent
chr12	30972718	30972909	EH38E4060204	CA	-0.9360	5.95E-03	Stringent
chr22	44732700	44732926	EH38E3486350	dELS	-1.1667	5.96E-03	Stringent
chr8	113664487	113664752	EH38E4479765	CA	-1.3283	5.96E-03	Stringent
chr3	47263266	47263499	EH38E4296269	CA	-1.1263	5.97E-03	Stringent
chr1	42880486	42880637	EH38E3963130	CA-CTCF	-1.0572	6.01E-03	Stringent
chr16	50002803	50003047	EH38E3179697	CA-CTCF	-1.3322	6.02E-03	Stringent
chr1	69483348	69483619	EH38E3968754	CA	-1.2749	6.02E-03	Stringent
chr16	72064421	72064663	EH38E3189683	pELS	-0.9333	6.04E-03	Stringent
chr4	181538457	181538803	EH38E2347203	dELS	-1.3901	6.05E-03	Stringent
chr14	65471161	65471344	EH38E1722014	PLS	-1.3969	6.05E-03	Stringent
chr15	71467392	71467739	EH38E1775704	CA-CTCF	-1.3969	6.05E-03	Stringent
chr3	107821660	107821867	EH38E4306778	CA	-1.3057	6.06E-03	Stringent
