Chrom	ChromStart	ChromEnd	Region	Group
chr1	11841450	11842911	chr1:11841450-11842911	Distal:Active
chr1	11881044	11881591	chr1:11881044-11881591	Distal:Active
chr1	11898659	11899477	chr1:11898659-11899477	Distal:Repressive
chr1	11925014	11927012	chr1:11925014-11927012	Proximal:Active
chr1	11934115	11935288	chr1:11934115-11935288	Proximal:Active
chr1	11979662	11980750	chr1:11979662-11980750	Proximal:Active
chr1	12005230	12006061	chr1:12005230-12006061	Distal:Active
chr1	12018991	12020202	chr1:12018991-12020202	Proximal:Active
chr1	12051773	12052544	chr1:12051773-12052544	Distal:Active
chr1	12075203	12077009	chr1:12075203-12077009	Distal:Active
chr1	12081234	12081978	chr1:12081234-12081978	Distal:Active
chr1	12161536	12162622	chr1:12161536-12162622	Distal:Active
chr1	12174754	12175646	chr1:12174754-12175646	Distal:Active
chr1	12218151	12219326	chr1:12218151-12219326	Distal:Active
chr1	12433003	12434514	chr1:12433003-12434514	Distal:Active
chr1	12472658	12473482	chr1:12472658-12473482	Distal:Active
chr1	12477882	12478919	chr1:12477882-12478919	Distal:Active
chr1	12495649	12497061	chr1:12495649-12497061	Distal:Active
chr1	12510296	12511477	chr1:12510296-12511477	Distal:Active
chr1	12528280	12529714	chr1:12528280-12529714	Distal:Active
chr1	12541138	12542045	chr1:12541138-12542045	Distal:Active
chr1	12548818	12550141	chr1:12548818-12550141	Distal:Active
chr1	12573868	12574261	chr1:12573868-12574261	Distal:Active
chr1	12603906	12604950	chr1:12603906-12604950	Distal:Active
chr1	12656691	12657989	chr1:12656691-12657989	Distal:Active
chr1	12665164	12666514	chr1:12665164-12666514	Distal:Active
chr1	12744951	12745584	chr1:12744951-12745584	Distal:Active
chr1	12809914	12811535	chr1:12809914-12811535	Distal:Active
chr1	13748773	13750006	chr1:13748773-13750006	Proximal:Active
chr1	13813438	13814371	chr1:13813438-13814371	Distal:Active
chr1	14346090	14346746	chr1:14346090-14346746	Distal:Active
chr1	14419421	14420255	chr1:14419421-14420255	Proximal:Active
chr1	14421930	14422583	chr1:14421930-14422583	Proximal:Active
chr1	14436812	14437605	chr1:14436812-14437605	Distal:Active
chr1	14522796	14523295	chr1:14522796-14523295	Distal:Repressive
chr1	14594029	14594603	chr1:14594029-14594603	Distal:Active
chr1	14629497	14629893	chr1:14629497-14629893	Distal:Active
chr1	14655683	14657016	chr1:14655683-14657016	Distal:Active
chr1	14776574	14778174	chr1:14776574-14778174	Distal:Active
chr1	14782815	14784962	chr1:14782815-14784962	Distal:Active
chr1	14884577	14885172	chr1:14884577-14885172	Distal:Active
chr1	14898389	14899325	chr1:14898389-14899325	Distal:Repressive
chr1	14923679	14925126	chr1:14923679-14925126	Proximal:Active
chr1	14969919	14970684	chr1:14969919-14970684	Distal:Active
chr1	14996085	14997001	chr1:14996085-14997001	Distal:Active
chr1	15106568	15107273	chr1:15106568-15107273	Distal:Active
chr1	15171357	15172104	chr1:15171357-15172104	Distal:Active
chr1	15218363	15218953	chr1:15218363-15218953	Distal:Active
chr1	15223970	15224933	chr1:15223970-15224933	Distal:Active
chr1	15235873	15237318	chr1:15235873-15237318	Distal:Active
chr1	15260324	15261712	chr1:15260324-15261712	Distal:Active
chr1	15345730	15346806	chr1:15345730-15346806	Distal:Active
chr1	15352299	15353109	chr1:15352299-15353109	Distal:Active
chr1	15415948	15417940	chr1:15415948-15417940	Distal:Active
chr1	15456676	15457693	chr1:15456676-15457693	Distal:Repressive
chr1	15526463	15527342	chr1:15526463-15527342	Proximal:Active
chr1	15603182	15603992	chr1:15603182-15603992	Distal:Active
chr1	15702919	15703967	chr1:15702919-15703967	Distal:Active
chr1	15735891	15736722	chr1:15735891-15736722	Distal:Repressive
chr1	15741340	15741906	chr1:15741340-15741906	Distal:Repressive
chr1	15794869	15795855	chr1:15794869-15795855	Distal:Active
chr1	15833208	15833513	chr1:15833208-15833513	Distal:Active
chr1	15834376	15836370	chr1:15834376-15836370	Distal:Active
chr1	15849315	15850194	chr1:15849315-15850194	Proximal:Active
chr1	15885742	15886951	chr1:15885742-15886951	Distal:Active
chr1	15893327	15893908	chr1:15893327-15893908	Distal:Active
chr1	15937857	15938086	chr1:15937857-15938086	Distal:Active
chr1	15949133	15950210	chr1:15949133-15950210	Distal:Active
chr1	15952321	15953425	chr1:15952321-15953425	Distal:Active
chr1	15975105	15976564	chr1:15975105-15976564	Proximal:Active
chr1	16012562	16013529	chr1:16012562-16013529	Distal:Active
chr1	16021031	16021415	chr1:16021031-16021415	Distal:Active
chr1	16053978	16054606	chr1:16053978-16054606	Distal:Active
chr1	16082084	16082931	chr1:16082084-16082931	Distal:Repressive
chr1	16145567	16147144	chr1:16145567-16147144	Distal:Active
chr1	16162113	16162976	chr1:16162113-16162976	Distal:Active
chr1	16236209	16237701	chr1:16236209-16237701	Proximal:Active
chr1	16248608	16249241	chr1:16248608-16249241	Distal:Active
chr1	16351750	16353150	chr1:16351750-16353150	Proximal:Active
chr1	16366943	16368206	chr1:16366943-16368206	Proximal:Active
chr1	16379237	16379634	chr1:16379237-16379634	Distal:Active
chr1	16440130	16441461	chr1:16440130-16441461	Proximal:Active
chr1	16513364	16514823	chr1:16513364-16514823	Distal:Repressive
chr1	16519213	16519898	chr1:16519213-16519898	Distal:Active
chr1	16620699	16621633	chr1:16620699-16621633	Distal:Repressive
chr1	16643715	16645788	chr1:16643715-16645788	Distal:Active
chr1	16904560	16905796	chr1:16904560-16905796	Distal:Active
chr1	16926560	16927360	chr1:16926560-16927360	Distal:Repressive
chr1	17046797	17048051	chr1:17046797-17048051	Distal:Repressive
chr1	17053764	17054666	chr1:17053764-17054666	Proximal:Active
chr1	17192150	17193385	chr1:17192150-17193385	Distal:Active
chr1	17207143	17208357	chr1:17207143-17208357	Distal:Active
chr1	17248747	17249465	chr1:17248747-17249465	Distal:Active
chr1	17273966	17274725	chr1:17273966-17274725	Distal:Active
chr1	17307727	17308641	chr1:17307727-17308641	Distal:Active
chr1	17347637	17349254	chr1:17347637-17349254	Distal:Active
chr1	17487677	17489505	chr1:17487677-17489505	Distal:Active
chr1	17569009	17570020	chr1:17569009-17570020	Distal:Active
chr1	17701608	17702119	chr1:17701608-17702119	Distal:Active
chr1	17755217	17755902	chr1:17755217-17755902	Distal:Active
chr1	18109984	18111473	chr1:18109984-18111473	Distal:Active
chr1	18148996	18149563	chr1:18148996-18149563	Distal:Repressive
chr1	18256257	18256740	chr1:18256257-18256740	Distal:Repressive
chr1	18415034	18416017	chr1:18415034-18416017	Distal:Active
chr1	18579128	18579588	chr1:18579128-18579588	Distal:Active
chr1	18716065	18716393	chr1:18716065-18716393	Distal:Active
chr1	18806986	18808081	chr1:18806986-18808081	Distal:Active
chr1	18854169	18855248	chr1:18854169-18855248	Distal:Active
chr1	18907033	18907733	chr1:18907033-18907733	Distal:Active
chr1	18926411	18928070	chr1:18926411-18928070	Distal:Active
chr1	18955711	18957444	chr1:18955711-18957444	Distal:Active
chr1	19081279	19083727	chr1:19081279-19083727	Distal:Active
chr1	19209421	19210942	chr1:19209421-19210942	Proximal:Active
chr1	19285832	19286276	chr1:19285832-19286276	Distal:Repressive
chr1	19391014	19392102	chr1:19391014-19392102	Distal:Active
chr1	19407447	19408393	chr1:19407447-19408393	Distal:Active
chr1	19479130	19480083	chr1:19479130-19480083	Distal:Repressive
chr1	19508798	19509217	chr1:19508798-19509217	Distal:Active
chr1	19596528	19597764	chr1:19596528-19597764	Proximal:Active
chr1	19860966	19861670	chr1:19860966-19861670	Distal:Active
chr1	19878013	19878804	chr1:19878013-19878804	Distal:Active
chr1	19882015	19883002	chr1:19882015-19883002	Proximal:Repressive
chr1	19974381	19975419	chr1:19974381-19975419	Distal:Repressive
chr1	20184891	20186768	chr1:20184891-20186768	Proximal:Active
chr1	20216553	20216896	chr1:20216553-20216896	Distal:Repressive
chr1	20507408	20508581	chr1:20507408-20508581	Proximal:Active
chr1	20530222	20531319	chr1:20530222-20531319	Distal:Active
chr1	20601132	20601493	chr1:20601132-20601493	Distal:Active
chr1	20660988	20662264	chr1:20660988-20662264	Proximal:Active
chr1	20964766	20965355	chr1:20964766-20965355	Distal:Repressive
chr1	21022175	21022830	chr1:21022175-21022830	Distal:Active
chr1	21175792	21177673	chr1:21175792-21177673	Proximal:Active
chr1	21261572	21262936	chr1:21261572-21262936	Distal:Active
chr1	21324369	21324843	chr1:21324369-21324843	Distal:Active
chr1	21356096	21356407	chr1:21356096-21356407	Distal:Repressive
chr1	21389562	21390456	chr1:21389562-21390456	Distal:Active
chr1	21405073	21406108	chr1:21405073-21406108	Distal:Repressive
chr1	21453733	21454648	chr1:21453733-21454648	Distal:Active
chr1	21558844	21560101	chr1:21558844-21560101	Distal:Active
chr1	21607587	21609199	chr1:21607587-21609199	Distal:Active
chr1	21621997	21622890	chr1:21621997-21622890	Distal:Repressive
chr1	21631671	21633590	chr1:21631671-21633590	Distal:Active
chr1	21647849	21648502	chr1:21647849-21648502	Distal:Repressive
chr1	21687145	21688490	chr1:21687145-21688490	Distal:Active
chr1	21768085	21768914	chr1:21768085-21768914	Distal:Active
chr1	21791291	21792350	chr1:21791291-21792350	Distal:Active
chr1	21916778	21917307	chr1:21916778-21917307	Distal:Active
chr1	21935996	21937847	chr1:21935996-21937847	Proximal:Repressive
chr1	21942791	21943433	chr1:21942791-21943433	Distal:Active
chr1	22018924	22019490	chr1:22018924-22019490	Distal:Active
chr1	22024600	22026487	chr1:22024600-22026487	Proximal:Active
chr1	22052036	22053751	chr1:22052036-22053751	Proximal:Active
chr1	22121228	22122051	chr1:22121228-22122051	Distal:Active
chr1	22131769	22132690	chr1:22131769-22132690	Distal:Repressive
chr1	22142097	22142926	chr1:22142097-22142926	Distal:Repressive
chr1	22162966	22163590	chr1:22162966-22163590	Distal:Active
chr1	22174372	22174947	chr1:22174372-22174947	Distal:Active
chr1	22285108	22286740	chr1:22285108-22286740	Distal:Active
chr1	22380268	22380908	chr1:22380268-22380908	Distal:Active
chr1	22402780	22403093	chr1:22402780-22403093	Distal:Repressive
chr1	22428708	22429372	chr1:22428708-22429372	Distal:Active
chr1	22451602	22452791	chr1:22451602-22452791	Proximal:Active
chr1	22611246	22611994	chr1:22611246-22611994	Distal:Repressive
chr1	22639131	22639761	chr1:22639131-22639761	Distal:Active
chr1	22663222	22663496	chr1:22663222-22663496	Distal:Active
chr1	22676694	22677365	chr1:22676694-22677365	Distal:Active
chr1	22704362	22704906	chr1:22704362-22704906	Distal:Active
chr1	22709789	22711046	chr1:22709789-22711046	Distal:Repressive
chr1	22739619	22740043	chr1:22739619-22740043	Distal:Active
chr1	22750460	22751490	chr1:22750460-22751490	Distal:Active
chr1	22930159	22930789	chr1:22930159-22930789	Distal:Repressive
chr1	22971661	22971918	chr1:22971661-22971918	Distal:Active
chr1	23018892	23020357	chr1:23018892-23020357	Proximal:Active
chr1	23343413	23345078	chr1:23343413-23345078	Proximal:Active
chr1	23367818	23369940	chr1:23367818-23369940	Proximal:Active
chr1	23403635	23404355	chr1:23403635-23404355	Distal:Active
chr1	23521468	23521990	chr1:23521468-23521990	Distal:Active
chr1	23529490	23531756	chr1:23529490-23531756	Proximal:Active
chr1	23539439	23540417	chr1:23539439-23540417	Distal:Active
chr1	23558197	23559794	chr1:23558197-23559794	Proximal:Active
chr1	23596450	23597593	chr1:23596450-23597593	Distal:Active
chr1	23691308	23692679	chr1:23691308-23692679	Proximal:Active
chr1	23697225	23697692	chr1:23697225-23697692	Distal:Active
chr1	23742857	23744278	chr1:23742857-23744278	Proximal:Active
chr1	23777514	23778856	chr1:23777514-23778856	Proximal:Active
chr1	23789951	23791833	chr1:23789951-23791833	Proximal:Active
chr1	23799418	23801465	chr1:23799418-23801465	Proximal:Active
chr1	23824881	23825892	chr1:23824881-23825892	Proximal:Active
chr1	23837951	23839006	chr1:23837951-23839006	Distal:Active
chr1	23867441	23868978	chr1:23867441-23868978	Proximal:Active
chr1	23958587	23960238	chr1:23958587-23960238	Proximal:Active
chr1	23979900	23980986	chr1:23979900-23980986	Proximal:Active
chr1	24149605	24151043	chr1:24149605-24151043	Distal:Active
chr1	24191953	24192212	chr1:24191953-24192212	Distal:Active
chr1	24254713	24255603	chr1:24254713-24255603	Distal:Active
chr1	24274150	24275158	chr1:24274150-24275158	Distal:Active
chr1	24413283	24414095	chr1:24413283-24414095	Proximal:Active
chr1	24415293	24416068	chr1:24415293-24416068	Proximal:Active
chr1	24480573	24481407	chr1:24480573-24481407	Distal:Active
chr1	24489937	24490922	chr1:24489937-24490922	Distal:Active
chr1	24587155	24587616	chr1:24587155-24587616	Distal:Active
chr1	24642186	24644142	chr1:24642186-24644142	Proximal:Active
chr1	24683445	24684142	chr1:24683445-24684142	Distal:Active
chr1	24724464	24725616	chr1:24724464-24725616	Distal:Active
chr1	24744852	24746022	chr1:24744852-24746022	Proximal:Active
chr1	24909551	24909980	chr1:24909551-24909980	Distal:Active
chr1	24952336	24952728	chr1:24952336-24952728	Distal:Active
chr1	24966787	24967105	chr1:24966787-24967105	Distal:Active
chr1	25037079	25038171	chr1:25037079-25038171	Distal:Active
chr1	25080343	25081618	chr1:25080343-25081618	Distal:Active
chr1	25091020	25091409	chr1:25091020-25091409	Distal:Active
chr1	25232057	25233776	chr1:25232057-25233776	Proximal:Active
chr1	25246575	25248065	chr1:25246575-25248065	Proximal:Active
chr1	25267351	25268399	chr1:25267351-25268399	Distal:Active
chr1	25429966	25431635	chr1:25429966-25431635	Proximal:Active
chr1	25549181	25550413	chr1:25549181-25550413	Distal:Active
chr1	25568937	25570267	chr1:25568937-25570267	Distal:Active
chr1	25615995	25617443	chr1:25615995-25617443	Distal:Repressive
chr1	25708123	25708561	chr1:25708123-25708561	Distal:Active
chr1	25715744	25716525	chr1:25715744-25716525	Distal:Active
chr1	25760104	25761281	chr1:25760104-25761281	Distal:Repressive
chr1	25782454	25783263	chr1:25782454-25783263	Distal:Active
chr1	25819502	25821059	chr1:25819502-25821059	Proximal:Active
chr1	25858755	25860251	chr1:25858755-25860251	Proximal:Active
chr1	25905147	25907042	chr1:25905147-25907042	Proximal:Active
chr1	25932989	25934187	chr1:25932989-25934187	Distal:Active
chr1	25997616	25998837	chr1:25997616-25998837	Proximal:Active
chr1	26070143	26071141	chr1:26070143-26071141	Distal:Active
chr1	26093665	26095300	chr1:26093665-26095300	Distal:Active
chr1	26110751	26112543	chr1:26110751-26112543	Proximal:Active
chr1	26126132	26127613	chr1:26126132-26127613	Distal:Active
chr1	26169400	26170443	chr1:26169400-26170443	Proximal:Active
chr1	26200718	26201596	chr1:26200718-26201596	Distal:Active
chr1	26249904	26250361	chr1:26249904-26250361	Distal:Repressive
chr1	26268211	26269189	chr1:26268211-26269189	Distal:Active
chr1	26279323	26280469	chr1:26279323-26280469	Proximal:Active
chr1	26286945	26287610	chr1:26286945-26287610	Distal:Active
chr1	26305982	26307238	chr1:26305982-26307238	Proximal:Active
chr1	26330222	26330762	chr1:26330222-26330762	Distal:Repressive
chr1	26336064	26337318	chr1:26336064-26337318	Distal:Active
chr1	26387240	26387815	chr1:26387240-26387815	Distal:Active
chr1	26431501	26432599	chr1:26431501-26432599	Proximal:Active
chr1	26487591	26487995	chr1:26487591-26487995	Distal:Active
chr1	26555380	26556063	chr1:26555380-26556063	Distal:Active
chr1	26594372	26594994	chr1:26594372-26594994	Distal:Repressive
chr1	26620134	26621829	chr1:26620134-26621829	Distal:Active
chr1	26636449	26637216	chr1:26636449-26637216	Distal:Active
chr1	26771183	26772287	chr1:26771183-26772287	Distal:Active
chr1	26784029	26784438	chr1:26784029-26784438	Distal:Active
chr1	26786640	26788582	chr1:26786640-26788582	Proximal:Active
chr1	26862797	26863328	chr1:26862797-26863328	Proximal:Active
chr1	26889601	26891132	chr1:26889601-26891132	Proximal:Active
chr1	26899718	26900754	chr1:26899718-26900754	Proximal:Active
chr1	26921300	26922413	chr1:26921300-26922413	Proximal:Active
chr1	27010969	27011294	chr1:27010969-27011294	Distal:Active
chr1	27045870	27046102	chr1:27045870-27046102	Distal:Repressive
chr1	27073921	27075042	chr1:27073921-27075042	Distal:Active
chr1	27122378	27123112	chr1:27122378-27123112	Distal:Active
chr1	27136960	27138090	chr1:27136960-27138090	Distal:Active
chr1	27321695	27322857	chr1:27321695-27322857	Proximal:Active
chr1	27489618	27490956	chr1:27489618-27490956	Proximal:Active
chr1	27517729	27518596	chr1:27517729-27518596	Distal:Active
chr1	27542212	27543415	chr1:27542212-27543415	Distal:Active
chr1	27568099	27568981	chr1:27568099-27568981	Distal:Active
chr1	27599296	27599731	chr1:27599296-27599731	Distal:Active
chr1	27606320	27607728	chr1:27606320-27607728	Distal:Active
chr1	27659017	27660584	chr1:27659017-27660584	Distal:Active
chr1	27713338	27714819	chr1:27713338-27714819	Distal:Repressive
chr1	27830247	27831514	chr1:27830247-27831514	Proximal:Active
chr1	27866898	27868210	chr1:27866898-27868210	Distal:Active
chr1	27914137	27915212	chr1:27914137-27915212	Proximal:Active
chr1	27959386	27960433	chr1:27959386-27960433	Proximal:Active
chr1	28059114	28060101	chr1:28059114-28060101	Distal:Repressive
chr1	28087767	28089282	chr1:28087767-28089282	Proximal:Active
chr1	28112779	28113548	chr1:28112779-28113548	Distal:Active
chr1	28171832	28173539	chr1:28171832-28173539	Distal:Repressive
chr1	28232505	28233321	chr1:28232505-28233321	Proximal:Active
chr1	28235438	28237333	chr1:28235438-28237333	Proximal:Active
chr1	28259025	28260619	chr1:28259025-28260619	Proximal:Active
chr1	28266679	28267596	chr1:28266679-28267596	Distal:Active
chr1	28328017	28329817	chr1:28328017-28329817	Proximal:Active
chr1	28345884	28346745	chr1:28345884-28346745	Distal:Active
chr1	28351188	28352641	chr1:28351188-28352641	Distal:Active
chr1	28369238	28370561	chr1:28369238-28370561	Proximal:Active
chr1	28391757	28392531	chr1:28391757-28392531	Distal:Active
chr1	28394671	28395857	chr1:28394671-28395857	Distal:Active
chr1	28500849	28501475	chr1:28500849-28501475	Distal:Active
chr1	28505546	28506662	chr1:28505546-28506662	Proximal:Active
chr1	28552422	28553836	chr1:28552422-28553836	Proximal:Active
chr1	28581365	28583260	chr1:28581365-28583260	Proximal:Active
chr1	28642468	28644042	chr1:28642468-28644042	Proximal:Active
chr1	28647782	28649456	chr1:28647782-28649456	Distal:Active
chr1	28668227	28670026	chr1:28668227-28670026	Proximal:Active
chr1	28718411	28720036	chr1:28718411-28720036	Distal:Active
chr1	28736289	28737816	chr1:28736289-28737816	Proximal:Active
chr1	28775177	28775670	chr1:28775177-28775670	Distal:Active
chr1	28883566	28885491	chr1:28883566-28885491	Proximal:Active
chr1	28893418	28894073	chr1:28893418-28894073	Distal:Repressive
chr1	28926633	28927204	chr1:28926633-28927204	Distal:Active
chr1	28971751	28972882	chr1:28971751-28972882	Distal:Active
